ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002970.SZ,20191231,14958,18558.3,14655,18272.48,23281,28901.64,25837,32176.14,32134,39910.52,29871,37031.49,36815,45969.62,36825,45859.96,-648,-781.0
002970.SZ,20191230,14502,16404.96,12715,14480.17,24556,27873.75,26368,29953.47,33434,37976.54,25663,29144.9,20236,22973.59,27982,31650.31,-8236,-9076.09
002970.SZ,20191227,14378,16383.09,24577,28241.8,22861,26078.52,82106,93917.02,33376,38164.68,8489,9798.12,72292,83488.15,27735,32157.49,-12545,-14737.57
002970.SZ,20191226,2,2.13,1591,1696.43,0,0.0,2750,2931.52,0,0.0,359,382.77,4698,5008.58,0,0.0,-4700,-5010.71
002970.SZ,20191225,1782,1725.52,11164,10817.94,4794,4642.26,34243,33178.47,11251,10899.87,302,292.93,30790,29841.33,2909,2819.63,-16370,-15863.18
002970.SZ,20191224,0,0.0,1361,1199.46,0,0.0,2383,2100.13,58,51.11,0,0.0,6955,6129.03,3269,2880.55,-7013,-6180.14
002970.SZ,20191223,0,0.0,740,592.48,0,0.0,1474,1181.15,0,0.0,0,0.0,2214,1773.63,0,0.0,-2214,-1773.63
002970.SZ,20191220,0,0.0,1321,962.02,0,0.0,21,15.29,88,64.09,0,0.0,1254,913.22,0,0.0,-1342,-977.31
002970.SZ,20191219,0,0.0,412,272.83,0,0.0,31,20.84,0,0.0,0,0.0,444,293.67,0,0.0,-444,-293.67
002970.SZ,20191218,0,0.0,378,227.64,0,0.0,7,4.21,0,0.0,0,0.0,385,231.86,0,0.0,-385,-231.86
002970.SZ,20191217,0,0.0,1211,660.39,5,2.51,24,12.92,21,9.58,0,0.0,1208,661.23,0,0.0,-1234,-673.31
002970.SZ,20201231,10030,5290.06,10894,5750.31,11509,6082.45,9222,4859.57,4238,2241.32,5224,2771.77,1094,580.9,1530,813.08,2505,1300.02
002970.SZ,20201230,5028,2522.69,4602,2310.36,4430,2222.74,3428,1719.56,1388,696.68,2614,1311.18,0,0.0,202,101.01,-996,-498.01
002970.SZ,20201229,6511,3261.45,6806,3408.41,5847,2928.74,5033,2528.47,2366,1190.44,2279,1143.39,167,83.8,773,384.16,1455,732.33
002970.SZ,20201228,10218,5113.05,6838,3434.78,7381,3691.54,6688,3346.8,3039,1516.79,5718,2845.89,0,0.0,1394,693.91,-4035,-2014.05
