ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002869.SZ,20171229,6194,1960.58,6824,2159.11,6196,1961.67,6515,2063.93,3461,1095.39,2162,683.94,0,0.0,350,110.66,-142,-48.14
002869.SZ,20171228,2704,825.64,2755,843.75,4021,1232.24,3541,1084.94,722,221.8,1150,350.98,0,0.0,0,0.0,-54,-14.73
002869.SZ,20171227,2799,856.18,3177,972.93,3663,1121.15,3864,1182.55,945,289.87,366,111.72,0,0.0,0,0.0,-727,-220.78
002869.SZ,20171226,3237,972.97,4328,1303.24,4836,1456.35,3192,960.75,1010,304.46,1562,469.79,0,0.0,0,0.0,1370,412.46
002869.SZ,20171225,5424,1602.33,2874,849.06,2672,788.74,4293,1265.86,1170,345.04,2436,721.23,338,100.04,0,0.0,-1485,-439.23
002869.SZ,20171222,1632,500.83,1455,446.67,1366,419.5,1706,523.44,637,195.4,422,129.65,0,0.0,52,15.96,-353,-107.64
002869.SZ,20171221,2175,662.62,1978,604.42,1782,544.96,2041,622.36,266,81.77,204,62.58,0,0.0,0,0.0,-333,-99.37
002869.SZ,20171220,2047,629.57,1830,563.86,1909,588.4,1771,545.0,102,31.22,457,140.33,0,0.0,0,0.0,-1255,-384.94
002869.SZ,20171219,2004,617.94,2520,779.0,2175,671.32,1922,593.02,1172,362.74,908,279.96,0,0.0,0,0.0,700,218.75
002869.SZ,20171218,1629,497.15,1531,467.42,1482,452.63,1085,331.19,249,76.14,744,227.31,0,0.0,0,0.0,-1168,-356.86
002869.SZ,20171215,2605,801.05,2046,630.16,2235,687.41,2523,775.5,395,121.25,666,204.06,0,0.0,0,0.0,-1561,-478.58
002869.SZ,20171214,2097,646.14,1767,545.42,2174,671.73,2209,681.62,265,81.68,560,172.5,0,0.0,0,0.0,-311,-94.89
002869.SZ,20171213,2058,634.96,2500,772.4,2150,664.81,1772,547.02,523,161.5,459,141.86,0,0.0,0,0.0,1637,506.92
002869.SZ,20171212,3382,1041.28,2356,725.51,2678,825.89,2550,786.51,195,60.66,1348,415.8,0,0.0,0,0.0,-1724,-529.1
002869.SZ,20171211,2257,709.07,2760,867.5,2423,761.18,2790,876.68,991,312.01,121,38.07,0,0.0,0,0.0,-912,-286.21
002869.SZ,20171208,3104,960.99,3192,989.03,3173,983.45,3090,956.72,1074,332.29,1069,330.97,0,0.0,0,0.0,223,67.74
002869.SZ,20171207,2244,684.22,1885,575.34,2413,736.56,2146,654.73,408,124.25,1034,314.97,0,0.0,0,0.0,-265,-80.17
002869.SZ,20171206,3122,942.74,2440,738.86,3060,924.64,3573,1078.07,755,229.14,924,279.59,0,0.0,0,0.0,1014,307.69
002869.SZ,20171205,4586,1409.59,3129,964.44,3781,1162.52,3906,1200.63,1502,455.67,2834,862.71,0,0.0,0,0.0,-3113,-963.38
002869.SZ,20171204,3676,1177.22,2738,876.98,2885,922.37,2974,953.4,518,167.0,1367,436.23,0,0.0,0,0.0,-3163,-1014.73
002869.SZ,20171201,5145,1682.79,4167,1366.21,4430,1449.73,4462,1458.74,895,292.55,1841,600.12,0,0.0,0,0.0,-2397,-780.98
002869.SZ,20171130,7844,2641.73,7563,2549.05,8193,2755.17,8474,2859.19,3618,1226.02,4165,1406.14,555,193.79,7,2.33,-2586,-879.1
002869.SZ,20171129,2947,933.25,2193,694.82,2790,883.82,3005,953.0,982,312.58,807,255.64,0,0.0,714,226.2,-960,-303.43
002869.SZ,20171128,2345,751.17,2873,920.07,2438,781.0,2069,663.05,1034,330.9,875,279.95,0,0.0,0,0.0,1005,323.04
002869.SZ,20171127,1902,600.63,2218,701.8,2454,775.88,2178,688.02,828,262.22,848,268.02,714,227.34,654,208.23,-1866,-590.73
002869.SZ,20171124,2219,700.52,2578,815.54,3041,961.43,2608,824.1,1229,388.9,1303,411.2,0,0.0,0,0.0,-631,-199.28
002869.SZ,20171123,5428,1732.73,2939,939.82,3775,1205.29,4812,1535.23,1166,372.45,2751,877.69,133,42.27,0,0.0,-2279,-723.55
002869.SZ,20171122,4237,1395.98,2677,885.22,3715,1225.77,5053,1666.2,1527,504.14,2050,675.11,300,100.64,0,0.0,-2628,-861.0
002869.SZ,20171121,4354,1447.06,3049,1014.5,4448,1477.59,4241,1411.17,2069,687.23,3329,1103.67,0,0.0,251,82.54,-2646,-873.62
002869.SZ,20171120,5052,1677.45,3138,1045.86,4251,1411.71,5019,1669.42,2336,778.75,3707,1229.22,330,110.37,105,33.77,869,286.53
002869.SZ,20171117,8528,3031.61,4282,1523.35,7250,2572.43,8828,3131.34,4226,1501.71,6965,2470.32,424,145.8,353,126.54,-6613,-2364.38
002869.SZ,20171116,3839,1434.33,2718,1017.85,3377,1263.41,3803,1423.84,1448,542.94,2034,758.43,0,0.0,108,40.56,-2573,-960.2
002869.SZ,20171115,3834,1447.57,3262,1233.35,4322,1633.98,4512,1705.52,1507,570.62,1889,713.31,0,0.0,0,0.0,-1693,-636.89
002869.SZ,20171114,6968,2664.82,4018,1538.4,6843,2620.22,6525,2498.49,1931,737.22,4239,1621.6,0,0.0,960,363.78,-4927,-1886.74
002869.SZ,20171113,4885,1897.44,4378,1702.9,6365,2473.67,5874,2282.62,2724,1059.22,3723,1444.81,0,0.0,0,0.0,-2261,-875.33
002869.SZ,20171110,6056,2337.05,6581,2549.53,8674,3348.57,7915,3056.18,3934,1524.24,4130,1591.49,497,193.46,535,206.13,654,260.14
002869.SZ,20171109,4151,1594.25,3703,1423.44,5047,1938.68,5588,2146.17,2018,776.21,1361,522.09,0,0.0,565,217.44,600,233.43
002869.SZ,20171108,4467,1712.76,6784,2603.18,6797,2608.93,6941,2661.86,5007,1919.92,2921,1119.62,375,143.05,0,0.0,1180,456.4
002869.SZ,20171107,4598,1719.76,2739,1026.4,3499,1310.97,4186,1566.76,1663,622.29,2661,995.09,523,195.11,697,259.89,-1388,-517.72
002869.SZ,20171106,3258,1224.72,3255,1226.5,4653,1751.02,3378,1271.5,2879,1083.82,3094,1163.88,6,2.26,1070,399.94,1786,676.09
002869.SZ,20171103,5222,1959.63,2771,1041.84,5652,2127.55,4655,1751.8,1884,706.44,4822,1811.15,0,0.0,510,188.83,-3412,-1278.07
002869.SZ,20171102,4993,1918.09,3848,1480.86,5391,2070.56,6659,2561.11,2482,956.45,3185,1223.8,1403,547.25,578,226.58,-2869,-1104.33
002869.SZ,20171101,5243,1997.13,8844,3383.76,7745,2942.28,8429,3214.8,3531,1351.41,3643,1394.4,4826,1866.15,429,164.01,2709,1050.4
002869.SZ,20171031,4141,1537.59,3492,1299.5,4271,1587.57,4354,1618.87,1896,704.71,2419,895.53,0,0.0,43,15.97,164,63.07
002869.SZ,20171030,8003,2984.47,4751,1774.55,7767,2898.69,8774,3275.24,3765,1404.12,6304,2346.38,373,138.13,79,29.25,-5536,-2067.22
002869.SZ,20171027,9781,3818.85,4941,1928.37,6977,2720.94,9120,3556.27,2082,811.45,4779,1866.6,0,0.0,0,0.0,-5383,-2101.95
