ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002313.SZ,20161230,4395,1024.96,3916,916.11,12881,3007.42,11771,2749.01,12668,2960.82,12987,3033.13,4213,983.72,5484,1278.67,-3062,-713.76
002313.SZ,20161229,7025,1638.02,3307,771.27,12916,3008.76,12373,2882.14,7850,1829.4,9347,2176.63,2846,662.54,5610,1308.68,-7256,-1691.56
002313.SZ,20161228,8428,2010.61,4518,1081.02,15471,3697.97,14279,3415.23,15328,3672.18,18469,4416.0,2501,598.79,4462,1067.3,-8552,-2038.4
002313.SZ,20161227,8040,1942.95,5774,1397.37,17029,4118.28,12436,3011.07,13919,3365.2,17042,4118.44,875,212.11,4611,1111.66,-8030,-1940.1
002313.SZ,20161226,8464,2036.27,12776,3079.55,19109,4586.55,24077,5796.87,24001,5761.16,24061,5781.89,18267,4420.1,8927,2145.77,17464,4219.29
002313.SZ,20161223,5454,1285.21,10978,2591.03,15618,3685.38,20719,4888.08,24190,5700.57,16393,3861.37,6653,1564.47,3824,895.14,8826,2094.14
002313.SZ,20161222,3556,828.25,4520,1053.69,9047,2108.24,9589,2235.08,11469,2673.02,9633,2245.0,2039,474.66,2370,550.4,3163,741.07
002313.SZ,20161221,6577,1527.9,9026,2097.13,15032,3493.14,17384,4040.78,20436,4749.51,16076,3738.93,6746,1572.74,6304,1466.45,7193,1682.07
002313.SZ,20161220,3962,899.87,2751,625.79,6524,1482.07,6116,1390.58,5419,1231.12,5616,1274.08,800,181.36,2221,503.97,-709,-160.57
002313.SZ,20161219,6258,1425.08,4210,960.82,13404,3056.59,10730,2446.91,8972,2045.53,12077,2750.94,2362,538.48,3978,907.02,-7683,-1747.99
002313.SZ,20161216,6490,1501.78,6540,1516.94,16040,3715.86,12477,2891.13,9550,2214.41,12283,2844.16,1521,352.66,2300,532.48,694,168.62
