ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002881.SZ,20171229,4497,1363.7,3770,1144.7,4262,1294.22,4365,1324.22,1126,341.6,1749,530.61,0,0.0,0,0.0,439,135.18
002881.SZ,20171228,5692,1732.99,4996,1526.23,5421,1654.48,5364,1635.3,1348,412.72,2368,719.32,266,80.66,0,0.0,-511,-151.27
002881.SZ,20171227,7012,2139.78,5018,1532.15,6250,1907.05,7553,2304.18,2150,655.65,2841,866.14,0,0.0,0,0.0,-3584,-1090.9
002881.SZ,20171226,8284,2574.28,8336,2593.58,9936,3091.63,7242,2250.79,2461,767.6,4422,1376.82,5,1.56,685,213.88,2963,921.65
002881.SZ,20171225,6948,2091.06,6958,2101.97,7061,2136.85,6662,2007.43,2307,696.47,2696,814.98,0,0.0,0,0.0,-3226,-961.16
002881.SZ,20171222,6804,2102.56,5595,1732.15,6384,1975.57,6839,2115.26,2522,780.25,3276,1010.98,0,0.0,0,0.0,-2022,-622.02
002881.SZ,20171221,10130,3171.31,10036,3144.27,11612,3641.91,10953,3433.07,5303,1664.23,4790,1502.63,0,0.0,1267,397.48,3807,1200.18
002881.SZ,20171220,9358,2884.96,7085,2188.03,9128,2818.32,8675,2679.1,3468,1072.11,5293,1633.46,0,0.0,900,274.8,-5440,-1680.27
002881.SZ,20171219,10378,3204.13,13426,4145.98,13208,4090.38,12343,3816.95,6741,2084.23,5090,1580.24,1240,387.08,708,222.66,6557,2046.32
002881.SZ,20171218,7363,2177.87,5425,1606.57,6315,1869.07,6009,1776.76,1336,395.33,3580,1058.94,0,0.0,0,0.0,-1404,-412.09
002881.SZ,20171215,8922,2693.57,8149,2466.74,9078,2747.32,8736,2641.62,4300,1298.99,4260,1285.33,0,0.0,1155,346.19,-549,-165.04
002881.SZ,20171214,9651,2975.42,11207,3462.6,12346,3812.8,10971,3386.41,5488,1698.22,4443,1370.02,0,0.0,864,267.42,-1283,-388.21
002881.SZ,20171213,11284,3431.76,11819,3603.55,12831,3913.64,12283,3742.58,4253,1298.62,4266,1297.89,0,0.0,0,0.0,1245,385.93
