ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
603236.SH,20260615,56.63,3.2401,0.87,27.2608,3.3137,0.938,2281921.6328,2074474.2147
603236.SH,20260612,55.5,2.7995,0.66,26.7168,3.2476,0.9193,2236387.9679,2033079.9738
603236.SH,20260611,56.15,2.742,0.55,27.0297,3.2856,0.9301,2262579.899,2056890.8203
603236.SH,20260610,55.82,3.4343,0.63,26.8709,3.2663,0.9246,2249282.457,2044802.2367
603236.SH,20260609,58.15,4.4205,0.89,27.9925,3.4027,0.9632,2343170.4564,2130154.9635
603236.SH,20260608,58.3,5.2344,1.22,28.0647,3.4114,0.9657,2349214.7482,2135649.7743
603236.SH,20260605,57.33,5.4072,1.49,27.5978,3.3547,0.9496,2310128.3279,2100116.6648
603236.SH,20260604,56.27,6.3422,2.26,27.0875,3.2927,0.9321,2267415.3324,2061286.6689
603236.SH,20260603,57.74,5.6715,2.39,27.7951,3.3787,0.9564,2326649.3921,2115135.8142
603236.SH,20260602,52.49,2.2156,0.93,25.2679,3.0715,0.8695,2115099.179,1922817.4383
603236.SH,20260601,53.4,1.8792,0.77,25.7059,3.1247,0.8845,2151767.8826,1956152.6234
603236.SH,20260529,75.1,2.7689,0.81,25.8228,3.0899,0.8886,2161553.8767,1965048.9815
603236.SH,20260528,77.77,3.2449,0.87,26.7409,3.1997,0.9202,2238402.7296,2034911.5752
603236.SH,20260527,78.8,4.8417,1.51,27.0951,3.2421,0.9323,2268048.5417,2061862.3135
603236.SH,20260526,77.3,3.1312,1.03,26.5793,3.1804,0.9146,2224875.0289,2022613.6654
603236.SH,20260525,76.8,3.0036,1.01,26.4074,3.1598,0.9087,2210483.8579,2009530.7827
603236.SH,20260522,74.96,2.8184,0.98,25.7747,3.0841,0.8869,2157524.3488,1961385.7744
603236.SH,20260521,74.51,4.8333,2.03,25.62,3.0656,0.8816,2144572.295,1949611.18
603236.SH,20260520,74.0,2.2759,0.9,25.4446,3.0446,0.8755,2129893.3006,1936266.6396
603236.SH,20260519,75.94,2.2508,0.9,26.1117,3.1244,0.8985,2185731.0439,1987028.2245
603236.SH,20260518,74.7,2.6249,1.06,25.6853,3.0734,0.8838,2150040.9399,1954582.6754
603236.SH,20260515,73.09,2.3788,0.95,25.1317,3.0072,0.8648,2103701.3695,1912455.7931
603236.SH,20260514,73.5,2.3707,0.97,25.2727,3.024,0.8696,2115502.1297,1923183.7569
603236.SH,20260513,75.77,2.9552,1.24,26.0532,3.1174,0.8965,2180838.0458,1982580.0444
603236.SH,20260512,73.88,2.1496,0.89,25.4033,3.0397,0.8741,2126439.4196,1933126.7478
603236.SH,20260511,75.16,2.5393,1.07,25.8435,3.0923,0.8893,2163280.8172,1966618.9275
603236.SH,20260508,75.72,2.4736,1.05,26.036,3.1154,0.8959,2179398.9287,1981271.7561
603236.SH,20260507,74.39,2.0601,0.74,25.5787,3.0606,0.8802,2141118.4139,1946471.2881
603236.SH,20260506,73.2,2.7127,0.75,25.1695,3.0117,0.8661,2106867.4271,1915334.0273
603236.SH,20260430,72.3,2.2836,0.53,24.8601,2.9747,0.8554,2080963.3194,1891784.8384
603236.SH,20260429,73.37,2.3771,0.52,25.228,3.0187,0.8681,2111760.4252,1919782.2074
603236.SH,20260428,74.17,2.3006,0.51,25.503,3.0516,0.8776,2134786.2987,1940714.8197
603236.SH,20260427,74.03,4.1905,0.99,25.4549,3.0458,0.8759,2130756.7709,1937051.6126
603236.SH,20260424,76.53,7.0289,2.21,26.3145,3.1487,0.9055,2202712.6256,2002466.0261
603236.SH,20260423,85.03,5.5238,2.28,41.6059,3.6297,1.3162,2447362.5318,2224875.032
603236.SH,20260422,81.53,3.7028,1.79,39.8933,3.4803,1.262,2346624.3351,2133294.8531
603236.SH,20260421,78.45,1.9395,0.9,38.3863,3.3489,1.2144,2257974.7221,2052704.2956
603236.SH,20260420,79.0,3.0434,1.61,38.6554,3.3723,1.2229,2273805.0101,2067095.4666
603236.SH,20260417,77.0,1.6883,0.83,37.6768,3.287,1.1919,2216240.3263,2014763.9358
603236.SH,20260416,77.72,1.7608,0.88,38.0291,3.3177,1.2031,2236963.6125,2033603.2869
603236.SH,20260415,76.74,1.9282,0.88,37.5496,3.2759,1.1879,2208756.9174,2007960.8368
603236.SH,20260414,77.95,2.3423,1.14,38.1416,3.3275,1.2066,2243583.5511,2039621.4129
603236.SH,20260413,76.11,1.7238,0.82,37.2413,3.249,1.1781,2190624.042,1991476.4046
603236.SH,20260410,77.22,2.3864,1.2,37.7844,3.2964,1.1953,2222572.4415,2020520.4042
603236.SH,20260409,75.87,1.6788,0.81,37.1239,3.2387,1.1744,2183716.28,1985196.6209
603236.SH,20260408,76.45,2.8805,1.42,37.4077,3.2635,1.1834,2200410.0383,2000372.7648
603236.SH,20260407,72.58,1.6184,0.81,35.514,3.0983,1.1235,2089022.3751,1899111.2527
603236.SH,20260403,73.49,1.9881,1.07,35.9593,3.1371,1.1376,2115214.3062,1922922.0992
603236.SH,20260402,72.33,1.8134,1.02,35.3917,3.0876,1.1196,2081826.7896,1892569.8114
603236.SH,20260401,74.73,2.0603,1.2,36.566,3.1901,1.1568,2150904.4102,1955367.6483
603236.SH,20260331,74.2,2.6897,1.71,36.3067,3.1674,1.1486,2135649.769,1941499.7927
603236.SH,20260330,72.6,1.4252,0.8,35.5238,3.0991,1.1238,2089598.0219,1899634.568
603236.SH,20260327,72.85,1.2888,0.69,35.6461,3.1098,1.1277,2096793.6074,1906176.0094
603236.SH,20260326,72.66,1.4114,0.74,35.5532,3.1017,1.1247,2091324.9625,1901204.514
603236.SH,20260325,75.0,1.802,0.92,36.6982,3.2016,1.1609,2158675.6425,1962432.405
603236.SH,20260324,73.48,1.92,0.96,35.9544,3.1367,1.1374,2114926.4828,1922660.4416
603236.SH,20260323,72.92,2.4778,1.34,35.6804,3.1128,1.1288,2098808.3713,1908007.613
603236.SH,20260320,76.51,1.713,0.94,37.437,3.266,1.1843,2202136.9788,2001942.7108
603236.SH,20260319,76.8,1.6036,0.85,37.5789,3.2784,1.1888,2210483.8579,2009530.7827
603236.SH,20260318,78.62,2.1023,1.16,38.4695,3.3561,1.217,2262867.7202,2057152.4757
603236.SH,20260317,78.88,2.0658,1.12,38.5967,3.3672,1.221,2270351.1291,2063955.5748
603236.SH,20260316,79.39,1.7658,0.88,38.8462,3.389,1.2289,2285030.1234,2077300.1151
603236.SH,20260313,78.98,1.5901,0.73,38.6456,3.3715,1.2226,2273229.3633,2066572.1513
603236.SH,20260312,79.23,1.89,0.87,38.7679,3.3822,1.2264,2280424.9487,2073113.5926
603236.SH,20260311,80.89,1.7625,0.78,39.5802,3.453,1.2521,2328203.6363,2116548.7632
603236.SH,20260310,81.77,2.2187,0.89,40.0108,3.4906,1.2657,2353532.0972,2139574.6368
603236.SH,20260309,80.9,2.5593,0.97,39.5851,3.4534,1.2523,2328491.4597,2116810.4209
603236.SH,20260306,81.81,2.4311,0.93,40.0304,3.4923,1.2664,2354683.3908,2140621.2674
603236.SH,20260305,79.23,1.8926,0.66,38.7679,3.3822,1.2264,2280424.9487,2073113.5926
603236.SH,20260304,78.75,2.1642,0.76,38.5331,3.3617,1.219,2266609.4246,2060554.0253
603236.SH,20260303,79.64,3.3688,1.31,38.9686,3.3997,1.2328,2292225.7089,2083841.5565
603236.SH,20260302,83.69,3.3177,1.43,40.9503,3.5725,1.2955,2408794.1936,2189812.9063
603236.SH,20260227,86.41,2.3454,1.0,42.2812,3.6887,1.3376,2487082.1636,2260983.7882
603236.SH,20260226,86.95,3.1282,1.3,42.5454,3.7117,1.3459,2502624.6282,2275113.3015
603236.SH,20260225,84.91,2.0755,0.88,41.5472,3.6246,1.3143,2443908.6507,2221735.1401
603236.SH,20260224,84.66,1.9996,0.74,41.4249,3.614,1.3105,2436713.0653,2215193.6988
603236.SH,20260213,85.45,2.0617,0.78,41.8114,3.6477,1.3227,2459451.1154,2235864.6534
603236.SH,20260212,86.12,2.5129,1.04,42.1393,3.6763,1.3331,2478735.2844,2253395.7162
603236.SH,20260211,86.36,3.3416,1.55,42.2567,3.6865,1.3368,2485643.0465,2259675.4999
603236.SH,20260210,85.4,1.9271,0.8,41.787,3.6455,1.3219,2458011.9983,2234556.3652
603236.SH,20260209,85.71,3.6949,1.52,41.9387,3.6588,1.3267,2466934.5242,2242667.7524
603236.SH,20260206,86.18,1.699,0.66,42.1686,3.6788,1.334,2480462.2249,2254965.6622
603236.SH,20260205,87.15,1.469,0.51,42.6433,3.7202,1.349,2508381.0966,2280346.4546
603236.SH,20260204,88.03,2.0073,0.69,43.0739,3.7578,1.3626,2533709.5575,2303372.3282
