ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
002383.SZ,20260615,7.4,1.1976,0.78,,3.6495,4.0008,547866.6257,547866.6257
002383.SZ,20260612,7.32,1.8781,1.21,,3.61,3.9575,541943.7433,541943.7433
002383.SZ,20260611,7.2,1.2224,0.76,,3.5508,3.8926,533059.4196,533059.4196
002383.SZ,20260610,7.31,1.3886,0.86,,3.6051,3.9521,541203.383,541203.383
002383.SZ,20260609,7.53,1.1667,0.69,,3.7136,4.071,557491.3097,557491.3097
002383.SZ,20260608,7.46,2.0571,1.32,,3.679,4.0332,552308.7875,552308.7875
002383.SZ,20260605,7.84,1.9188,1.24,,3.8664,4.2386,580442.4791,580442.4791
002383.SZ,20260604,7.68,1.5112,0.95,,3.7875,4.1521,568596.7142,568596.7142
002383.SZ,20260603,7.77,1.384,0.82,,3.8319,4.2008,575259.957,575259.957
002383.SZ,20260602,7.72,1.5819,0.9,,3.8073,4.1738,571558.1555,571558.1555
002383.SZ,20260601,7.86,1.3984,0.8,,3.8763,4.2495,581923.1997,581923.1997
002383.SZ,20260529,7.77,1.8609,1.14,,3.8319,4.2008,575259.957,575259.957
002383.SZ,20260528,8.14,1.7656,1.08,,4.0144,4.4008,602653.2883,602653.2883
002383.SZ,20260527,7.92,1.784,1.13,,3.9059,4.2819,586365.3616,586365.3616
002383.SZ,20260526,8.22,2.0244,1.41,,4.0538,4.4441,608576.1707,608576.1707
002383.SZ,20260525,8.52,1.3161,0.88,,4.2018,4.6063,630786.9799,630786.9799
002383.SZ,20260522,8.62,1.256,0.74,,4.2511,4.6603,638190.5829,638190.5829
002383.SZ,20260521,8.5,1.7566,0.97,,4.1919,4.5955,629306.2593,629306.2593
002383.SZ,20260520,8.8,1.5318,0.82,,4.3399,4.7577,651517.0684,651517.0684
002383.SZ,20260519,9.02,1.3035,0.66,,4.4484,4.8766,667804.9951,667804.9951
