LOCAL_COMPANY_NAME,LOCAL_SYMBOL,序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
振芯科技,300101,1,300101,振芯科技,北斗全链布局，激励+回购显长期价值,买入,中航证券,0,0.22,102.82,,,,,军工电子Ⅱ,2024-11-18,https://pdf.dfcfw.com/pdf/H3_AP202411171640928988_1.pdf
振芯科技,300101,2,300101,振芯科技,受益国产替代及北斗3换代，2024年业务有望反弹,增持,华金证券,0,0.67,22.9,,,,,军工电子Ⅱ,2024-03-28,https://pdf.dfcfw.com/pdf/H3_AP202403281628434989_1.pdf
振芯科技,300101,3,300101,振芯科技,北斗+卫星+国产替代蓄力，长期价值景气向上,增持,华金证券,0,,,,,,,军工电子Ⅱ,2023-11-21,https://pdf.dfcfw.com/pdf/H3_AP202311211611760949_1.pdf
振芯科技,300101,4,300101,振芯科技,多因素扰动业绩，不改长期向上趋势,买入,华安证券,0,,,,,,,军工电子Ⅱ,2023-11-02,https://pdf.dfcfw.com/pdf/H3_AP202311021607969103_1.pdf
振芯科技,300101,5,300101,振芯科技,2023年三季报点评：产品更迭致业绩波动，市场景气使发展向好,买入,东吴证券,0,,,,,,,军工电子Ⅱ,2023-11-02,https://pdf.dfcfw.com/pdf/H3_AP202311021607807114_1.pdf
振芯科技,300101,6,300101,振芯科技,数字阵雷达催生AD/DA大需求，公司系核心玩家将深度受益,买入,东吴证券,0,,,,,,,军工电子Ⅱ,2023-03-07,https://pdf.dfcfw.com/pdf/H3_AP202303071584093118_1.pdf
振芯科技,300101,7,300101,振芯科技,营收利润双增长，下游行业高景气度助推未来发展,买入,华安证券,0,,,,,,,军工电子Ⅱ,2022-11-03,https://pdf.dfcfw.com/pdf/H3_AP202211031579861707_1.pdf
振芯科技,300101,8,300101,振芯科技,2022年三季报点评：归母净利润增长+71.18%，北替代带动公司订单持续增长,买入,中航证券,0,,,,,,,军工电子Ⅱ,2022-10-28,https://pdf.dfcfw.com/pdf/H3_AP202210281579566972_1.pdf
振芯科技,300101,9,300101,振芯科技,2022年中报点评：归母净利润增长+105%，看好北三替代带动公司业绩高速成长,买入,中航证券,0,,,,,,,军工电子Ⅱ,2022-09-05,https://pdf.dfcfw.com/pdf/H3_AP202209051578036280_1.pdf
振芯科技,300101,10,300101,振芯科技,2022年半年报点评：业绩高增，军民融合深入推进,,川财证券,0,,,,,,,军工电子Ⅱ,2022-09-04,https://pdf.dfcfw.com/pdf/H3_AP202209031578006538_1.pdf
振芯科技,300101,11,300101,振芯科技,公司深度报告：技术纯正，行业发展稳健，公司有望实现持续性增长,,川财证券,0,,,,,,,军工电子Ⅱ,2022-05-29,https://pdf.dfcfw.com/pdf/H3_AP202205281568459714_1.pdf
振芯科技,300101,12,300101,振芯科技,2021年报及2022年一季报点评：北斗及IC市场高景气赛道公司，业绩有望保持良好增速预期,买入,中航证券,0,,,,,,,军工电子Ⅱ,2022-04-22,https://pdf.dfcfw.com/pdf/H3_AP202204221560813110_1.pdf
振芯科技,300101,13,300101,振芯科技,集成电路供需两旺，北斗应用加速推广,买入,太平洋,0,,,,,,,军工电子Ⅱ,2021-11-09,https://pdf.dfcfw.com/pdf/H3_AP202111091528044136_1.pdf
振芯科技,300101,14,300101,振芯科技,2021年中报点评：经营效率改善明显，业绩提升加速,买入,中航证券,0,,,,,,,军工电子Ⅱ,2021-08-01,https://pdf.dfcfw.com/pdf/H3_AP202108011507358017_1.pdf
振芯科技,300101,15,300101,振芯科技,2020年报点评：营收和归母净利润双创历史新高,买入,中航证券,0,,,,,,,军工电子Ⅱ,2021-03-28,https://pdf.dfcfw.com/pdf/H3_AP202103271477453376_1.pdf
振芯科技,300101,16,300101,振芯科技,走出低谷，重拾增长,增持,华鑫证券,0,,,,,,,军工电子Ⅱ,2021-03-23,https://pdf.dfcfw.com/pdf/H3_AP202103231475046847_1.pdf
振芯科技,300101,17,300101,振芯科技,获得政府补助增厚利润，业绩拐点渐行渐近,买入,太平洋,0,,,,,,,军工电子Ⅱ,2020-12-11,https://pdf.dfcfw.com/pdf/H3_AP202012111439209652_1.pdf
振芯科技,300101,18,300101,振芯科技,2020年半年报点评：公司主营业务平稳，静待行业带动公司业绩提升,持有,中航证券,0,,,,,,,军工电子Ⅱ,2020-08-31,https://pdf.dfcfw.com/pdf/H3_AP202008311404450550_1.pdf
振芯科技,300101,19,300101,振芯科技,2019年报点评：公司主营业务平稳，股权问题有望突破僵局,持有,中航证券,0,,,,,,,军工电子Ⅱ,2020-04-24,https://pdf.dfcfw.com/pdf/H3_AP202004241378618513_1.pdf
振芯科技,300101,20,300101,振芯科技,2018年年报点评：加大研发投入，培育核心竞争力,持有,中航证券,0,,,,,,,军工电子Ⅱ,2019-04-10,https://pdf.dfcfw.com/pdf/H3_AP201904101317677880_1.pdf
振芯科技,300101,21,300101,振芯科技,2018年三季报点评：三季度营收高速增长，股权问题尚待解决,买入,中航证券,0,,,,,,,军工电子Ⅱ,2018-11-05,https://pdf.dfcfw.com/pdf/H3_AP201811051235661406_1.pdf
振芯科技,300101,22,300101,振芯科技,2018年半年报点评：研发投入持续增长，核心器件收入快速增长,买入,中航证券,0,,,,,,,军工电子Ⅱ,2018-09-05,https://pdf.dfcfw.com/pdf/H3_AP201809051189052139_1.pdf
振芯科技,300101,23,300101,振芯科技,员工激励计划草案推出，积极信号明显,增持,东兴证券,0,,,,,,,军工电子Ⅱ,2018-05-25,https://pdf.dfcfw.com/pdf/H3_AP201805251148807594_1.pdf
振芯科技,300101,24,300101,振芯科技,深度报告：自主可控芯片龙头，业绩和公司治理双反转可期,增持,东兴证券,0,,,,,,,军工电子Ⅱ,2018-05-15,https://pdf.dfcfw.com/pdf/H3_AP201805151143616182_1.pdf
振芯科技,300101,25,300101,振芯科技,财报点评：业绩反转趋势确定,增持,东兴证券,0,,,,,,,军工电子Ⅱ,2018-04-23,https://pdf.dfcfw.com/pdf/H3_AP201804231127931799_1.pdf
振芯科技,300101,26,300101,振芯科技,2017年年报点评：逐渐摆脱军改影响，民用产品市场可期,买入,中航证券,0,,,,,,,军工电子Ⅱ,2018-04-10,https://pdf.dfcfw.com/pdf/H3_AP201804101120567409_1.pdf
振芯科技,300101,27,300101,振芯科技,2017年中报点评：厚积业务技术，静待业绩薄发,持有,中航证券,0,,,,,,,军工电子Ⅱ,2017-08-25,https://pdf.dfcfw.com/pdf/H3_AP201708250827835973_1.pdf
