api_name,scope,status,row_count,min_date,max_date,field_count,fields,message
income,有方科技:688159.SH,ok,38,20200415,20260430,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,有方科技:688159.SH,ok,36,20200415,20260430,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,有方科技:688159.SH,ok,41,20200415,20260430,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,有方科技:688159.SH,ok,41,20200429,20260430,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,有方科技:688159.SH,ok,19,20200820,20260131,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,有方科技:688159.SH,ok,7,20200229,20260228,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,有方科技:688159.SH,ok,23,20200415,20260430,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,有方科技:688159.SH,ok,5,20240430,20260430,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,有方科技:688159.SH,empty,0,,,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,有方科技:688159.SH,ok,27,20200415,20260430,4,"ts_code,ann_date,end_date,holder_num",
anns_d,有方科技:688159.SH,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,美格智能:002881.SZ,ok,2179,20170622,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,美格智能:002881.SZ,ok,2179,20170622,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,美格智能:002881.SZ,ok,2179,20170622,20260612,3,"ts_code,trade_date,adj_factor",
