name,resolved,ts_code,symbol,area,industry,market,exchange,list_date
移为通信,yes,300590.SZ,300590,上海,通信设备,创业板,SZSE,20170111
移远通信,yes,603236.SH,603236,上海,通信设备,主板,SSE,20190716
高新兴,yes,300098.SZ,300098,广东,软件服务,创业板,SZSE,20100728
广和通,yes,300638.SZ,300638,深圳,通信设备,创业板,SZSE,20170413
日海智能,yes,002313.SZ,002313,深圳,通信设备,主板,SZSE,20091203
锐明技术,yes,002970.SZ,002970,深圳,IT设备,主板,SZSE,20191217
有方科技,yes,688159.SH,688159,深圳,通信设备,科创板,SSE,20200123
美格智能,yes,002881.SZ,002881,深圳,元器件,主板,SZSE,20170622
博实结,yes,301608.SZ,301608,深圳,通信设备,创业板,SZSE,20240801
