review_rank,analysis_group_id,company,symbol,event_date,title,primary_category,manual_review_status,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_confidence,manual_note_label,manual_reviewer,manual_review_date,keep_code,noise_code,category_code,confidence_code,note_code,review_reason,suggested_action
63,603236|2025-01-22|其他,移远通信,603236,2025-01-22,股票交易异常波动公告,其他,noise,0,1,交易机制/IPO,很确定,极端标签但事件本身可信,user_numeric_review,2026-06-14,0,1,8,1,1,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例
64,300590|2024-04-22|其他,移为通信,300590,2024-04-22,董事会决议公告,其他,noise,0,1,纯流程/其他,大致确定,标题像流程公告，但可能包含重大事项,user_numeric_review,2026-06-14,0,1,9,2,3,category_other|subject_company|overlap_dirty_p20,优先人工重分类
65,300098|2024-05-21|其他,高新兴,300098,2024-05-21,关于召开2024年第一次临时股东大会通知的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
66,300098|2020-02-26|其他,高新兴,300098,2020-02-26,监事会关于公司第二期股票期权激励计划激励对象名单的审核及公示情况说明,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
67,300098|2015-06-30|其他,高新兴,300098,2015-06-30,关于召开2015年第三次临时股东大会通知的提示性公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
68,300098|2016-07-23|其他,高新兴,300098,2016-07-23,独立董事候选人声明(吴向能),其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
69,300098|2015-06-17|其他,高新兴,300098,2015-06-17,股东大会议事规则(2015年6月),其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
70,300098|2017-04-14|其他,高新兴,300098,2017-04-14,2017年第四次临时股东大会的法律意见书,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
71,300638|2020-07-06|其他,广和通,300638,2020-07-06,关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/06),其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
72,300098|2016-07-22|其他,高新兴,300098,2016-07-22,关于使用部分暂时闲置募集资金进行现金管理的实施公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
73,300098|2020-02-12|其他,高新兴,300098,2020-02-12,关于为全资子公司申请银行授信提供担保的进展公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
