review_rank,review_reason,suggested_action,analysis_group_id,company,symbol,event_date,split,default_model_scope,primary_category,capital_action_subtype,source_type,source_types,title,group_titles_sample,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,actual_mv_return_p0_p20,peer_avg_mv_return_p0_p20,overlap_event_count_p0_p20,is_overlap_clean_p0_p20,source_count,group_event_count,group_source_count,has_main_label,is_default_training_candidate,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_notes
295,category_other|overlap_dirty_p20,优先人工重分类,301608|2026-05-13|其他,博实结,301608,2026-05-13,test,audit_or_aux,其他,,irm_qa,irm_qa,请问，截至2026年五月 10日公司的股东总数是多少？谢谢,请问，截至2026年五月 10日公司的股东总数是多少？谢谢,-0.1749521203748562,-18.990449709268123,-0.2738357107722576,-0.0988835903974014,15,False,1,1,1,1,1,,,,
296,category_other|overlap_dirty_p20,优先人工重分类,002313|2010-10-26|其他,日海智能,2313,2010-10-26,train,audit_or_aux,其他,,forecast,forecast,略增 增长3000%~5000%,略增 增长3000%~5000% || 日海通讯：第二届监事会第三次会议决议公告 || 日海通讯：财务会计相关负责人管理制度（2010年10月） || 日海通讯：防范大股东及关联方资金占用专项制度（2010年10月） || 日海通讯：平安证券有限责任公司关于公司开展规范财务会计基础工作专项活动的整改报告及防止资金占用长效机制建立和落实情况自查报告的核查意见 || 日海通讯：第二届董事会第四次会议决议公告,0.2779060784931216,9.651202,0.3909004287756075,0.1129943502824859,1,False,1,6,1,1,1,,,,
297,extreme_relative_label|subject_company|overlap_dirty_p20,检查同窗事件污染，必要时降为稳健性样本,300590|2021-07-09|资本动作,移为通信,300590,2021-07-09,train,audit_or_aux,资本动作,股权激励/员工持股,announcement,announcement,监事会关于公司2021年限制性股票与股票期权激励计划首次授予激励对象名单的公示情况说明及核查意见,监事会关于公司2021年限制性股票与股票期权激励计划首次授予激励对象名单的公示情况说明及核查意见,0.3627162104169473,18.00210014438786,0.3593696341022376,-0.0033465763147097,17,False,1,1,1,1,1,,,,
298,category_other|overlap_dirty_p20,优先人工重分类,300638|2021-04-14|其他,广和通,300638,2021-04-14,train,audit_or_aux,其他,,announcement,announcement,第二届董事会第三十一次会议决议公告,第二届董事会第三十一次会议决议公告 || 独立董事关于第二届董事会第三十一次会议相关事项的独立意见 || 第二届监事会第二十六次会议决议公告,0.1656894570816812,20.82465570686893,0.0839107005173784,-0.0817787565643028,26,False,1,3,1,1,1,,,,
299,extreme_relative_label|category_other|overlap_dirty_p20,优先人工重分类,688159|2023-06-09|其他,有方科技,688159,2023-06-09,valid,audit_or_aux,其他,,announcement,announcement,2023年第四次临时股东大会会议资料,2023年第四次临时股东大会会议资料,0.3774297521112817,8.323879949415344,0.4152511742845175,0.0378214221732358,13,False,1,1,1,1,1,,,,
300,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2020-07-01|其他,广和通,300638,2020-07-01,train,audit_or_aux,其他,,announcement,announcement,关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/01),关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/07/01) || 2020年第一次临时股东大会决议公告 || 2020年第一次临时股东大会法律意见书,0.1612279180052676,22.849310344652228,0.11148086522921,-0.0497470527760576,12,False,1,3,1,1,1,,,,
301,category_other|overlap_dirty_p20,优先人工重分类,300098|2017-04-26|其他,高新兴,300098,2017-04-26,train,audit_or_aux,其他,,announcement,announcement,第四届监事会第十次会议的公告,第四届监事会第十次会议的公告 || 关于收到《中国证监会行政许可申请受理通知书》的公告 || 第四届董事会第十三次会议决议的公告,0.1863999240316111,16.020351131866672,0.1435984208927436,-0.0428015031388675,7,False,1,3,1,1,1,,,,
302,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2026-05-07|其他,移远通信,603236,2026-05-07,test,audit_or_aux,其他,,announcement,announcement,关于使用闲置募集资金进行现金管理赎回的公告,关于使用闲置募集资金进行现金管理赎回的公告,0.1484056484985813,31.93910943280812,0.0762021868271922,-0.0722034616713891,8,False,1,1,1,1,1,,,,
303,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2022-02-26|其他,移远通信,603236,2022-02-26,train,audit_or_aux,其他,,announcement,announcement,:关于变更持续督导保荐代表人的公告,:关于变更持续督导保荐代表人的公告,0.1435962274819116,42.030641023228256,-0.0186013528451447,-0.1621975803270563,8,False,1,1,1,1,1,,,,
304,category_other|overlap_dirty_p20,优先人工重分类,002881|2025-04-28|其他,美格智能,2881,2025-04-28,test,audit_or_aux,其他,,announcement,announcement,董事会对独立董事独立性评估的专项意见,董事会对独立董事独立性评估的专项意见 || 内部控制自我评价报告 || 2024年度独立董事述职报告(杨政) || 董事会审计委员会对会计师事务所2024年度履职情况评估及履行监督职责情况的报告 || 2024年度财务决算报告 || 2024年年度审计报告,-0.1733609336700962,-18.88324379737026,-0.0257709251530144,0.1475900085170818,14,False,1,22,1,1,1,,,,
