LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20260527,2026-05-27 10:54:08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1225333839&orgId=9900011549&announcementTime=2026-05-27 10:54:08
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20260427,2026-04-27 10:12:15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1225205103&orgId=9900011549&announcementTime=2026-04-27 10:12:15
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20250826,2025-08-26 11:26:10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1224583907&orgId=9900011549&announcementTime=2025-08-26 11:26:10
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20240927,2024-09-27 09:10:12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1221312992&orgId=9900011549&announcementTime=2024-09-27 09:10:12
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20240529,2024-05-29 10:28:15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1220197082&orgId=9900011549&announcementTime=2024-05-29 10:28:15
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理信息20240111,2024-01-11 09:29:16,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1218858111&orgId=9900011549&announcementTime=2024-01-11 09:29:16
合众思壮,002383,002383,合众思壮,2018年12月19日投资者关系活动记录表,2018-12-21 05:42:58,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205683400&orgId=9900011549&announcementTime=2018-12-21 05:42:58
合众思壮,002383,002383,合众思壮,2018年12月19日调研活动附件之调研记录,2018-12-21 05:42:58,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205683399&orgId=9900011549&announcementTime=2018-12-21 05:42:58
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理档案20181210,2018-12-10 02:34:27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205660398&orgId=9900011549&announcementTime=2018-12-10 02:34:27
合众思壮,002383,002383,合众思壮,002383合众思壮投资者关系管理档案20181210,2018-12-10 02:34:27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205660397&orgId=9900011549&announcementTime=2018-12-10 02:34:27
合众思壮,002383,002383,合众思壮,2018年9月11日投资者关系活动记录表,2018-09-12 11:55:39,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205432769&orgId=9900011549&announcementTime=2018-09-12 11:55:39
合众思壮,002383,002383,合众思壮,2018年9月11日调研活动附件之投资者调研纪要,2018-09-12 11:55:38,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205432768&orgId=9900011549&announcementTime=2018-09-12 11:55:38
合众思壮,002383,002383,合众思壮,2018年7月11日投资者关系活动记录表,2018-07-12 12:12:45,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205147159&orgId=9900011549&announcementTime=2018-07-12 12:12:45
合众思壮,002383,002383,合众思壮,2018年7月11日调研活动附件之投资者调研纪要,2018-07-12 12:12:44,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1205147158&orgId=9900011549&announcementTime=2018-07-12 12:12:44
合众思壮,002383,002383,合众思壮,2017年12月19日投资者关系活动记录表,2017-12-20 11:54:31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1204243151&orgId=9900011549&announcementTime=2017-12-20 11:54:31
合众思壮,002383,002383,合众思壮,2017年12月19日调研活动附件之投资者调研纪要,2017-12-20 11:54:30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1204243150&orgId=9900011549&announcementTime=2017-12-20 11:54:30
合众思壮,002383,002383,合众思壮,2017年8月15日投资者关系活动记录表,2017-08-17 06:21:32,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203807359&orgId=9900011549&announcementTime=2017-08-17 06:21:32
合众思壮,002383,002383,合众思壮,2017年8月15日调研活动附件之投资者调研纪要,2017-08-17 06:21:32,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203807358&orgId=9900011549&announcementTime=2017-08-17 06:21:32
合众思壮,002383,002383,合众思壮,2017年4月18日投资者关系活动记录表,2017-04-20 07:00:10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203337049&orgId=9900011549&announcementTime=2017-04-20 07:00:10
合众思壮,002383,002383,合众思壮,2017年4月18日调研活动附件之投资者调研纪要,2017-04-20 07:00:09,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203337048&orgId=9900011549&announcementTime=2017-04-20 07:00:09
合众思壮,002383,002383,合众思壮,2017年2月14日调研活动附件之投资者调研纪要,2017-02-16 05:40:05,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203087573&orgId=9900011549&announcementTime=2017-02-16 05:40:05
合众思壮,002383,002383,合众思壮,2017年2月14日投资者关系活动记录表,2017-02-16 05:40:03,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203087572&orgId=9900011549&announcementTime=2017-02-16 05:40:03
合众思壮,002383,002383,合众思壮,2017年1月10日投资者关系活动记录表,2017-01-13 12:00:23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203014469&orgId=9900011549&announcementTime=2017-01-13 12:00:23
合众思壮,002383,002383,合众思壮,2017年1月10日调研活动附件之投资者调研纪要,2017-01-13 12:00:23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1203014468&orgId=9900011549&announcementTime=2017-01-13 12:00:23
合众思壮,002383,002383,合众思壮,2016年12月6日投资者关系活动记录表,2016-12-08 05:47:59,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202865137&orgId=9900011549&announcementTime=2016-12-08 05:47:59
合众思壮,002383,002383,合众思壮,2016年12月6日调研活动附件之投资者调研纪要,2016-12-08 05:47:57,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202865136&orgId=9900011549&announcementTime=2016-12-08 05:47:57
合众思壮,002383,002383,合众思壮,2016年10月11日投资者关系活动记录表,2016-10-14 02:06:06,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202758971&orgId=9900011549&announcementTime=2016-10-14 02:06:06
合众思壮,002383,002383,合众思壮,2016年10月11日调研活动附件之投资者调研纪要,2016-10-14 02:06:05,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202758970&orgId=9900011549&announcementTime=2016-10-14 02:06:05
合众思壮,002383,002383,合众思壮,2016年8月25日投资者关系活动记录表,2016-08-29 07:20:44,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202641980&orgId=9900011549&announcementTime=2016-08-29 07:20:44
合众思壮,002383,002383,合众思壮,2016年8月25日调研活动之投资者调研纪要,2016-08-29 07:20:43,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202641979&orgId=9900011549&announcementTime=2016-08-29 07:20:43
合众思壮,002383,002383,合众思壮,2016年4月5日投资者关系活动记录表,2016-04-07 06:31:29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202148235&orgId=9900011549&announcementTime=2016-04-07 06:31:29
合众思壮,002383,002383,合众思壮,2016年4月5日调研活动附件之投资者调研纪要,2016-04-07 06:31:27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002383&announcementId=1202148234&orgId=9900011549&announcementTime=2016-04-07 06:31:27
