ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,period
301608.SZ,20191231,东北,D,19282100.0,,,CNY,20191231
301608.SZ,20191231,亚洲,D,3915000.0,,,CNY,20191231
301608.SZ,20191231,其他(地区),D,518700.0,,,CNY,20191231
301608.SZ,20191231,其他业务(地区),D,10005653.16,745864.66,9259788.5,CNY,20191231
301608.SZ,20191231,华东,D,391416000.0,,,CNY,20191231
301608.SZ,20191231,华北,D,63165800.0,,,CNY,20191231
301608.SZ,20191231,华南,D,227696900.0,,,CNY,20191231
301608.SZ,20191231,西北,D,17506500.0,,,CNY,20191231
301608.SZ,20191231,西南,D,52785100.0,,,CNY,20191231
301608.SZ,20191231,非洲,D,513500.0,,,CNY,20191231
301608.SZ,20201231,东北,D,31095500.0,,,CNY,20201231
301608.SZ,20201231,亚洲,D,1848100.0,,,CNY,20201231
301608.SZ,20201231,其他(地区),D,39100.0,,,CNY,20201231
301608.SZ,20201231,其他业务(地区),D,13902495.72,3353654.29,10548841.43,CNY,20201231
301608.SZ,20201231,北美洲,D,6800.0,,,CNY,20201231
301608.SZ,20201231,华东,D,475278300.0,,,CNY,20201231
301608.SZ,20201231,华北,D,84632800.0,,,CNY,20201231
301608.SZ,20201231,华南,D,397230700.0,,,CNY,20201231
301608.SZ,20201231,西北,D,9942500.0,,,CNY,20201231
301608.SZ,20201231,西南,D,38856000.0,,,CNY,20201231
301608.SZ,20201231,非洲,D,301000.0,,,CNY,20201231
301608.SZ,20211231,东北,D,23012400.0,,,CNY,20211231
301608.SZ,20211231,亚洲,D,2204000.0,,,CNY,20211231
301608.SZ,20211231,其他(地区),D,82700.0,,,CNY,20211231
301608.SZ,20211231,其他业务(地区),D,18877512.24,4725876.96,14151635.28,CNY,20211231
301608.SZ,20211231,华东,D,550246300.0,,,CNY,20211231
301608.SZ,20211231,华北,D,138815400.0,,,CNY,20211231
301608.SZ,20211231,华南,D,498965100.0,,,CNY,20211231
301608.SZ,20211231,西北,D,15387600.0,,,CNY,20211231
301608.SZ,20211231,西南,D,49681600.0,,,CNY,20211231
301608.SZ,20211231,非洲,D,38427700.0,,,CNY,20211231
301608.SZ,20221231,东北,D,13516700.0,,,CNY,20221231
301608.SZ,20221231,亚洲,D,4674800.0,,,CNY,20221231
301608.SZ,20221231,其他(地区),D,448300.0,,,CNY,20221231
301608.SZ,20221231,其他业务(地区),D,20868956.07,4052989.86,16815966.21,CNY,20221231
301608.SZ,20221231,北美洲,D,28600.0,,,CNY,20221231
301608.SZ,20221231,华东,D,420329600.0,,,CNY,20221231
301608.SZ,20221231,华北,D,153301600.0,,,CNY,20221231
301608.SZ,20221231,华南,D,485664900.0,,,CNY,20221231
301608.SZ,20221231,西北,D,20963500.0,,,CNY,20221231
301608.SZ,20221231,西南,D,45326200.0,,,CNY,20221231
301608.SZ,20221231,非洲,D,44496900.0,,,CNY,20221231
301608.SZ,20231231,东北,D,11232900.0,,,CNY,20231231
301608.SZ,20231231,亚洲,D,6357400.0,,,CNY,20231231
301608.SZ,20231231,其他(地区),D,348400.0,,,CNY,20231231
301608.SZ,20231231,其他业务(地区),D,11707522.11,1846574.9,9860947.21,CNY,20231231
301608.SZ,20231231,北美洲,D,15396400.0,,,CNY,20231231
301608.SZ,20231231,华东,D,528292000.0,,,CNY,20231231
301608.SZ,20231231,华北,D,131039100.0,,,CNY,20231231
301608.SZ,20231231,华南,D,297218500.0,,,CNY,20231231
301608.SZ,20231231,西北,D,35632100.0,,,CNY,20231231
301608.SZ,20231231,西南,D,42238600.0,,,CNY,20231231
301608.SZ,20231231,非洲,D,43257700.0,,,CNY,20231231
301608.SZ,20241231,中国大陆,D,1074394343.76,239885863.46,834508480.3,CNY,20241231
301608.SZ,20241231,国外,D,327286894.63,91072225.06,236214669.57,CNY,20241231
