EITIME,END_DATE,EUTIME,INVESTIGATORS,IS_MAX_REPORT,IS_SOURCE,LISTING_STATE,LOCAL_COMPANY_NAME,NOTICE_DATE,NUM,NUMBERNEW,OBJECT_CODE,ORG_CODE,ORG_NAME,ORG_TYPE,ORG_TYPE_CODE,RECEIVE_END_DATE,RECEIVE_OBJECT,RECEIVE_OBJECT_TYPE,RECEIVE_PLACE,RECEIVE_START_DATE,RECEIVE_TIME_EXPLAIN,RECEIVE_WAY,RECEIVE_WAY_EXPLAIN,RECEPTIONIST,REMARK,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,SOURCE,SUM
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"黄俊豪,戚锦锭",1,1,0,移远通信,2026-05-20 00:00:00,15,15,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,纽富斯,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,赵赫,1,1,0,移远通信,2026-05-20 00:00:00,16,16,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,青创投,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"刘敏杰,刘舒斐",1,1,0,移远通信,2026-05-20 00:00:00,14,14,10174454,10467399,上海移远通信技术股份有限公司,创业投资公司,007002,2026-05-19 00:00:00,湖南高新创投,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"魏纯,肖怡然,杨旦希,袁林聪",1,1,0,移远通信,2026-05-20 00:00:00,12,12,10004787,10467399,上海移远通信技术股份有限公司,证券公司,005001,2026-05-19 00:00:00,国联民生,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,张看,1,1,0,移远通信,2026-05-20 00:00:00,13,13,10204609,10467399,上海移远通信技术股份有限公司,保险资产管理公司,003008,2026-05-19 00:00:00,合众资产,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,郝知雨,1,1,0,移远通信,2026-05-20 00:00:00,20,20,10434566,10467399,上海移远通信技术股份有限公司,证券公司,005001,2026-05-19 00:00:00,申万宏源证券,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,董晨阳,1,1,0,移远通信,2026-05-20 00:00:00,21,21,10004970,10467399,上海移远通信技术股份有限公司,基金管理公司,004001,2026-05-19 00:00:00,新华基金,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,刘宁,1,1,0,移远通信,2026-05-20 00:00:00,19,19,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,上证自营,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"李越,任怡",1,1,0,移远通信,2026-05-20 00:00:00,17,17,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,青岛城投,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"易小二,易振兴",1,1,0,移远通信,2026-05-20 00:00:00,18,18,10443062,10467399,上海移远通信技术股份有限公司,资产管理公司,002007,2026-05-19 00:00:00,山证资管,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,张建民,1,1,0,移远通信,2026-05-20 00:00:00,11,11,10005659,10467399,上海移远通信技术股份有限公司,证券公司,005001,2026-05-19 00:00:00,国海证券,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,李俊贤,1,1,0,移远通信,2026-05-20 00:00:00,4,4,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,赣发基金,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"黄超凡,许祺祺",1,1,0,移远通信,2026-05-20 00:00:00,5,5,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,赣发投,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,邹文浩,1,1,0,移远通信,2026-05-20 00:00:00,3,3,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,福建广电网络投资,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,谢泽林,1,1,0,移远通信,2026-05-20 00:00:00,1,1,10004948,10467399,上海移远通信技术股份有限公司,基金管理公司,004001,2026-05-19 00:00:00,博时基金,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,隆军德,1,1,0,移远通信,2026-05-20 00:00:00,2,2,10004868,10467399,上海移远通信技术股份有限公司,证券公司,005001,2026-05-19 00:00:00,东财证券,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,戴凯亮,1,1,0,移远通信,2026-05-20 00:00:00,9,9,10000259192,10467399,上海移远通信技术股份有限公司,投资公司,007001,2026-05-19 00:00:00,广州凯得投资,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,聂晨,1,1,0,移远通信,2026-05-20 00:00:00,10,10,10184198,10467399,上海移远通信技术股份有限公司,投资公司,007001,2026-05-19 00:00:00,国海创新资本,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,刘鑫,1,1,0,移远通信,2026-05-20 00:00:00,8,8,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,广州海珠城发,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,沙涛,1,1,0,移远通信,2026-05-20 00:00:00,6,6,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,固信投资,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"马天诣,马英皓",1,1,0,移远通信,2026-05-20 00:00:00,7,7,10004969,10467399,上海移远通信技术股份有限公司,基金管理公司,004001,2026-05-19 00:00:00,广发基金,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,彭荔,1,1,0,移远通信,2026-05-20 00:00:00,37,37,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,聚纯投资,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,"姜标,朱俊宇",1,1,0,移远通信,2026-05-20 00:00:00,38,38,10004925,10467399,上海移远通信技术股份有限公司,证券公司,005001,2026-05-19 00:00:00,爱建证券,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,孙超俊,1,1,0,移远通信,2026-05-20 00:00:00,35,35,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,盈科资本,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,李祖兵,1,1,0,移远通信,2026-05-20 00:00:00,33,33,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,中胜资产,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,凌建军,1,1,0,移远通信,2026-05-20 00:00:00,34,34,10445437,10467399,上海移远通信技术股份有限公司,投资公司,007001,2026-05-19 00:00:00,贵源投资,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
2026-05-20 17:29:31,2026-05-20 00:00:00,2026-05-20 17:29:31,姚旭,1,1,0,移远通信,2026-05-20 00:00:00,42,42,,10467399,上海移远通信技术股份有限公司,,,2026-05-19 00:00:00,陕投基金,001,上海,2026-04-27 00:00:00,"2026/4/27,2026/5/12,2026/5/15,2026/5/19","001,004","特定对象调研,现场参观,网络会议","董事长、CEO 钱鹏鹤,首席运营官 张栋,董事会秘书 郑雷,证券事务代表 王凡",,603236.SH,603236,移远通信,007,50
