事件日期,公司,事件类型,事件标题,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[0,+20]",客观变化综合评分
2015-01-20,高新兴,资本动作,关于控股股东进行质押式回购交易的公告,46.91844414,83.26051315000001,36.34206901,0.774579585409074,0.1012433392539964,1.0,2.0,0.3882,85.36740133772592
2015-11-20,高新兴,其他,关于完成工商变更登记的公告,132.62453947999998,203.44621849,70.82167901000001,0.5340013189691795,,1.0,1.0,0.0,83.92094502253437
2024-02-06,日海智能,其他,详式权益变动报告书,23.7744,42.98112,19.20672,0.8078740157480315,0.4225616699380561,1.0,8.0,0.2849551428571429,79.38328125984252
2015-12-03,高新兴,其他,广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易实施情况的法律意见书,152.29911715,224.75453295,72.45541580000001,0.4757441615937825,,1.0,1.0,0.0,78.92724082750262
2020-02-04,高新兴,其他,关于召开2020年第一次临时股东大会的提示性公告,83.7834679,132.99523114,49.21176324,0.5873684209244816,0.3697818968101775,2.0,8.0,0.1378024285714285,77.41535529395853
2024-08-30,高新兴,其他,董事会决议公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,业绩信号,2024年半年度报告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,管理层/投关信号,关于举行2024年半年度业绩说明会的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,风险事件,关于计提资产减值准备的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-08-30,高新兴,资本动作,关于终止控股子公司员工股权激励方案的公告,64.29794418,105.65716232,41.35921814,0.6432432431154598,0.4434757227127902,2.0,9.0,0.1463193749999999,77.34906851923678
2024-09-20,广和通,资本动作,关于控股股东、实际控制人部分股份补充质押及部分股份解除质押的公告,79.48423020999999,126.24164591,46.75741570000001,0.5882602822781997,0.4065358720980641,1.0,9.0,0.1390687499999999,75.32953043225599
2015-12-29,高新兴,其他,关于股东大会通知的更正公告,224.96868687,143.16189164,-81.80679523,-0.3636363636565685,,1.0,1.0,-0.052,75.27430670752548
2015-12-29,高新兴,客户/订单,关于与北京蚁视科技有限公司、ANTVR LIMITED及覃政签署框架协议的公告,224.96868687,143.16189164,-81.80679523,-0.3636363636565685,,1.0,1.0,-0.052,75.27430670752548
2019-02-11,高新兴,业绩信号,2018业绩预告点评：聚焦车联网与执法规范化产品，持续高增长,126.33772236,188.97723554,62.63951318000001,0.4958100558557514,0.5433784925931893,2.0,5.0,-0.0072557499999999,75.20456105846011
2015-06-16,日海智能,其他,日海通讯:第三届董事会第二十一次会议决议公告,93.444,41.8704,-51.5736,-0.5519198664440734,-0.1267482517532834,2.0,2.0,-0.5677999999999999,75.05038931552588
2015-06-16,日海智能,产品/技术创新,日海通讯:关于全资子公司日海设备转让其控股子公司纬海技术股权的公告,93.444,41.8704,-51.5736,-0.5519198664440734,-0.1267482517532834,2.0,2.0,-0.5677999999999999,75.05038931552588
2025-07-31,移远通信,管理层/投关信号,"移远通信 特定对象调研 2025/7/11,7/22,7/23,7/25",212.07352857,290.04750946,77.97398089,0.3676742751241715,0.2094965383813705,1.0,9.0,0.1274941249999999,74.61093245493372
2021-06-16,广和通,其他,关于选举产生第三届监事会职工代表监事的公告,170.58959741,241.43780918,70.84821177,0.4153137872746211,-0.0571559493728833,1.0,8.0,0.3826520000000001,73.60920886696968
2015-10-30,高新兴,资本动作,发行股份及支付现金购买资产并募集配套资金之标的资产过户完成情况的公告,82.50893728999999,129.40506313,46.89612584,0.5683763163155389,,1.0,1.0,0.0,73.4681682252431
2015-10-30,高新兴,其他,广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之标的资产过户情况独立财务顾问核查意见,82.50893728999999,129.40506313,46.89612584,0.5683763163155389,,1.0,1.0,0.0,73.4681682252431
2025-03-11,广和通,产品/技术创新,关于公司及子公司通过高新技术企业认定的公告,270.28164568,184.32121291,-85.96043276999998,-0.3180402152492917,-0.2721005211135995,8.0,9.0,-0.0504659999999999,73.13343360494332
2019-02-23,广和通,业绩信号,业绩快报 营收=1249101100.0 净利润=86796900.0,41.19200514,68.471559,27.27955386,0.6622536040011768,0.1512050037782096,1.0,5.0,0.3907210000000001,72.22006525009414
2021-04-20,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司使用募集资金置换预先已投入募投项目的自筹资金的核查意见,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,政策/行业,:关于会计政策变更的公告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,资本动作,分红送转 cash_div=0.0 proc=预案,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,风险事件,:关于2020年度计提资产减值和信用减值准备的公告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,业绩信号,:2020年年度报告,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2021-04-20,移远通信,其他,:关于召开2020年年度股东大会的通知,259.20736905,176.23417326,-82.97319579,-0.3201035375425411,-0.0689539168084027,8.0,8.0,-0.3034005714285714,71.97488089840328
2015-12-26,高新兴,其他,关于获得2015年度国家火炬计划项目立项的公告,234.28438213,155.15451084,-79.12987129,-0.3377513710926421,,1.0,1.0,-0.0482,71.70504533241137
2015-10-27,高新兴,资本动作,广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金权益分派实施完毕后调整股份发行价格和数量的法律意见书,89.27312003,136.11230552,46.839185490000006,0.5246728855702569,,1.0,1.0,0.0,71.26342359062056
2015-10-27,高新兴,业绩信号,2015年第三季度报告全文,89.27312003,136.11230552,46.839185490000006,0.5246728855702569,,1.0,1.0,0.0,71.26342359062056
2015-10-27,高新兴,其他,公司章程(2015年10月),89.27312003,136.11230552,46.839185490000006,0.5246728855702569,,1.0,1.0,0.0,71.26342359062056
2019-02-23,广和通,其他,关于公司参与联合竞拍取得留仙洞二街坊T501-0096宗地土地使用权的公告,41.19200514,68.471559,27.27955386,0.6622536040011768,0.1512050037782096,1.0,5.0,0.3907210000000001,71.22006525009414
2020-02-12,高新兴,其他,关于为全资子公司申请银行授信提供担保的进展公告,89.42782783999999,136.69934236,47.27151452000002,0.5285996055341515,0.1109110864336067,1.0,8.0,0.3206061428571428,70.51372570273213
2019-01-26,广和通,资本动作,关于持股5%以上股东减持计划实施进展公告,33.59347992,56.352699,22.75921908,0.6774891774891774,0.1934130881110835,1.0,5.0,0.35966125,70.4887437391342
2021-06-22,广和通,其他,第三届董事会第一次会议决议公告,178.56725486000002,247.59672607,69.02947120999998,0.3865740740883336,-0.0142944778760629,1.0,8.0,0.3884001428571429,70.29066153206668
2019-07-18,美格智能,其他,关于使用部分暂时闲置募集资金进行现金管理进展的公告,39.7495088,65.66285189999999,25.9133431,0.6519160583941606,0.1982043720624739,2.0,6.0,0.3760172,69.95995622153283
2019-02-12,高新兴,其他,关于控股股东、实际控制人股份变动计划的提示性公告,128.80801302,186.15404621,57.34603318999999,0.4452054794222768,0.5482451201417196,2.0,5.0,-0.0434394999999999,69.87945494878214
2020-04-16,移远通信,政策/行业,增收不增利，为长远发展蓄势,146.47815,208.868478,62.390328,0.4259360730593606,0.0712358801038869,1.0,8.0,0.2980677142857143,69.29004984474885
2021-01-06,移远通信,资本动作,:关于非公开发行股票申请获得中国证监会发行审核委员会审核通过的公告,205.1068656,276.957408,71.85054240000001,0.3503078367943233,-0.1476833246157778,1.0,8.0,0.4689147142857143,68.87989814354587
2021-06-05,广和通,政策/行业,关于为参股公司提供财务资助的公告,155.24204187,217.0914867,61.84944483,0.3984065404253885,0.1032569437295887,1.0,8.0,0.2752512857142857,67.76724564903108
2021-06-05,广和通,其他,第二届监事会第二十九次会议决议公告,155.24204187,217.0914867,61.84944483,0.3984065404253885,0.1032569437295887,1.0,8.0,0.2752512857142857,67.76724564903108
2021-06-05,广和通,产品/技术创新,关于取得专利证书的公告,155.24204187,217.0914867,61.84944483,0.3984065404253885,0.1032569437295887,1.0,8.0,0.2752512857142857,67.76724564903108
2024-12-28,美格智能,资本动作,回购 实施 金额=2997989.0,76.49849882000001,115.87349615,39.37499732999999,0.5147159478599557,0.0539751701892585,1.0,9.0,0.381363,67.74477449379646
2021-10-09,美格智能,业绩信号,预增 预计净利润7554-8054万,51.195975,80.17425408,28.97827908,0.5660265104825135,-0.0052956530543662,1.0,8.0,0.471726,67.49126037860108
2021-09-29,美格智能,政策/行业,智能模组领军者，智能汽车解决方案新锐异军突起,48.465523,77.66419456,29.19867156,0.6024627354170924,0.0017785591787453,1.0,8.0,0.4863308571428572,67.1763546133674
2023-04-21,移远通信,资本动作,关于5%以上股东股份变动超过1%的提示性公告,214.75923117,143.60747955,-71.15175162,-0.3313093981216454,-0.0565987814088333,8.0,8.0,-0.328988,67.04062765973163
