事件日期,公司,事件类型,事件标题,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[0,+20]",客观变化综合评分
2022-03-26,移远通信,其他,:2022年第一次临时股东大会会议资料,263.28110659,199.15803436,-64.12307222999998,-0.2435536414310845,-0.3062655807612898,1.0,8.0,0.0843492857142856,56.12582742948675
2022-09-01,移远通信,管理层/投关信号,:投资者关系活动记录表2022年8月,279.03203521,215.60965051,-63.42238469999996,-0.2272942769896229,-0.1593070843890401,8.0,8.0,-0.0837364285714285,54.71473450916981
2023-04-25,移远通信,业绩信号,2023年第一季度报告,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.3474512857142858,59.39421464084111
2023-04-25,移远通信,产品/技术创新,招商证券股份有限公司关于上海移远通信技术股份有限公司2022年度募集资金存放和使用情况的专项核查意见,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.3474512857142858,59.39421464084111
2023-04-25,移远通信,政策/行业,关于会计政策变更的公告,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.3474512857142858,59.39421464084111
2023-04-25,移远通信,其他,2022年度独立董事述职报告,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.3474512857142858,59.39421464084111
2023-04-25,移远通信,资本动作,关于注销2022年股票期权激励计划部分股票期权的公告,205.04555246,143.04053332,-62.00501913999999,-0.3023963133855138,0.0034403200356367,8.0,8.0,-0.3474512857142858,59.39421464084111
2020-03-05,移远通信,其他,:移远通信关于使用部分闲置募集资金进行现金管理的进展公告,214.56708,154.81648,-59.75059999999998,-0.2784704904405651,-0.1989482741840276,6.0,8.0,-0.1012445714285714,57.5629392352452
2021-04-06,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司使用银行承兑汇票支付募投项目款项并以募集资金等额置换的核查意见,257.75366077,199.59414712,-58.15951365,-0.2256399132266725,-0.0271628991852501,7.0,8.0,-0.2125508571428571,51.87094988313381
2021-04-06,移远通信,资本动作,:关于公司购买房产的公告,257.75366077,199.59414712,-58.15951365,-0.2256399132266725,-0.0271628991852501,7.0,8.0,-0.2125508571428571,51.87094988313381
