事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2017-03-29,高新兴,资本动作,发行股份及支付现金购买资产并募集配套资金报告书摘要,4,134.7754772,123.81287858,-10.962598620000016,-0.0813397128895494,-0.1062181919598571,1.0,3.0,0.0727,-0.4872166666666667,-65.66485874979334,34.23141666666666
2017-03-29,高新兴,政策/行业,广发证券股份有限公司关于公司本次交易产业政策和交易类型之独立财务顾问核查意见,1,134.7754772,123.81287858,-10.962598620000016,-0.0813397128895494,-0.1062181919598571,1.0,3.0,0.0727,-0.4872166666666667,-65.66485874979334,32.431416666666664
2017-04-11,高新兴,其他,关于召开2017年第四次临时股东大会的提示性公告,1,132.08856577999998,123.49044921,-8.598116570000002,-0.0650935720228849,-0.0687866484344869,2.0,3.0,0.0161499999999999,-0.4842333333333333,-63.96168650286866,36.66283333333333
2020-01-23,锐明技术,其他,关于使用部分闲置募集资金和闲置自有资金进行现金管理的进展公告,1,132.18336000000002,118.11744,-14.065920000000018,-0.1064121838028631,0.0980799628468528,7.0,8.0,-0.2644304761904762,-0.4730707142857143,-62.532076531885714,61.10547738095239
2019-12-27,高新兴,产品/技术创新,关于签署2019智能网联汽车技术大会设备采购及安装项目合同书的公告,1,100.89293397,77.96272169999999,-22.93021227000001,-0.2272727273132744,0.0383147857954768,7.0,7.0,0.0202506666666666,-0.6118907142857144,-61.73544943328472,33.51982952380953
2019-07-09,高新兴,其他,第一期股票期权激励计划实施考核管理办法(修订案),6,136.34656986,115.18022007,-21.16634979000001,-0.1552393273386599,0.0884949245399701,5.0,5.0,-0.0213545,-0.4359310500000001,-59.437703362968165,32.42186875
2019-07-09,高新兴,资本动作,第一期股票期权激励计划(修订案),4,136.34656986,115.18022007,-21.16634979000001,-0.1552393273386599,0.0884949245399701,5.0,5.0,-0.0213545,-0.4359310500000001,-59.437703362968165,32.22186875
2016-07-06,高新兴,其他,关于使用部分暂时闲置募集资金进行现金管理的实施公告,1,179.48568336,154.65862177,-24.82706159000001,-0.1383233532905441,0.1781155015197568,2.0,2.0,-0.3343,-0.3285999999999999,-58.97899555209598,57.764
2020-01-13,锐明技术,其他,国信证券股份有限公司关于公司持续督导2019年培训情况的报告,2,131.6736,129.7296,-1.944,-0.014763779527559,0.1635033773216954,4.0,7.0,0.0250466666666666,-0.4450040476190476,-58.59528496457144,26.895484523809525
2025-01-23,移远通信,其他,关于控股股东权益变动的提示性公告,2,229.73542021,213.12015918,-16.61526102999998,-0.072323462419561,0.2001683112328822,9.0,9.0,-0.0549752499999999,-0.2547018749999999,-58.51404228139989,27.307804374999996
2025-01-23,移远通信,业绩信号,预增 预计:净利润54000,2,229.73542021,213.12015918,-16.61526102999998,-0.072323462419561,0.2001683112328822,9.0,9.0,-0.0549752499999999,-0.2547018749999999,-58.51404228139989,38.307804375
2025-01-23,移远通信,资本动作,四季度业绩维持较高增速，关注后续边缘AI应用,1,229.73542021,213.12015918,-16.61526102999998,-0.072323462419561,0.2001683112328822,9.0,9.0,-0.0549752499999999,-0.2547018749999999,-58.51404228139989,27.707804374999995
2019-07-15,高新兴,业绩信号,续盈 预计净利润21500-28500万,2,130.52582367,119.06071754,-11.465106129999992,-0.0878378378135079,0.1455894839402284,5.0,5.0,-0.1315871499999999,-0.4464016,-58.26693652760588,51.021582
