事件类型,事件组数量,"平均客观涨跌幅[0,+20]",客观市值变化中位数（亿元）,客观市值变化绝对值合计（亿元）,"平均CAR[0,+20]",异常市值影响中位数（亿元）,异常市值影响绝对值合计（亿元）
其他,2044,0.0155460912292212,-0.0508685199999978,20527.88084811,-0.0022926311754496,-0.4540690944903751,18451.669036235387
资本动作,1613,0.0163998086996028,0.1558079999999958,18271.2793582,0.0026013479201724,-0.7474455144000002,16539.86088184692
产品/技术创新,535,0.0114735712399087,-0.2293457000000053,6557.53681356,-0.0027953402024922,-0.6988291200000001,5423.607913450682
业绩信号,557,0.0265990542638184,0.3318358400000026,5266.061629129999,-0.0007925902539112,-0.729070800000001,4745.186425234328
管理层/投关信号,611,0.0222627537498896,0.3114650000000023,5748.050919990001,-0.0088015454699555,-1.2077290490265011,4640.172796008588
政策/行业,337,0.0198281844253931,-0.4422215800000005,4539.39941211,0.0048720821075314,-0.7565258666680004,3564.8344763578903
风险事件,293,0.0226915529682678,0.5820647899999982,2789.44525668,0.0104601742523972,-0.2885795999999996,2549.9712292223403
客户/订单,113,-0.0101964341403649,-0.5454400900000008,1252.52067725,-0.0123758005689001,-1.5288149116144611,1287.5998253998405
