base_feature,representation,column,missing_rate,ic_train,ic_test,n_train,n_test,sign_stable_nontrivial
evt_money_max_to_mv,xsrank,evt_money_max_to_mv__xsrank,0.9791,0.4082,-0.0541,84,46,False
rel_to_peer_pb_pre,raw,rel_to_peer_pb_pre,0.0395,0.111,-0.0534,3895,1620,False
rel_to_peer_ret_m20_m1,selfz,rel_to_peer_ret_m20_m1__selfz,0.0481,0.0364,-0.0534,3843,1617,False
mgmt_survey_count_m30,xsrank,mgmt_survey_count_m30__xsrank,0.0,-0.014,0.0533,3905,1620,False
text_tech_keyword_count,selfz,text_tech_keyword_count__selfz,0.0281,0.0066,-0.0527,3849,1587,False
bal_liability_to_assets,raw,bal_liability_to_assets,0.0333,0.0903,-0.0524,3828,1619,False
inc_net_margin_calc,raw,inc_net_margin_calc,0.0333,-0.0321,0.0523,3828,1619,False
text_digit_count,yoy,text_digit_count__yoy,0.0505,-0.0078,0.0501,3697,1620,False
bal_current_ratio,raw,bal_current_ratio,0.0333,-0.1035,0.0498,3828,1619,False
text_growth_keyword_count,yoy,text_growth_keyword_count__yoy,0.0505,-0.0059,0.0497,3697,1620,False
evt_percent_max_abs,selfz,evt_percent_max_abs__selfz,0.962,0.0138,0.0486,136,84,False
rel_to_peer_turnover_avg_m60_m1,yoy,rel_to_peer_turnover_avg_m60_m1__yoy,0.1189,-0.1451,0.0482,3450,1560,False
mgmt_signal_count_m180,xsrank,mgmt_signal_count_m180__xsrank,0.0,-0.0053,0.048,3905,1620,False
volatility_m20_m1,yoy,volatility_m20_m1__yoy,0.0883,0.029,-0.0471,3539,1568,False
evt_percent_max_abs,raw,evt_percent_max_abs,0.9562,0.0493,0.0461,165,88,False
evt_percent_mean,xsdemed,evt_percent_mean__xsdemed,0.9631,-0.0324,0.046,134,82,False
peer_avg_turnover_avg_m20_m1,selfz,peer_avg_turnover_avg_m20_m1__selfz,0.0481,0.0186,-0.0453,3843,1617,False
text_policy_keyword_count,raw,text_policy_keyword_count,0.0,0.0077,-0.0439,3905,1620,False
text_policy_keyword_count,xsdemed,text_policy_keyword_count__xsdemed,0.0,0.0077,-0.0439,3905,1620,False
fin_bps,raw,fin_bps,0.0753,0.0513,-0.0434,3595,1605,False
fin_netprofit_margin,xsdemed,fin_netprofit_margin__xsdemed,0.0753,-0.0093,0.0422,3595,1605,False
evt_positive_word_count,selfz,evt_positive_word_count__selfz,0.0642,0.0254,-0.0417,3738,1506,False
peer_avg_pe_pre,selfz,peer_avg_pe_pre__selfz,0.2429,0.1072,-0.041,3268,1189,False
fin_grossprofit_margin,yoy,fin_grossprofit_margin__yoy,0.1477,-0.0192,0.0405,3190,1552,False
evt_positive_word_count,xsrank,evt_positive_word_count__xsrank,0.0,0.0298,-0.0392,3905,1620,False
text_ir_keyword_count,yoy,text_ir_keyword_count__yoy,0.0505,-0.0231,0.0375,3697,1620,False
text_percent_count,xsrank,text_percent_count__xsrank,0.0,0.0559,-0.0372,3905,1620,False
evt_percent_count,xsrank,evt_percent_count__xsrank,0.0,0.056,-0.0372,3905,1620,False
mkt_ret_m60_m1,selfz,mkt_ret_m60_m1__selfz,0.0283,-0.0097,0.036,3874,1617,False
peer_avg_turnover_avg_m20_m1,raw,peer_avg_turnover_avg_m20_m1,0.0439,0.0455,-0.0357,3867,1620,False
evt_positive_word_count,raw,evt_positive_word_count,0.0,0.0037,-0.0354,3905,1620,False
evt_positive_word_count,xsdemed,evt_positive_word_count__xsdemed,0.0,0.0037,-0.0354,3905,1620,False
fin_netprofit_margin,raw,fin_netprofit_margin,0.0753,-0.0255,0.0344,3595,1605,False
mgmt_survey_count_m30,selfz,mgmt_survey_count_m30__selfz,0.9193,,0.0342,0,516,False
group_event_count,xsdemed,group_event_count__xsdemed,0.0,0.0012,-0.0341,3905,1620,False
group_evidence_count,xsdemed,group_evidence_count__xsdemed,0.0,0.0012,-0.0341,3905,1620,False
cf_operating_cash_to_assets,yoy,cf_operating_cash_to_assets__yoy,0.098,-0.0799,0.034,3480,1566,False
evt_money_sum_yi,xsdemed,evt_money_sum_yi__xsdemed,0.9791,0.323,-0.0337,84,46,False
evt_money_max_yi,xsdemed,evt_money_max_yi__xsdemed,0.9791,0.3811,-0.0334,84,46,False
evt_money_sum_yi,xsrank,evt_money_sum_yi__xsrank,0.9791,0.3303,-0.0326,84,46,False
evt_money_max_yi,xsrank,evt_money_max_yi__xsrank,0.9791,0.3952,-0.0315,84,46,False
evt_percent_max_abs,xsrank,evt_percent_max_abs__xsrank,0.9631,0.1657,0.0314,134,82,False
mkt_ret_m5_m1,xsrank,mkt_ret_m5_m1__xsrank,0.0241,-0.0319,0.031,3897,1620,False
text_growth_keyword_count,xsrank,text_growth_keyword_count__xsrank,0.0,0.0109,-0.0309,3905,1620,False
mkt_ret_m60_m1,yoy,mkt_ret_m60_m1__yoy,0.0894,-0.0073,0.0302,3533,1568,False
evt_percent_mean,yoy,evt_percent_mean__yoy,0.9745,-0.1036,0.0297,101,42,False
inc_net_margin_calc,yoy,inc_net_margin_calc__yoy,0.098,0.0611,-0.0296,3480,1566,False
text_finance_keyword_count,selfz,text_finance_keyword_count__selfz,0.0313,-0.0363,-0.0294,3838,1617,False
volume_ratio_pre,selfz,volume_ratio_pre__selfz,0.0277,-0.0161,-0.0292,3858,1617,False
peer_avg_pe_pre,xsdemed,peer_avg_pe_pre__xsdemed,0.2387,0.0032,0.0285,3292,1192,False
evt_percent_mean,xsrank,evt_percent_mean__xsrank,0.9631,0.0403,-0.0285,134,82,False
fin_rd_exp,raw,fin_rd_exp,0.3781,0.0242,0.0282,2761,565,False
text_char_len,xsdemed,text_char_len__xsdemed,0.0,0.0021,-0.0279,3905,1620,False
text_capital_keyword_count,xsrank,text_capital_keyword_count__xsrank,0.0,0.0313,-0.0278,3905,1620,False
peer_avg_ret_m60_m1,xsrank,peer_avg_ret_m60_m1__xsrank,0.0508,0.0055,0.0276,3830,1613,False
keyword_score_num,raw,keyword_score_num,0.0,-0.0129,-0.0273,3905,1620,False
keyword_score_num,xsdemed,keyword_score_num__xsdemed,0.0,-0.0163,-0.0273,3905,1620,False
text_ir_keyword_count,selfz,text_ir_keyword_count__selfz,0.0183,0.0371,0.0269,3851,1620,False
rel_to_peer_pb_pre,selfz,rel_to_peer_pb_pre__selfz,0.0438,0.0788,-0.0269,3871,1617,False
text_money_word_count,xsrank,text_money_word_count__xsrank,0.0,-0.0026,-0.0265,3905,1620,False
text_char_len,xsrank,text_char_len__xsrank,0.0,-0.0005,-0.0262,3905,1620,False
volatility_m5_m1,yoy,volatility_m5_m1__yoy,0.086,0.0559,-0.0262,3554,1568,False
fin_roe,selfz,fin_roe__selfz,0.1005,0.078,0.0261,3456,1586,False
ret_m20_m1,xsrank,ret_m20_m1__xsrank,0.0244,-0.0325,-0.0256,3872,1620,False
volume_ratio_pre,raw,volume_ratio_pre,0.0233,-0.0192,-0.025,3879,1620,False
keyword_score_num,yoy,keyword_score_num__yoy,0.0505,-0.0136,-0.025,3697,1620,False
bal_liability_to_assets,yoy,bal_liability_to_assets__yoy,0.098,0.1049,0.0249,3480,1566,False
peer_avg_ret_m5_m1,yoy,peer_avg_ret_m5_m1__yoy,0.1089,-0.0595,-0.0249,3506,1568,False
mkt_ret_m5_m1,xsdemed,mkt_ret_m5_m1__xsdemed,0.0241,-0.0228,0.0245,3897,1620,False
rel_to_peer_ps_pre,xsdemed,rel_to_peer_ps_pre__xsdemed,0.0395,-0.0618,0.0242,3895,1620,False
peer_avg_ps_pre,xsrank,peer_avg_ps_pre__xsrank,0.0395,0.0354,-0.0238,3895,1620,False
peer_avg_ret_m5_m1,selfz,peer_avg_ret_m5_m1__selfz,0.0444,-0.0709,-0.0238,3867,1617,False
fin_roa,xsrank,fin_roa__xsrank,0.0753,0.056,0.0236,3595,1605,False
peer_avg_pb_pre,yoy,peer_avg_pb_pre__yoy,0.1069,-0.0462,-0.0232,3517,1568,False
mgmt_signal_count_m30,selfz,mgmt_signal_count_m30__selfz,0.007,0.0595,-0.023,3905,1620,False
fin_roa,raw,fin_roa,0.0753,0.0547,0.0229,3595,1605,False
peer_avg_ret_m20_m1,raw,peer_avg_ret_m20_m1,0.0439,-0.0539,0.0228,3867,1620,False
peer_avg_ret_m5_m1,raw,peer_avg_ret_m5_m1,0.0402,-0.0669,-0.0227,3891,1620,False
ps_pre,xsdemed,ps_pre__xsdemed,0.0205,-0.0583,0.0224,3897,1620,False
ret_m20_m1,selfz,ret_m20_m1__selfz,0.0288,-0.0114,-0.0223,3851,1617,False
fin_netprofit_margin,selfz,fin_netprofit_margin__selfz,0.1005,0.0987,-0.0222,3456,1586,False
evt_percent_mean,raw,evt_percent_mean,0.9562,-0.036,0.0209,165,88,False
text_growth_keyword_count,raw,text_growth_keyword_count,0.0,-0.0085,-0.0207,3905,1620,False
text_money_word_count,selfz,text_money_word_count__selfz,0.0192,-0.0272,0.0207,3879,1618,False
text_growth_keyword_count,xsdemed,text_growth_keyword_count__xsdemed,0.0,-0.0085,-0.0207,3905,1620,False
peer_avg_ret_m20_m1,selfz,peer_avg_ret_m20_m1__selfz,0.0481,-0.052,0.0206,3843,1617,False
text_tech_keyword_count,xsrank,text_tech_keyword_count__xsrank,0.0,0.0265,0.0205,3905,1620,False
peer_avg_pe_pre,raw,peer_avg_pe_pre,0.2387,0.0477,-0.0202,3292,1192,False
keyword_score_num,xsrank,keyword_score_num__xsrank,0.0,-0.0027,-0.0198,3905,1620,False
evt_percent_count,raw,evt_percent_count,0.0,0.0178,-0.0189,3905,1620,False
evt_percent_count,xsdemed,evt_percent_count__xsdemed,0.0,0.0178,-0.0189,3905,1620,False
text_percent_count,raw,text_percent_count,0.0,0.0177,-0.0186,3905,1620,False
text_digit_count,selfz,text_digit_count__selfz,0.0056,-0.0072,0.0186,3903,1620,False
text_percent_count,xsdemed,text_percent_count__xsdemed,0.0,0.0177,-0.0186,3905,1620,False
text_growth_keyword_count,selfz,text_growth_keyword_count__selfz,0.0499,0.0108,-0.0185,3753,1583,False
peer_avg_ret_m5_m1,xsrank,peer_avg_ret_m5_m1__xsrank,0.0406,-0.0455,0.0184,3888,1620,False
