base_feature,representation,column,missing_rate,ic_train,ic_test,n_train,n_test,sign_stable_nontrivial
text_ir_keyword_count,xsrank,text_ir_keyword_count__xsrank,0.0,0.0099,-0.0002,3905,1620,False
fin_roa,selfz,fin_roa__selfz,0.1005,0.0625,0.0002,3456,1586,False
rel_to_peer_turnover_avg_m20_m1,yoy,rel_to_peer_turnover_avg_m20_m1__yoy,0.1114,-0.1221,0.0,3490,1568,False
evt_profit_high_yi,raw,evt_profit_high_yi,0.9744,0.1752,,125,26,False
evt_profit_low_yi,raw,evt_profit_low_yi,0.9744,0.1677,,125,26,False
evt_profit_mid_to_mv,raw,evt_profit_mid_to_mv,0.9744,0.1645,,125,26,False
evt_profit_mid_yi,raw,evt_profit_mid_yi,0.9744,0.169,,125,26,False
evt_money_max_to_mv,yoy,evt_money_max_to_mv__yoy,0.9786,0.1668,,103,23,False
evt_money_max_yi,yoy,evt_money_max_yi__yoy,0.9786,0.2013,,103,23,False
evt_money_sum_yi,yoy,evt_money_sum_yi__yoy,0.9786,0.1776,,103,23,False
evt_profit_high_yi,selfz,evt_profit_high_yi__selfz,0.9778,0.2334,,106,25,False
evt_profit_high_yi,yoy,evt_profit_high_yi__yoy,0.9817,0.2706,,90,16,False
evt_profit_high_yi,xsrank,evt_profit_high_yi__xsrank,0.9845,0.3383,,75,20,False
evt_profit_high_yi,xsdemed,evt_profit_high_yi__xsdemed,0.9845,0.3131,,75,20,False
evt_profit_low_yi,selfz,evt_profit_low_yi__selfz,0.9778,0.2316,,106,25,False
evt_profit_low_yi,yoy,evt_profit_low_yi__yoy,0.9817,0.2335,,90,16,False
evt_profit_low_yi,xsrank,evt_profit_low_yi__xsrank,0.9845,0.3666,,75,20,False
evt_profit_low_yi,xsdemed,evt_profit_low_yi__xsdemed,0.9845,0.3099,,75,20,False
evt_profit_mid_to_mv,selfz,evt_profit_mid_to_mv__selfz,0.9778,0.1865,,106,25,False
evt_profit_mid_to_mv,yoy,evt_profit_mid_to_mv__yoy,0.9817,0.1887,,90,16,False
evt_profit_mid_to_mv,xsrank,evt_profit_mid_to_mv__xsrank,0.9845,0.3454,,75,20,False
evt_profit_mid_to_mv,xsdemed,evt_profit_mid_to_mv__xsdemed,0.9845,0.3216,,75,20,False
evt_profit_mid_yi,selfz,evt_profit_mid_yi__selfz,0.9778,0.2273,,106,25,False
evt_profit_mid_yi,yoy,evt_profit_mid_yi__yoy,0.9817,0.2409,,90,16,False
evt_profit_mid_yi,xsrank,evt_profit_mid_yi__xsrank,0.9845,0.3661,,75,20,False
evt_profit_mid_yi,xsdemed,evt_profit_mid_yi__xsdemed,0.9845,0.3129,,75,20,False
