ts_code,end_date,ann_date,f_roe,f_roa,f_gross_margin,f_net_margin,f_op_margin,f_rd_intensity,f_ocf_to_rev,f_ocf_to_assets,f_fcf_to_rev,f_cash_to_assets,f_debt_to_assets,f_current_ratio,f_equity_mult,f_asset_turn,f_bps,f_rev_yoy,f_ni_yoy,f_rev_cagr2,f_rev_cagr3,f_rev_growth,f_roic,f_roe_dt,f_quick_ratio,f_cash_ratio,f_ar_turn,f_fa_turn,f_assets_turn,f_saleexp_ratio,f_adminexp_ratio,f_finaexp_ratio,f_or_yoy,f_dt_ni_yoy,f_ocf_yoy,f_op_to_gr,f_debt_to_eqt,f_overseas_share,f_rev_per_emp,f_ni_per_emp
002313.SZ,20091231,20100329,8.715457399378952,6.604928306019259,,10.590528006245128,11.732920000132875,,14.02244637547766,8.745291351896155,3.1558384239396697,55.47840952508597,24.215930348189012,3.8214916407863377,1.3195385317712394,0.6236637401010033,,,,,,,,,,,,,,,,,,,,,,,,
002313.SZ,20090331,20100422,,,,5.669069544733355,5.707180243476342,,-12.648703572572199,,-13.088091539093586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002313.SZ,20100331,20100422,0.955655192651199,0.7402853920253044,,7.114727108597549,7.812555786658032,,-41.164705352610135,-4.283176230714222,-45.553972813469876,51.43129181643937,22.536350169187173,4.108107141779831,1.2909280703711803,0.10404972400567997,,,,,,,,,,,,,,,,,,,,,,,,
002313.SZ,20100630,20100730,4.477127323560779,3.1721325892354586,,11.455357185853885,13.02967149473547,,-4.418840785875306,-1.223632631973059,-8.986505383212206,46.8212644373895,29.148037123219982,3.182447121907425,1.4113935018838062,0.2769125866413573,,,,,,,,,,,,,,,,,,,,,,,,
002313.SZ,20100930,20101026,7.975861738572092,5.40498872988602,,11.99033935838807,13.44959344785502,,-1.6487048801653648,-0.7432009244982593,-6.015632111043699,42.7133888952691,32.23316919165066,2.87998538230118,1.4756481719325039,0.4507786283884332,,,,,,,,,,,,,,,,,,,,,,,,
002313.SZ,20101231,20110330,10.858171723650036,7.014805945153688,,11.178536335382026,12.47869656065962,,7.589951212897351,4.762880693346088,-0.1945257028763116,40.072249393643254,35.39606737039502,2.5976049822468865,1.5478933855827635,0.6275245465679257,,31.613618868070503,38.92108305461895,,,31.613618868070503,,,,,,,,,,,,,,,,,,
002313.SZ,20110331,20110429,1.2698643711843218,0.8513404199748218,,7.497404288302182,8.767076322076733,,-56.49168516275195,-6.414707427019874,-63.329354236463644,33.868344899589964,32.95816157273311,2.766929621155775,1.4916058739721036,0.11355135554089367,,31.613618868070503,38.92108305461895,,,31.613618868070503,,,,,,,,,,,,,,,,,,
002313.SZ,20110630,20110729,6.386491032608557,4.380033853933531,,11.733355821028436,13.39484999573624,,-40.714049464255666,-15.198457943682605,-49.89601479872882,22.12705783745801,31.417208110530932,2.7731402083105827,1.4580917055865008,0.3732976243747476,,31.613618868070503,38.92108305461895,,,31.613618868070503,,,,,,,,,,,,,,,,,,
002313.SZ,20110930,20111027,10.31279093256594,6.815962456533804,,11.72305982784507,13.424638914534409,,-17.323542041085105,-10.072166644220383,-41.13580428485844,13.485847480882104,33.90768317613984,2.5328938738232467,1.5130351727040494,0.5814149681591033,,31.613618868070503,38.92108305461895,,,31.613618868070503,,,,,,,,,,,,,,,,,,
002313.SZ,20111231,20120315,13.02990692208586,8.465960823634687,,10.911804693848627,12.38115925993823,,-6.894971070542829,-5.349486780698778,-28.05718338862824,13.779415204939205,35.02669762525492,2.254559837933822,1.5390936945644564,0.7758534047449778,,47.87458036891374,44.34613725440515,39.50737851794819,,39.50737851794819,,,,,,,,,,,,,,,,,,
