ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
002151.SZ,20260612,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260605,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260529,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260522,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260515,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260508,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260430,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260424,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260417,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260410,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260403,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260327,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260320,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260313,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260306,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260227,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260213,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260206,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260130,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260123,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260116,0,0.0,0.0,54291.0913,0.0
002151.SZ,20260109,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251231,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251226,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251219,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251212,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251205,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251129,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251128,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251121,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251114,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251107,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251031,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251024,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251017,0,0.0,0.0,54291.0913,0.0
002151.SZ,20251010,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250930,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250926,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250919,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250912,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250905,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250829,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250822,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250822,0,0.0,0.0,54291.0913,0.0
002151.SZ,20250815,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250808,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250801,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250725,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250718,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250711,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250704,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250627,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250620,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250613,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250606,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250530,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250523,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250516,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250509,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250430,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250425,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250418,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250411,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250403,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250328,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250321,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250314,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250307,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250228,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250221,0,0.0,0.0,54295.9091,0.0
002151.SZ,20250214,0,0.0,0.0,54353.2558,0.0
