ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
002881.SZ,20251202,20251201,完成,,30000.0,316511.37,,10.42
002881.SZ,20251122,20251113,完成,,844400.0,30494562.0,45.68,29.01
002881.SZ,20251115,20251113,完成,,844400.0,30494562.0,45.68,29.01
002881.SZ,20251104,20251031,实施,,844400.0,30494562.0,45.68,29.01
002881.SZ,20251017,,预案,,,60000000.0,78.42,
002881.SZ,20250611,,预案,,,312600.0,,10.42
002881.SZ,20250611,,预案,,,312600.0,,10.42
002881.SZ,20250410,20250409,实施,,568500.0,17947344.0,34.67,29.01
002881.SZ,20250319,,股东大会通过,,,319734.14,,10.55
002881.SZ,20250301,,预案,,,319734.14,,10.55
002881.SZ,20250102,20241231,实施,,338700.0,10001270.0,30.0,29.01
002881.SZ,20241228,20241227,实施,,102900.0,2997989.0,29.44,29.01
002881.SZ,20241115,,股东大会通过,20251115,,60000000.0,35.15,
002881.SZ,20241105,,预案,,,60000000.0,35.15,
002881.SZ,20241105,20241105,完成,,1484150.0,27280840.8,26.16,16.76
002881.SZ,20240803,20240731,实施,,1484150.0,27280840.8,26.16,16.76
002881.SZ,20240402,20240331,实施,,1429150.0,26248275.8,26.16,16.76
002881.SZ,20240302,20240229,实施,,1339150.0,23899432.8,19.26,16.76
002881.SZ,20240203,20240202,实施,,396650.0,7429682.0,19.26,17.9
002881.SZ,20240201,,预案,,,50000000.0,37.5,
002881.SZ,20231014,20231012,完成,,27560.0,265988.85,,9.08
002881.SZ,20231014,20231012,完成,,27560.0,265988.85,,9.08
002881.SZ,20230613,,股东大会通过,,,267856.92,,9.08
002881.SZ,20230613,,股东大会通过,,,267856.92,,9.08
002881.SZ,20230404,,股东大会通过,,,267856.92,,9.18
002881.SZ,20230404,,股东大会通过,,,267856.92,,9.18
002881.SZ,20230317,,预案,,,267856.92,,9.18
002881.SZ,20230317,,预案,,,267856.92,,9.18
002881.SZ,20220601,20220531,完成,,40000.0,493492.2,12.07,12.07
002881.SZ,20220601,20220531,完成,,17500.0,217031.9,12.07,12.07
002881.SZ,20220601,20220531,完成,,40000.0,493492.2,12.07,12.07
002881.SZ,20220601,20220531,完成,,17500.0,217031.9,12.07,12.07
002881.SZ,20220412,,股东大会通过,,,217031.9,,
002881.SZ,20220412,,股东大会通过,,,217031.9,,
002881.SZ,20220325,,预案,,,217031.9,,
002881.SZ,20220325,,预案,,,217031.9,,
002881.SZ,20210831,,股东大会通过,,,493492.2,,12.07
002881.SZ,20210831,,股东大会通过,,,493492.2,,12.07
002881.SZ,20210814,,预案,,,493492.2,,12.07
002881.SZ,20210814,,预案,,,493492.2,,12.07
002881.SZ,20210805,20210804,完成,,49000.0,600402.1,,12.07
002881.SZ,20210805,20210804,完成,,49000.0,600402.1,,12.07
002881.SZ,20210803,20210802,完成,,2263294.0,41992783.36,19.95,16.14
002881.SZ,20210713,,股东大会通过,,,,,12.07
002881.SZ,20210713,,股东大会通过,,,,,12.07
002881.SZ,20210602,20210531,实施,,2263294.0,41992783.36,19.95,16.14
002881.SZ,20210521,,股东大会通过,,,600213.52,,12.09
002881.SZ,20210521,,股东大会通过,,,600213.52,,12.09
002881.SZ,20210428,,预案,,,600213.52,,12.09
002881.SZ,20210428,,预案,,,600213.52,,12.09
002881.SZ,20210317,20210316,实施,,1903854.0,34993397.76,19.55,16.14
002881.SZ,20210302,20210228,实施,,1373254.0,24996038.76,19.4,16.14
002881.SZ,20210302,20210228,实施,,1373254.0,24996038.76,19.4,16.14
002881.SZ,20210210,20210209,实施,,239954.0,3921005.22,16.45,16.14
002881.SZ,20210210,20210209,实施,,239954.0,3921005.22,16.45,16.14
002881.SZ,20210203,,预案,,,80000000.0,26.0,
