ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
300638.SZ,20260518,,股东大会通过,,,7101120.0,10.4,10.4
300638.SZ,20260331,,预案,,,7101120.0,10.4,10.4
300638.SZ,20251230,20251229,完成,,1267898.0,12476776.62,10.4,9.04
300638.SZ,20250829,,股东大会通过,,,13186139.2,10.4,9.04
300638.SZ,20250813,,预案,,,13186139.2,10.4,9.04
300638.SZ,20250213,20250212,完成,,592584.0,5769107.17,10.75,7.8
300638.SZ,20241115,,股东大会通过,,,5769107.17,10.75,7.8
300638.SZ,20241115,,股东大会通过,,,5683848.88,10.75,10.75
300638.SZ,20241029,,预案,,,5769107.17,10.75,7.8
300638.SZ,20241029,,预案,,,5683848.88,10.75,10.75
300638.SZ,20241024,20241023,完成,,179166.0,1695729.19,10.75,7.8
300638.SZ,20240621,,股东大会通过,,,1695729.19,10.75,7.8
300638.SZ,20240621,,股东大会通过,,,1670700.0,10.75,7.8
300638.SZ,20240605,,预案,,,1695729.19,10.75,7.8
300638.SZ,20240605,,预案,,,1670700.0,10.75,7.8
300638.SZ,20240412,20240411,完成,,61755.0,587682.8,11.13,8.18
300638.SZ,20231227,,股东大会通过,,,587682.8,11.13,8.18
300638.SZ,20231227,,股东大会通过,,,579000.0,11.13,8.18
300638.SZ,20231212,,预案,,,587682.8,11.13,8.18
300638.SZ,20231212,,预案,,,579000.0,11.13,8.18
300638.SZ,20231207,20231207,完成,,1830098.0,16329536.73,,8.18
300638.SZ,20231201,20231130,完成,,2627960.0,50992711.6,20.84,18.51
300638.SZ,20231101,20231031,实施,,2328360.0,45026538.6,20.84,18.51
300638.SZ,20231101,20231031,实施,,2328360.0,45026538.6,20.84,18.51
300638.SZ,20231010,20230930,实施,,1844260.0,34994309.6,19.34,18.51
300638.SZ,20231010,20230930,实施,,1844260.0,34994309.6,19.34,18.51
300638.SZ,20230829,20230828,实施,,1038100.0,19995169.6,19.34,19.16
300638.SZ,20230829,20230828,实施,,1038100.0,19995169.6,19.34,19.16
300638.SZ,20230825,,预案,,,100000000.0,31.89,
300638.SZ,20230825,,预案,,,100000000.0,31.89,
300638.SZ,20230731,,股东大会通过,,,16329536.73,,8.18
300638.SZ,20230731,,股东大会通过,,,,,9.77
300638.SZ,20230706,,预案,,,16329536.73,,8.18
300638.SZ,20230706,,预案,,,,,9.77
300638.SZ,20230523,20230519,完成,,82673.0,907767.72,,9.91
300638.SZ,20230523,20230519,完成,,82673.0,907767.72,,9.91
300638.SZ,20230315,,股东大会通过,,,907767.72,,9.91
300638.SZ,20230315,,股东大会通过,,,907767.72,,9.91
300638.SZ,20230315,,股东大会通过,,,,,
300638.SZ,20230222,,预案,,,907767.72,,9.91
300638.SZ,20230222,,预案,,,907767.72,,9.91
300638.SZ,20230222,,预案,,,,,
300638.SZ,20230113,20230111,完成,,230703.0,2510354.56,,9.91
300638.SZ,20230113,20230111,完成,,230703.0,2510354.56,,9.91
300638.SZ,20221019,,股东大会通过,,,2473300.0,11.82,9.91
300638.SZ,20221019,,股东大会通过,,,2473300.0,11.82,9.91
300638.SZ,20221001,,预案,,,2473300.0,11.82,9.91
300638.SZ,20221001,,预案,,,2473300.0,11.82,9.91
300638.SZ,20220920,20220920,完成,,137153.0,1379574.01,,9.91
300638.SZ,20220920,20220920,完成,,137153.0,1379574.01,,9.91
300638.SZ,20220617,,预案,,,,,9.91
300638.SZ,20220617,,预案,,,,,9.91
300638.SZ,20220308,20220304,完成,,82620.0,1245083.4,15.07,15.07
300638.SZ,20220308,20220304,完成,,17675.0,74058.25,4.19,4.19
300638.SZ,20220308,20220304,完成,,82620.0,1245083.4,15.07,15.07
300638.SZ,20220308,20220304,完成,,17675.0,74058.25,4.19,4.19
300638.SZ,20211209,,股东大会通过,,,74058.25,4.19,4.19
300638.SZ,20211209,,股东大会通过,,,1245083.4,15.07,15.07
300638.SZ,20211209,,股东大会通过,,,74058.25,4.19,4.19
300638.SZ,20211209,,股东大会通过,,,1245083.4,15.07,15.07
300638.SZ,20211123,,预案,,,1245083.4,15.07,15.07
300638.SZ,20211123,,预案,,,74058.25,4.19,4.19
300638.SZ,20211123,,预案,,,1245083.4,15.07,15.07
300638.SZ,20211123,,预案,,,74058.25,4.19,4.19
300638.SZ,20211119,20211117,完成,,33048.0,138471.12,4.19,4.19
300638.SZ,20211119,20211117,完成,,33048.0,138471.12,4.19,4.19
300638.SZ,20210823,,股东大会通过,,,138471.12,4.19,4.19
300638.SZ,20210823,,股东大会通过,,,138471.12,4.19,4.19
300638.SZ,20210803,,预案,,,138471.12,4.19,4.19
300638.SZ,20210803,,预案,,,138471.12,4.19,4.19
