ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
688589.SH,20250419,20250417,完成,,422730.0,11020401.95,28.66,22.99
688589.SH,20250207,20250131,实施,,358225.0,9423500.0,28.66,24.5
688589.SH,20250103,20241231,实施,,125800.0,3495800.0,28.66,27.31
688589.SH,20241204,20241130,实施,,52800.0,1485600.0,28.66,27.33
688589.SH,20241125,20241121,实施,,34300.0,979979.4,28.66,28.34
688589.SH,20241019,,预案,,,20000000.0,39.0,
688589.SH,20240919,,提议,,,20000000.0,,
688589.SH,20240817,20240816,完成,,517089.0,12999600.0,31.97,23.0
688589.SH,20240802,20240731,实施,,437774.0,11156900.0,31.97,23.14
688589.SH,20240604,20240531,实施,,428976.0,10950500.0,31.97,23.14
688589.SH,20240517,,预案,,,20000000.0,38.05,
688589.SH,20240507,20240430,实施,,139583.0,4171400.0,31.97,26.88
688589.SH,20240402,20240331,实施,,103755.0,3205300.0,31.97,30.28
688589.SH,20240301,20240229,实施,,98655.0,3042741.21,31.5,30.28
688589.SH,20240220,,预案,,,20000000.0,46.0,
688589.SH,20240208,,提议,,,20000000.0,,
