ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
002970.SZ,20240720,20240719,完成,,96000.0,2602560.0,27.11,27.11
002970.SZ,20240516,20240516,完成,,1834000.0,40398923.0,24.32,18.89
002970.SZ,20240515,,股东大会通过,,,2602560.0,27.11,27.11
002970.SZ,20240424,,预案,,,2602560.0,27.11,27.11
002970.SZ,20240302,20240229,实施,,1834000.0,40398923.0,24.32,18.89
002970.SZ,20240206,20240205,实施,,1827100.0,40267943.0,24.32,20.57
002970.SZ,20240202,,预案,,,80000000.0,27.0,
002970.SZ,20230725,20230724,完成,,100000.0,2761000.0,27.61,27.61
002970.SZ,20230725,20230724,完成,,100000.0,2761000.0,27.61,27.61
002970.SZ,20230426,,预案,,,2761000.0,27.61,27.61
002970.SZ,20230426,,预案,,,2761000.0,27.61,27.61
002970.SZ,20230408,20230331,完成,,2978100.0,71342304.0,24.99,21.98
002970.SZ,20230404,20230331,实施,,2978100.0,71342304.0,24.99,21.98
002970.SZ,20230302,20230228,实施,,2102900.0,49988791.0,24.96,21.98
002970.SZ,20230203,20230201,实施,,13900.0,307207.0,22.2,21.98
002970.SZ,20230203,20230201,实施,,13900.0,307207.0,22.2,21.98
002970.SZ,20230119,,预案,,,80000000.0,25.0,
002970.SZ,20220819,20220818,完成,,124000.0,3448440.0,27.81,27.81
002970.SZ,20220819,20220818,完成,,124000.0,3448440.0,27.81,27.81
002970.SZ,20220520,,股东大会通过,,,,,
002970.SZ,20220520,,股东大会通过,,,,,
002970.SZ,20220428,,预案,,,,,
002970.SZ,20220428,,预案,,,,,
