ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
300590.SZ,20241209,20241209,完成,,14842.0,94723.56,,6.05
300590.SZ,20241009,,股东大会通过,,,94723.56,,6.05
300590.SZ,20241009,,股东大会通过,,,89794.1,,6.05
300590.SZ,20240920,,预案,,,94723.56,,6.05
300590.SZ,20240920,,预案,,,89794.1,,6.05
300590.SZ,20240201,20240131,完成,,2735330.0,30433375.86,12.0,8.4
300590.SZ,20240103,20240103,实施,,2199930.0,25559948.86,12.0,10.91
300590.SZ,20231204,20231204,实施,,2193030.0,25478644.86,12.0,10.91
300590.SZ,20231103,20231103,实施,,642650.0,7171058.46,11.4,10.91
300590.SZ,20231103,20231103,实施,,642650.0,7171058.46,11.4,10.91
300590.SZ,20231018,20231018,实施,,450000.0,4977068.46,11.2,10.91
300590.SZ,20231018,20231018,实施,,450000.0,4977068.46,11.2,10.91
300590.SZ,20230915,20230915,实施,,250000.0,2784785.0,11.2,11.1
300590.SZ,20230915,20230915,实施,,250000.0,2784785.0,11.2,11.1
300590.SZ,20230831,,预案,,,50000000.0,16.56,
300590.SZ,20230831,,预案,,,50000000.0,16.56,
300590.SZ,20210731,20210731,完成,,793800.0,4899532.05,6.1723,6.1723
300590.SZ,20210731,20210731,完成,,793800.0,4899532.05,6.1723,6.1723
300590.SZ,20210609,,股东大会通过,,,,,6.1723
300590.SZ,20210609,,股东大会通过,,,,,6.1723
300590.SZ,20210525,,预案,,,,,6.1723
300590.SZ,20210525,,预案,,,,,6.1723
300590.SZ,20200619,20200619,完成,,12000.0,136920.0,11.41,11.41
300590.SZ,20200619,20200619,完成,,12000.0,136920.0,11.41,11.41
300590.SZ,20200520,,股东大会通过,,,,,
300590.SZ,20200520,,股东大会通过,,,,,
300590.SZ,20200428,,预案,,,,,
300590.SZ,20200428,,预案,,,,,
