ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
688618.SH,20260522,,股东大会通过,,,2113575.88,15.34,15.34
688618.SH,20260430,,预案,,,2113575.88,15.34,15.34
688618.SH,20260319,20260317,完成,,1318244.0,39996526.58,34.0,25.6
688618.SH,20260314,20260312,实施,,1124081.0,33791178.71,34.0,25.6
688618.SH,20260303,20260228,实施,,676404.0,19144140.97,31.75,25.6
688618.SH,20260106,20251231,实施,,356022.0,9175682.26,25.99,25.6
688618.SH,20251204,20251203,实施,,15703.0,407823.0,25.99,25.95
688618.SH,20251031,,预案,20261031,,40000000.0,36.0,
688618.SH,20251023,,提议,,,40000000.0,,
688618.SH,20250820,20250822,完成,,179251.0,2749710.34,15.34,15.34
688618.SH,20250523,,股东大会通过,,,2749710.34,15.34,15.34
688618.SH,20250430,,预案,,,2749710.34,15.34,15.34
688618.SH,20241120,,股东大会通过,,,505130.86,15.34,15.34
688618.SH,20241031,,预案,,,505130.86,15.34,15.34
688618.SH,20240614,20240314,完成,,686331.0,30034429.1,46.32,41.51
688618.SH,20240327,,预案,,,210343.0,22.703,22.703
688618.SH,20240316,20240314,完成,,686331.0,30034429.1,46.32,41.51
688618.SH,20240302,20240229,实施,,324352.0,14358969.31,46.32,42.06
688618.SH,20240227,20240226,实施,,68700.0,3066691.27,45.09,44.12
688618.SH,20240219,,预案,,,60000000.0,66.0,
688618.SH,20240208,,提议,,,60000000.0,,
