ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
603236.SH,20241112,20230928,完成,,441500.0,20846500.0,48.59,45.56
603236.SH,20241112,20240325,完成,,2475752.0,84994100.0,41.8,30.59
603236.SH,20240827,20240325,完成,,2475752.0,84994100.0,41.8,30.59
603236.SH,20240827,20230928,完成,,441500.0,20846500.0,48.59,45.56
603236.SH,20240327,20240325,完成,,2475752.0,84994100.0,41.8,30.59
603236.SH,20240327,20240325,完成,,2475752.0,84994100.0,41.8,30.59
603236.SH,20240302,20240229,实施,,2105800.0,69991200.0,37.09,30.59
603236.SH,20240302,20240229,实施,,2105800.0,69991200.0,37.09,30.59
603236.SH,20240203,20240202,实施,,857000.0,29113920.2,34.59,32.4
603236.SH,20240203,20240202,实施,,857000.0,29113920.2,34.59,32.4
603236.SH,20240202,,预案,,,120000000.0,69.5,
603236.SH,20240202,,预案,,,120000000.0,69.5,
603236.SH,20231010,20230928,完成,,441500.0,20846500.0,48.59,45.56
603236.SH,20231010,20230928,完成,,441500.0,20846500.0,48.59,45.56
603236.SH,20230922,20230921,实施,,419500.0,19843131.64,48.59,47.1
603236.SH,20230922,20230921,实施,,419500.0,19843131.64,48.59,47.1
603236.SH,20230909,20230908,实施,,409600.0,19365757.38,48.59,47.1
603236.SH,20230909,20230908,实施,,409600.0,19365757.38,48.59,47.1
603236.SH,20230905,20230904,实施,,106000.0,5009897.72,47.91,47.14
603236.SH,20230905,20230904,实施,,106000.0,5009897.72,47.91,47.14
603236.SH,20230826,,预案,,,30000000.0,70.0,
603236.SH,20230826,,预案,,,30000000.0,70.0,
603236.SH,20230822,,提议,,,30000000.0,,
