ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
002373.SZ,20240724,20240724,完成,,8475000.0,79771021.31,9.99,8.06
002373.SZ,20240604,20240531,实施,,8475000.0,79771021.31,9.99,8.06
002373.SZ,20240508,20240430,实施,,6671400.0,63494878.31,9.99,8.06
002373.SZ,20240302,20240229,实施,,1630000.0,15062049.31,9.38,8.06
002373.SZ,20240131,20240130,实施,,1490000.0,13928577.31,9.38,9.3
002373.SZ,20240124,,预案,,,100000000.0,15.0,
002373.SZ,20220704,20220630,完成,,164300.0,629759.38,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,168100.0,1026849.63,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,279450.0,1918153.32,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,74700.0,528041.78,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,164300.0,629759.38,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,168100.0,1026849.63,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,279450.0,1918153.32,8.6103,5.9753
002373.SZ,20220704,20220630,完成,,74700.0,528041.78,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,629759.38,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,1026849.63,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,1918153.32,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,528041.78,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,629759.38,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,1026849.63,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,1918153.32,8.6103,5.9753
002373.SZ,20220421,,股东大会通过,,,528041.78,8.6103,5.9753
002373.SZ,20211230,,预案,,,528041.78,8.6103,5.9753
002373.SZ,20211230,,预案,,,528041.78,8.6103,5.9753
002373.SZ,20211026,,预案,,,1918153.32,8.6103,5.9753
002373.SZ,20211026,,预案,,,1918153.32,8.6103,5.9753
002373.SZ,20210811,,预案,,,1026849.63,8.6103,5.9753
002373.SZ,20210811,,预案,,,1026849.63,8.6103,5.9753
002373.SZ,20210708,,预案,,,629759.38,8.6103,5.9753
002373.SZ,20210708,,预案,,,629759.38,8.6103,5.9753
002373.SZ,20210616,20210615,完成,,10000055.0,167501974.48,19.05,14.88
002373.SZ,20210616,20210615,完成,,10000055.0,167501974.48,19.05,14.88
002373.SZ,20210602,20210531,实施,,9537255.0,159486717.48,19.05,14.88
002373.SZ,20210602,20210601,完成,,146600.0,1147062.0,8.68,6.045
002373.SZ,20210602,20210601,完成,,104100.0,778162.0,8.68,6.045
002373.SZ,20210602,20210601,完成,,57850.0,371442.0,8.68,6.045
002373.SZ,20210602,20210601,完成,,146600.0,1147062.0,8.68,6.045
002373.SZ,20210602,20210601,完成,,104100.0,778162.0,8.68,6.045
002373.SZ,20210602,20210601,完成,,57850.0,371442.0,8.68,6.045
002373.SZ,20210602,20210531,实施,,9537255.0,159486717.48,19.05,14.88
002373.SZ,20210507,20210430,实施,,9237155.0,154991856.48,19.05,15.16
002373.SZ,20210507,20210430,实施,,9237155.0,154991856.48,19.05,15.16
002373.SZ,20210424,,股东大会通过,,,371442.0,8.68,6.045
002373.SZ,20210424,,股东大会通过,,,371442.0,8.68,6.045
002373.SZ,20210402,20210331,实施,,7336000.0,124986824.0,19.05,15.78
002373.SZ,20210402,20210331,实施,,7336000.0,124986824.0,19.05,15.78
002373.SZ,20210331,,预案,,,371442.0,8.68,6.045
002373.SZ,20210331,,预案,,,371442.0,8.68,6.045
002373.SZ,20210302,20210228,实施,,4903600.0,84990086.0,19.05,15.96
002373.SZ,20210302,20210228,实施,,4903600.0,84990086.0,19.05,15.96
002373.SZ,20210202,20210131,实施,,1925900.0,34994924.0,19.05,17.72
002373.SZ,20210202,20210131,实施,,1925900.0,34994924.0,19.05,17.72
002373.SZ,20210106,20201231,实施,,368600.0,6699333.0,19.05,18.0
002373.SZ,20210106,20201231,实施,,368600.0,6699333.0,19.05,18.0
002373.SZ,20201229,20201228,实施,,318600.0,5746833.0,18.09,18.0
002373.SZ,20201229,20201228,实施,,318600.0,5746833.0,18.09,18.0
002373.SZ,20201216,,预案,,,300000000.0,25.0,
002373.SZ,20201216,,预案,,,300000000.0,25.0,
002373.SZ,20201028,,预案,,,778162.0,8.68,6.045
002373.SZ,20201028,,预案,,,778162.0,8.68,6.045
002373.SZ,20200822,,预案,,,1147062.0,8.68,6.045
002373.SZ,20200822,,预案,,,1147062.0,8.68,6.045
002373.SZ,20200630,20200629,完成,,54000.0,330210.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,92000.0,562580.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,146000.0,892790.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,88000.0,538120.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,18900.0,115573.5,6.115,6.115
002373.SZ,20200630,20200629,完成,,54000.0,330210.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,92000.0,562580.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,146000.0,892790.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,88000.0,538120.0,6.115,6.115
002373.SZ,20200630,20200629,完成,,18900.0,115573.5,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,330210.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,562580.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,892790.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,538120.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,115573.5,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,330210.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,562580.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,892790.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,538120.0,6.115,6.115
002373.SZ,20200530,,股东大会通过,,,115573.5,6.115,6.115
002373.SZ,20200514,,预案,,,115573.5,6.115,6.115
002373.SZ,20200514,,预案,,,115573.5,6.115,6.115
002373.SZ,20191205,,预案,,,538120.0,6.115,6.115
002373.SZ,20191205,,预案,,,538120.0,6.115,6.115
002373.SZ,20191024,,预案,,,892790.0,6.115,6.115
002373.SZ,20191024,,预案,,,892790.0,6.115,6.115
002373.SZ,20190710,,预案,,,562580.0,6.115,6.115
002373.SZ,20190710,,预案,,,562580.0,6.115,6.115
002373.SZ,20190523,,股东大会通过,,,330210.0,6.115,6.115
002373.SZ,20190523,,股东大会通过,,,330210.0,6.115,6.115
002373.SZ,20190509,,股东大会通过,,,333180.0,6.17,6.17
002373.SZ,20190509,,股东大会通过,,,333180.0,6.17,6.17
002373.SZ,20190410,,预案,,,333180.0,6.17,6.17
002373.SZ,20190410,,预案,,,333180.0,6.17,6.17
