LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
合众思壮,002383,002383,汽车芯片概念涨4.59%，主力资金净流入这些股,688153 唯捷创芯 1.52 1.18 -155.94 -1.13 603123 翠微股份 -0.76 1.52 -177.76 -1.96 301132 满坤科技 1.68 6.26 -189.38 -0.83 300613 富瀚微 3.29 3.57 -236.46 -0.53 002383,2026-06-09 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606093765151568.html
合众思壮,002383,002383,合众思壮002383.SZ)：2025年年报净利润为-1.58亿元，同比亏损缩小,2026年4月23日，合众思壮002383.SZ)发布2025年年报。 公司营业总收入为13.69亿元，在已披露的同业公司中排名第17，较去年同报告期营业总收入增加1.71亿元，同比较去年同期上涨14.27%。,2026-04-23 10:11:06,界面新闻,http://finance.eastmoney.com/a/202604233715644022.html
合众思壮,002383,002383,合众思壮002383.SZ)：2026年一季报净利润为42.32万元、同比较去年同期下降84.25%,2026年4月23日，合众思壮002383.SZ)发布2026年一季报。 公司营业总收入为3.13亿元，较去年同报告期营业总收入减少2134.89万元，同比较去年同期下降6.38%。,2026-04-23 09:37:06,界面新闻,http://finance.eastmoney.com/a/202604233715524252.html
合众思壮,002383,002383,241家公司获机构调研（附名单）,4.00 -0.25 石油石化 002061 浙江交科 1 4 3.65 1.15 建筑装饰 688589 力合微 1 4 20.84 -14.49 电子 301302 华如科技 1 4 25.51 -6.45 国防军工 002749 国光股份 1 4 9.42 -0.95 基础化工 002383,2026-06-03 09:11:00,证券时报网,http://finance.eastmoney.com/a/202606033758418522.html
合众思壮,002383,002383,241家公司获机构调研（附名单）,15.86 -3.70 电子 002024 ST易购 1 3 1.26 5.88 商贸零售 000725 京东方A 1 3 5.36 1.71 电子 002254 泰和新材 2 3 13.54 -12.93 基础化工 000729 燕京啤酒 1 3 12.99 6.74 食品饮料 002383,2026-06-02 09:13:00,证券时报网,http://finance.eastmoney.com/a/202606023756894457.html
合众思壮,002383,002383,226家公司获机构调研（附名单）,45.00 -8.01 轻工制造 600491 ST龙元 1 3 1.33 - 建筑装饰 000959 首钢股份 1 3 3.61 -1.37 钢铁 301552 科力装备 1 3 26.05 -12.58 汽车 002254 泰和新材 2 3 13.49 -15.32 基础化工 002383,2026-06-01 09:37:00,证券时报网,http://finance.eastmoney.com/a/202606013755509542.html
合众思壮,002383,002383,88.80亿主力资金净流入，汽车芯片概念涨3.61%,601238 广汽集团 -0.79 0.23 -492.52 -4.66 600877 电科芯片 1.17 1.93 -503.48 -1.35 600733 北汽蓝谷 0.76 0.90 -576.36 -1.73 002079 苏州固锝 1.27 4.53 -619.66 -1.34 002383,2026-05-25 17:07:00,证券时报网,http://finance.eastmoney.com/a/202605253748239978.html
合众思壮,002383,002383,221家公司获机构调研（附名单）,27.23 -6.20 汽车 301595 太力科技 1 3 46.47 -1.98 轻工制造 600491 ST龙元 1 3 1.30 -1.52 建筑装饰 000959 首钢股份 1 3 3.63 -1.36 钢铁 002202 金风科技 1 3 24.30 -1.74 电力设备 002383,2026-05-29 09:24:00,证券时报网,http://finance.eastmoney.com/a/202605293753766948.html
合众思壮,002383,002383,240家公司获机构调研（附名单）,-3.90 钢铁 002463 沪电股份 3 3 128.29 23.86 电子 301600 慧翰股份 3 3 102.17 -12.42 计算机 002314 南山控股 1 3 2.20 -4.35 房地产 002202 金风科技 1 3 23.60 -6.72 电力设备 002383,2026-05-28 08:47:00,证券时报网,http://finance.eastmoney.com/a/202605283751982067.html
合众思壮,002383,002383,汽车芯片概念上涨1.51%，29股主力资金净流入超亿元,满坤科技 -1.48 3.21 -138.16 -1.26 600841 动力新科 0.00 1.63 -246.71 -1.85 301112 信邦智能 -0.19 1.44 -273.41 -4.76 600770 综艺股份 -0.71 3.54 -450.09 -1.41 002383,2026-05-20 17:28:00,证券时报网,http://finance.eastmoney.com/a/202605203743591089.html
