LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
映翰通,688080,688080,映翰通：目前，公司暂未直接面向大型数据中心或算力基础设施客户开展核心设备相关业务,谢谢 映翰通（688080.SH）5月25日在投资者互动平台表示，目前，公司暂未直接面向大型数据中心或算力基础设施客户开展核心设备相关业务，公司目前主要围绕能源基础设施及相关设备厂商提供产品与解决方案，例如为储能设备、发电机组等相关厂商提供数据采集、通信联网及供电方案优化等配套服务,2026-05-25 15:54:46,每日经济新闻,http://finance.eastmoney.com/a/202605253748158685.html
映翰通,688080,688080,映翰通688080.SH)2026年一季报净利润为929.27万元、较去年同期下降58.28%,2026年4月22日，映翰通688080.SH)发布2026年一季报。 公司营业总收入为1.34亿元，较去年同报告期营业总收入减少1510.58万元，同比较去年同期下降10.10%。,2026-04-22 15:03:23,界面新闻,http://finance.eastmoney.com/a/202604223713943461.html
三旺通信,688618,688618,光纤概念涨6.47%，主力资金净流入这些股,603042 华脉科技 5.42 7.13 -16.40 -0.08 301202 朗威股份 5.73 5.06 -26.05 -0.39 300270 中威电子 3.85 3.25 -67.09 -0.68 300698 万马科技 4.04 2.23 -87.02 -1.02 688618,2026-06-15 16:25:00,证券时报网,http://finance.eastmoney.com/a/202606153771576563.html
三旺通信,688618,688618,三旺通信688618.SH)：2025年年报净利润为3597.10万元,2026年4月30日，三旺通信688618.SH)发布2025年年报。 公司营业总收入为3.58亿元，在已披露的同业公司中排名第51。归母净利润为3597.10万元，在已披露的同业公司中排名第51。,2026-04-30 10:19:46,界面新闻,http://finance.eastmoney.com/a/202604303726114222.html
三旺通信,688618,688618,WiFi 6概念下跌5.50%，9股主力资金净流出超亿元,9.53 7.63 -877.42 688790 昂瑞微 -6.74 5.08 -874.52 688591 泰凌微 -5.19 3.25 -666.15 603042 华脉科技 -5.16 8.38 -655.53 002369 卓翼科技 -5.21 3.52 -550.94 688618,2026-06-08 17:12:00,证券时报网,http://finance.eastmoney.com/a/202606083763666296.html
三旺通信,688618,688618,三旺通信688618.SH)2026年一季报净利润为-85.41万元，由盈转亏,2026年4月30日，三旺通信688618.SH)发布2026年一季报。 公司营业总收入为6875.87万元，在已披露的同业公司中排名第80，较去年同报告期营业总收入减少1202.69万元，同比较去年同期下降14.89%。,2026-04-30 16:07:02,界面新闻,http://finance.eastmoney.com/a/202604303726445124.html
三旺通信,688618,688618,光纤概念涨3.86%，主力资金净流入64股,联赢激光 1.57 6.11 -68.55 -0.13 002829 星网宇达 -2.83 5.67 -153.79 -0.81 002643 万润股份 0.35 2.54 -181.68 -0.55 300667 必创科技 16.19 17.09 -277.22 -0.49 688618,2026-06-03 16:46:00,证券时报网,http://finance.eastmoney.com/a/202606033759061063.html
三旺通信,688618,688618,光纤概念上涨2.99%，22股主力资金净流入超亿元,万马科技 -2.03 1.87 -126.16 -1.67 301202 朗威股份 -1.17 5.81 -245.68 -2.93 300516 久之洋 -2.49 1.42 -282.63 -2.40 300504 天邑股份 -2.78 4.41 -289.99 -1.62 688618,2026-06-02 17:37:00,证券时报网,http://finance.eastmoney.com/a/202606023757647536.html
三旺通信,688618,688618,光纤概念下跌3.41%，主力资金净流出64股,3.60 -2024.94 002132 恒星科技 -0.21 3.32 -1907.04 002643 万润股份 -1.89 2.77 -1476.67 000586 汇源通信 -9.99 1.27 -1059.77 688418 震有科技 -3.37 2.67 -998.09 688618,2026-06-01 17:32:00,证券时报网,http://finance.eastmoney.com/a/202606013756126669.html
三旺通信,688618,688618,新型工业化概念涨2.21%，主力资金净流入这些股,1.45 603895 天永智能 0.43 2.84 350.82 3.47 301273 瑞晨环保 -0.25 4.03 341.95 3.24 603325 博隆技术 2.65 2.33 321.67 6.94 301199 迈赫股份 4.90 5.22 319.49 4.27 688618,2026-06-05 16:44:00,证券时报网,http://finance.eastmoney.com/a/202606053762008435.html
