LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
宜通世纪,300310,300310,宜通世纪300310.SZ)：109名投资者证券虚假陈述责任纠纷案二审受理，公司不服一审赔偿273万元判决提起上诉,2026年5月13日，宜通世纪科技股份有限公司（300310.SZ）发布公告称，公司于2026年5月13日收到广东省高级人民法院送达的《受理案件通知书》（2026）粤民终973号，涉及原告陈华、阮良等109名投资者与公司证券虚假陈述责任纠纷一案，二审已获受理。,2026-05-13 18:27:46,界面新闻,http://finance.eastmoney.com/a/202605133736050391.html
宜通世纪,300310,300310,共封装光学(CPO)概念上涨4.56%，46股主力资金净流入超亿元,1.46 300287 飞利信 2.17 1.71 273.34 3.25 300739 明阳电路 3.77 4.65 260.15 0.58 688655 迅捷兴 1.14 6.56 237.80 0.54 605058 澳弘电子 1.57 3.31 209.25 1.19 300310,2026-06-09 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606093765151322.html
宜通世纪,300310,300310,通信行业6月2日资金流向日报,1.34 -2720.83 002115 三维通信 -1.39 4.15 -2671.45 003031 中瓷电子 3.90 3.19 -2592.12 002104 恒宝股份 -3.04 3.66 -2483.22 300913 兆龙互连 1.41 9.05 -2376.73 300310,2026-06-02 16:53:00,证券时报网,http://finance.eastmoney.com/a/202606023757593425.html
宜通世纪,300310,300310,宜通世纪300310.SZ)：2026年一季报净利润为-505.21万元,2026年4月23日，宜通世纪300310.SZ)发布2026年一季报。 公司营业总收入为5.01亿元，较去年同报告期营业总收入减少1.08亿元，同比较去年同期下降17.68%。归母净利润为-505.21万元。,2026-04-23 09:35:48,界面新闻,http://finance.eastmoney.com/a/202604233715526056.html
宜通世纪,300310,300310,共封装光学(CPO)概念涨2.55%，主力资金净流入113股,688170 德龙激光 1.23 8.13 -458.15 -0.75 688609 九联科技 0.95 5.88 -505.97 -1.47 600699 均胜电子 2.20 3.22 -519.06 -0.44 688516 奥特维 -0.10 3.44 -619.33 -0.97 300310,2026-06-03 16:46:00,证券时报网,http://finance.eastmoney.com/a/202606033759064467.html
宜通世纪,300310,300310,通信行业资金流入榜：中兴通讯等16股净流入资金超亿元,14.03 -4951.66 300571 平治信息 -0.66 15.33 -4654.14 301382 蜂助手 -2.09 4.72 -4094.83 601869 长飞光纤 1.22 2.87 -3866.40 603236 移远通信 -1.31 3.24 -3692.08 300310,2026-05-28 17:25:00,证券时报网,http://finance.eastmoney.com/a/202605283752865517.html
宜通世纪,300310,300310,266.76亿主力资金净流入，共封装光学(CPO)概念涨3.48%,振芯科技 -2.22 2.28 -1602.73 -7.43 301095 广立微 -1.57 3.65 -2005.47 -3.58 300480 光力科技 0.77 5.10 -2026.62 -4.52 688328 深科达 -0.03 7.39 -2224.09 -4.36 300310,2026-06-02 16:53:00,证券时报网,http://finance.eastmoney.com/a/202606023757592663.html
宜通世纪,300310,300310,共封装光学(CPO)概念下跌3.54%，63股主力资金净流出超亿元,1.56 3.55 -749.94 000823 超声电子 -2.15 9.34 -678.24 300077 国民技术 -1.39 7.06 -677.46 000818 航锦科技 0.00 2.79 -597.20 301172 君逸数码 1.06 6.09 -591.81 300310,2026-06-01 17:32:00,证券时报网,http://finance.eastmoney.com/a/202606013756126176.html
宜通世纪,300310,300310,今日突破年线个股,2.49 7.81 8.93 9.04 1.26 002881 美格智能 2.48 10.22 45.29 45.85 1.24 002917 金奥博 1.74 7.01 13.89 14.06 1.22 688768 容知日新 1.59 3.54 48.10 48.60 1.04 300310,2026-05-21 15:51:00,证券时报网,http://finance.eastmoney.com/a/202605213745172151.html
宜通世纪,300310,300310,今日33只个股突破半年线,4.17 25.93 26.14 0.79 003021 兆威机电 1.71 5.87 110.65 111.47 0.74 002422 科伦药业 1.35 1.18 32.16 32.39 0.71 688192 迪哲医药 10.69 2.19 57.21 57.56 0.61 300310,2026-05-21 15:51:00,证券时报网,http://finance.eastmoney.com/a/202605213745172088.html
