LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
万集科技,300552,300552,万集科技300552.SZ)：2026年一季报净利润为-2606.57万元,2026年4月23日，万集科技300552.SZ)发布2026年一季报。 公司营业总收入为2.38亿元。归母净利润为-2606.57万元。经营活动现金净流入为-6197.71万元，较去年同报告期经营活动现金净流入减少1750.04万元。,2026-04-23 09:33:47,界面新闻,http://finance.eastmoney.com/a/202604233715498713.html
万集科技,300552,300552,强势股追踪 主力资金连续5日净流入78股,建投能源 5 1.30 3.21 8.27 002962 五方光电 5 1.28 3.70 8.87 688669 聚石化学 9 1.19 6.62 12.81 603236 移远通信 5 1.08 2.89 6.49 603683 晶华新材 5 1.07 7.60 -1.11 300552,2026-05-27 17:18:00,证券时报网,http://finance.eastmoney.com/a/202605273751386888.html
万集科技,300552,300552,计算机行业5月27日资金流向日报,0.35 7.43 3459.54 002421 达实智能 -1.51 31.67 2864.71 300369 绿盟科技 0.73 4.85 2612.46 688318 财富趋势 -1.74 1.98 2121.72 300440 运达科技 -2.27 2.93 1900.43 300552,2026-05-27 16:46:00,证券时报网,http://finance.eastmoney.com/a/202605273751349637.html
万集科技,300552,300552,115.55亿元资金今日流出计算机股,1.98 3.08 6257.49 688258 卓易信息 1.41 6.01 5877.04 300496 中科创达 3.40 8.35 5567.38 300465 高伟达 1.05 8.35 5190.72 688327 云从科技-UW 1.99 6.51 4969.64 300552,2026-05-26 17:04:00,证券时报网,http://finance.eastmoney.com/a/202605263749763477.html
万集科技,300552,300552,计算机行业今日净流出资金102.78亿元，中科曙光等29股净流出资金超亿元,0.82 3.15 5140.81 002990 盛视科技 -1.32 11.84 5043.64 300368 汇金股份 -2.71 8.96 4834.87 300085 银之杰 -1.80 9.43 4674.37 301182 凯旺科技 -1.90 8.56 4472.15 300552,2026-05-21 17:00:00,证券时报网,http://finance.eastmoney.com/a/202605213745276943.html
万集科技,300552,300552,万集科技：控股股东翟军解押380万股，占总股本的1.78%,5月7日，万集科技（300552）发布公告，控股股东、实际控制人翟军解除质押股份380万股，占其所持股份的4.35%及公司总股本的1.78%。 截至公告披露日，翟军累计质押股份4203万股，占其所持股份的48.07%及公司总股本的19.72%。,2026-05-07 17:39:00,财中社,http://finance.eastmoney.com/a/202605073730206879.html
万集科技,300552,300552,人形机器人概念涨1.72%，主力资金净流入223股,儒竞科技 1.64 3.11 -386.64 -3.32 301538 骏鼎达 14.01 25.25 -424.16 -0.47 300920 润阳科技 -0.68 3.65 -437.59 -3.93 301366 一博科技 -0.02 2.97 -448.70 -3.16 300552,2026-05-15 17:13:00,证券时报网,http://finance.eastmoney.com/a/202605153739011538.html
万集科技,300552,300552,万集科技一季度亏损减少至2607万元，经营现金流净额-6198万元,4月22日，万集科技300552公布2026年一季报，公司营业收入为2.38亿元，同比上升25.3%；归母净利润自去年同期亏损5125万元变为亏损2607万元，亏损额有所减少；扣非归母净利润自去年同期亏损6518万元变为亏损3035万元，亏损额有所减少；经营现金流净额为-6198,2026-04-22 17:03:00,财中社,http://finance.eastmoney.com/a/202604223714116179.html
万集科技,300552,300552,万集科技亮相第十六届交博会 国产感知底座与六大微场景方案落地全国20余城,万集科技300552以“智核筑基·微景深耕·慧交领航”为主题参展，集中展示了从核心感知产品到场景化应用的完整能力体系。 智能交通的核心基础是精准可靠的感知能力。,2026-04-23 11:34:00,证券时报网,http://finance.eastmoney.com/a/202604233715763813.html
万集科技,300552,300552,483家公司获机构调研（附名单）,-10.52 商贸零售 601033 永兴股份 1 14 15.77 6.20 环保 920924 广脉科技 1 13 21.35 4.71 通信 688015 交控科技 1 13 21.93 -4.86 机械设备 688393 安必平 1 13 24.95 4.09 医药生物 300552,2026-05-08 09:14:00,证券时报网,http://finance.eastmoney.com/a/202605083730989975.html
