LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
移为通信,300590,300590,移为通信：股东精速国际、信威顾问及高管彭嵬拟合计减持不超2.1143%股份,移为通信300590.SZ)公告称，股东精速国际、信威顾问及高级管理人员彭嵬计划自公告披露之日起15个交易日后的3个月内，以集中竞价或大宗交易方式合计减持不超过977.32万股(占总股本2.1143%)，减持原因为股东资金需求。,2026-06-02 19:40:33,财联社,http://finance.eastmoney.com/a/202606023757718667.html
移为通信,300590,300590,移为通信：股东拟合计减持公司不超2.1143%股份,人民财讯6月2日电，移为通信3005906月2日公告，持股9.3362%的股东精速国际有限公司、持股6.5378%的股东信威顾问有限公司计划15个交易日后的3个月内，以集中竞价或大宗交易方式分别减持公司股份不超过462.24万股（占公司总股本的1%）；持股0.4573%的公司高级管理人员彭嵬计划,2026-06-02 19:52:00,证券时报网,http://finance.eastmoney.com/a/202606023757727242.html
移为通信,300590,300590,WiFi 6概念下跌5.50%，9股主力资金净流出超亿元,初灵信息 -2.02 3.46 69.16 301314 科瑞思 -3.45 17.40 134.47 688259 创耀科技 -4.58 2.02 188.79 600035 楚天高速 -1.83 0.92 201.50 603068 博通集成 -4.19 2.78 338.71 300590,2026-06-08 17:12:00,证券时报网,http://finance.eastmoney.com/a/202606083763666296.html
移为通信,300590,300590,通信行业资金流入榜：天孚通信等20股净流入资金超亿元,6.04 -6853.67 603881 数据港 -1.06 4.02 -6141.57 688143 长盈通 6.17 11.14 -5211.42 301191 菲菱科思 -1.63 10.28 -5059.21 301428 世纪恒通 1.28 23.54 -4997.77 300590,2026-06-03 16:46:00,证券时报网,http://finance.eastmoney.com/a/202606033759061591.html
移为通信,300590,300590,移为通信300590.SZ)：2026年一季报净利润为5192.99万元,2026年4月23日，移为通信300590.SZ)发布2026年一季报。 公司营业总收入为3.12亿元。归母净利润为5192.99万元。经营活动现金净流入为-2177.48万元，较去年同报告期经营活动现金净流入减少5738.08万元，同比较去年同期下降161.16%。,2026-04-23 09:42:54,界面新闻,http://finance.eastmoney.com/a/202604233715558654.html
移为通信,300590,300590,利好！300590，20%秒涨停！一季度业绩增长超430%！业绩增长股爆发,移为通信300590披露2026年一季报，实现营业收入3.12亿元，同比增长99.27%，净利润5192.99万元，同比增长430.64%。受此提振，移为通信早间大幅高开后秒速20%涨停，股价创年内新高。,2026-04-23 12:28:00,证券时报网,http://finance.eastmoney.com/a/202604233715779791.html
移为通信,300590,300590,移为通信300590.SZ)2025年净利润为7455.83万元、较去年同期下降52.99%,2026年4月23日，移为通信300590.SZ)发布2025年年报。 公司营业总收入为8.91亿元，较去年同报告期营业总收入减少7577.84万元，同比较去年同期下降7.84%。,2026-04-23 09:26:54,界面新闻,http://finance.eastmoney.com/a/202604233715439725.html
移为通信,300590,300590,通信行业资金流入榜：中兴通讯等16股净流入资金超亿元,4.72 -4094.83 601869 长飞光纤 1.22 2.87 -3866.40 603236 移远通信 -1.31 3.24 -3692.08 300310 宜通世纪 -2.68 7.93 -3103.82 600345 长江通信 0.86 4.56 -3080.67 300590,2026-05-28 17:25:00,证券时报网,http://finance.eastmoney.com/a/202605283752865517.html
移为通信,300590,300590,通信行业今日涨3.77%，主力资金净流入38.64亿元,2.42 5.43 7229.39 002792 通宇通讯 2.30 10.81 6168.69 688668 鼎通科技 2.70 3.74 4458.41 002902 铭普光磁 1.92 16.61 3796.55 301307 美利信 7.16 13.65 3524.45 300590,2026-05-25 17:38:00,证券时报网,http://finance.eastmoney.com/a/202605253748276645.html
移为通信,300590,300590,移为通信：公司目前在手订单饱满，传统业务领域如车载信息、资产管理等领域下游需求保持稳健,移为通信（300590.SZ）5月19日在投资者互动平台表示，公司目前在手订单饱满，传统业务领域如车载信息、资产管理等领域下游需求保持稳健；其他市场方面，如动物溯源、视频车联网及两轮车IoT等产品，市场反馈良好。,2026-05-19 16:26:42,每日经济新闻,http://finance.eastmoney.com/a/202605193741993847.html
