ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
300627.SZ,20260417,20251231,0.0,,,0.0,0.45,,,,预案
300627.SZ,20260417,20251231,0.0,,,0.0,0.45,,,,股东大会通过
300627.SZ,20260417,20251231,0.0,,,0.45,0.45,20260518,20260519,20260519,实施
300627.SZ,20250808,20250630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20250418,20241231,0.4,,0.4,0.0,0.5,,,,预案
300627.SZ,20250418,20241231,0.4,,0.4,0.0,0.5,,,,股东大会通过
300627.SZ,20250418,20241231,0.4,,0.4,0.5,0.5,20250619,20250620,20250620,实施
300627.SZ,20240808,20240630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20240418,20231231,0.0,,,0.0,0.35,,,,预案
300627.SZ,20240418,20231231,0.0,,,0.0,0.35,,,,股东大会通过
300627.SZ,20240418,20231231,0.0,,,0.35,0.35,20240611,20240612,20240612,实施
300627.SZ,20230808,20230630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20230418,20221231,0.0,,,0.0,0.27,,,,预案
300627.SZ,20230418,20221231,0.0,,,0.0,0.27,,,,股东大会通过
300627.SZ,20230418,20221231,0.0,,,0.27,0.27,20230518,20230519,20230519,实施
300627.SZ,20220812,20220630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20220427,20211231,0.4,,0.4,0.0,0.3,,,,预案
300627.SZ,20220427,20211231,0.4,,0.4,0.0,0.3,,,,股东大会通过
300627.SZ,20220427,20211231,0.4,,0.4,0.3,0.3,20220601,20220602,20220602,实施
300627.SZ,20210813,20210630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20210422,20201231,0.0,,,0.0,0.25,,,,预案
300627.SZ,20210422,20201231,0.0,,,0.0,0.25,,,,股东大会通过
300627.SZ,20210422,20201231,0.0,,,0.25,0.25,20210520,20210521,20210521,实施
300627.SZ,20200731,20200630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20200428,20191231,0.4,,0.4,0.0,0.3,,,,预案
300627.SZ,20200428,20191231,0.4,,0.4,0.0,0.3,,,,股东大会通过
300627.SZ,20200428,20191231,0.4,,0.4,0.3,0.3,20200611,20200612,20200612,实施
300627.SZ,20190816,20190630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20190420,20181231,0.0,,,0.0,0.2,,,,预案
300627.SZ,20190420,20181231,0.0,,,0.0,0.2,,,,股东大会通过
300627.SZ,20190420,20181231,0.0,,,0.2,0.2,20190715,20190716,20190716,实施
300627.SZ,20180807,20180630,0.0,,,0.0,0.0,,,,预案
300627.SZ,20180410,20171231,1.0,,1.0,0.27,0.27,20180517,20180518,20180518,实施
