ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
688618.SH,20260430,20251231,0.0,,,0.0,0.16,,,,预案
688618.SH,20260430,20251231,0.0,,,0.0,0.16,,,,股东大会通过
688618.SH,20250829,20250630,0.0,,,0.0,0.0,,,,预案
688618.SH,20250430,20241231,0.0,,,0.0,0.16,,,,预案
688618.SH,20250430,20241231,0.0,,,0.0,0.16,,,,股东大会通过
688618.SH,20250430,20241231,0.0,,,0.16,0.16,20250702,20250703,20250703,实施
688618.SH,20240829,20240630,0.0,,,0.0,0.0,,,,预案
688618.SH,20240327,20231231,0.48,,0.48,0.0,0.52,,,,预案
688618.SH,20240327,20231231,0.48,,0.48,0.0,0.52,,,,股东大会通过
688618.SH,20240327,20231231,0.48,,0.48,0.0,0.52,,,,股东大会通过
688618.SH,20240327,20231231,0.48,,0.48,0.52,0.52,20240607,20240611,20240611,实施
688618.SH,20230826,20230630,0.0,,,0.0,0.0,,,,预案
688618.SH,20230329,20221231,0.48,,0.48,0.0,0.4,,,,预案
688618.SH,20230329,20221231,0.48,,0.48,0.0,0.4,,,,股东大会通过
688618.SH,20230329,20221231,0.48,,0.48,0.4,0.4,20230518,20230519,20230519,实施
688618.SH,20220824,20220630,0.0,,,0.0,0.0,,,,预案
688618.SH,20220423,20211231,0.0,,,0.0,0.36,,,,预案
688618.SH,20220423,20211231,0.0,,,0.0,0.36,,,,股东大会通过
688618.SH,20220423,20211231,0.0,,,0.36,0.36,20220602,20220606,20220606,实施
688618.SH,20210830,20210630,0.0,,,0.0,0.0,,,,预案
688618.SH,20210423,20201231,0.0,,,0.0,0.4,,,,预案
688618.SH,20210423,20201231,0.0,,,0.0,0.4,,,,股东大会通过
688618.SH,20210423,20201231,0.0,,,0.4,0.4,20210603,20210604,20210604,实施
