ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
300310.SZ,20260331,20251231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20260331,20251231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20250816,20250630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20250401,20241231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20250401,20241231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20240827,20240630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20240423,20231231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20240423,20231231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20230821,20230630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20230425,20221231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20230425,20221231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20220827,20220630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20220427,20211231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20220427,20211231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20210813,20210630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20210424,20201231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20210424,20201231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20200822,20200630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20200307,20191231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20200307,20191231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20190810,20190630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20190425,20181231,0.0,,,0.0,0.0,,,,预案
300310.SZ,20190425,20181231,0.0,,,0.0,0.0,,,,股东大会通过
300310.SZ,20180829,20180630,0.0,,,0.0,0.0,,,,预案
300310.SZ,20180403,20171231,0.0,,,0.0510002,0.0510002,20180612,20180613,20180613,实施
300310.SZ,20170315,20161231,0.8,,0.8,0.08,0.08,20170425,20170426,20170426,实施
300310.SZ,20160423,20151231,0.6,,0.6,0.05,0.05,20160525,20160526,20160526,实施
300310.SZ,20150326,20141231,0.0,,,0.0475,0.05,20150513,20150514,20150514,实施
300310.SZ,20140328,20131231,0.3,,0.3,0.0475,0.05,20140519,20140520,20140520,实施
300310.SZ,20120825,20120630,1.0,,1.0,0.225,0.25,20120925,20120926,20120926,实施
