ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
688589.SH,20260327,20251231,0.0,,,0.0,0.1,,,,预案
688589.SH,20260327,20251231,0.0,,,0.0,0.1,,,,股东大会通过
688589.SH,20260327,20251231,0.0,,,0.1,0.1,20260609,20260610,20260610,实施
688589.SH,20250828,20250630,0.0,,,0.0,0.0,,,,预案
688589.SH,20250327,20241231,0.2,,0.2,0.0,0.3,,,,预案
688589.SH,20250327,20241231,0.2,,0.2,0.0,0.3,,,,股东大会通过
688589.SH,20250327,20241231,0.2,,0.2,0.0,0.3,,,,股东大会通过
688589.SH,20250327,20241231,0.2,,0.2,0.3,0.3,20250605,20250606,20250606,实施
688589.SH,20240824,20240630,0.0,,,0.0,0.0,,,,预案
688589.SH,20240327,20231231,0.2,,0.2,0.0,0.35,,,,预案
688589.SH,20240327,20231231,0.2,,0.2,0.0,0.35,,,,股东大会通过
688589.SH,20240327,20231231,0.2,,0.2,0.35,0.35,20240522,20240523,20240523,实施
688589.SH,20230824,20230630,0.0,,,0.0,0.0,,,,预案
688589.SH,20230323,20221231,0.0,,,0.0,0.25,,,,预案
688589.SH,20230323,20221231,0.0,,,0.0,0.25,,,,股东大会通过
688589.SH,20230323,20221231,0.0,,,0.25,0.25,20230427,20230428,20230428,实施
688589.SH,20220819,20220630,0.0,,,0.0,0.0,,,,预案
688589.SH,20220324,20211231,0.0,,,0.0,0.2,,,,预案
688589.SH,20220324,20211231,0.0,,,0.0,0.2,,,,股东大会通过
688589.SH,20220324,20211231,0.0,,,0.2,0.2,20220526,20220527,20220527,实施
688589.SH,20210827,20210630,0.0,,,0.0,0.0,,,,预案
688589.SH,20210322,20201231,0.0,,,0.0,0.15,,,,预案
688589.SH,20210322,20201231,0.0,,,0.0,0.15,,,,股东大会通过
688589.SH,20210322,20201231,0.0,,,0.15,0.15,20210714,20210715,20210715,实施
