ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
002869.SZ,20260428,20251231,0.0,,,0.0,0.0,,,,预案
002869.SZ,20260428,20251231,0.0,,,0.0,0.0,,,,股东大会通过
002869.SZ,20250826,20250630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20250422,20241231,0.0,,,0.0,0.2,,,,预案
002869.SZ,20250422,20241231,0.0,,,0.0,0.2,,,,股东大会通过
002869.SZ,20250422,20241231,0.0,,,0.2,0.2,20250625,20250626,20250626,实施
002869.SZ,20240827,20240630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20240419,20231231,0.0,,,0.0,0.1,,,,预案
002869.SZ,20240419,20231231,0.0,,,0.0,0.1,,,,股东大会通过
002869.SZ,20240419,20231231,0.0,,,0.1,0.1,20240704,20240705,20240705,实施
002869.SZ,20230823,20230630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20230425,20221231,0.0,,,0.0,0.06,,,,预案
002869.SZ,20230425,20221231,0.0,,,0.0,0.06,,,,股东大会通过
002869.SZ,20230425,20221231,0.0,,,0.06,0.06,20230706,20230707,20230707,实施
002869.SZ,20220826,20220630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20220426,20211231,0.0,,,0.0,0.0,,,,预案
002869.SZ,20220426,20211231,0.0,,,0.0,0.0,,,,股东大会通过
002869.SZ,20210831,20210630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20210429,20201231,0.0,,,0.0,1.06,,,,预案
002869.SZ,20210429,20201231,0.0,,,0.0,1.06,,,,股东大会通过
002869.SZ,20210429,20201231,0.0,,,1.06,1.06,20210702,20210705,20210705,实施
002869.SZ,20200828,20200630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20200429,20191231,0.5,,0.5,0.0,2.18,,,,预案
002869.SZ,20200429,20191231,0.5,,0.5,0.0,2.18,,,,股东大会通过
002869.SZ,20200429,20191231,0.5,,0.5,2.18,2.18,20200702,20200703,20200703,实施
002869.SZ,20190830,20190630,0.0,,,0.0,0.0,,,,预案
002869.SZ,20190426,20181231,0.0,,,0.0,0.06,,,,预案
002869.SZ,20190426,20181231,0.0,,,0.0,0.06,,,,股东大会通过
002869.SZ,20190426,20181231,0.0,,,0.06,0.06,20190709,20190710,20190710,实施
002869.SZ,20180425,20171231,0.0,,,0.3,0.3,20180712,20180713,20180713,实施
002869.SZ,20170824,20170630,0.0,,,0.2,0.2,20171026,20171027,20171027,实施
