ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
603236.SH,20260424,20251231,0.4,,0.4,0.0,0.38,,,,预案
603236.SH,20260424,20251231,0.4,,0.4,0.0,0.38,,,,股东大会通过
603236.SH,20260424,20251231,0.4,,0.4,0.38,0.38,20260529,20260601,20260601,实施
603236.SH,20250815,20250630,0.0,,,0.0,0.55,,,,预案
603236.SH,20250815,20250630,0.0,,,0.55,0.55,20250827,20250828,20250828,实施
603236.SH,20250424,20241231,0.0,,,0.0,0.42,,,,预案
603236.SH,20250424,20241231,0.0,,,0.0,0.42,,,,股东大会通过
603236.SH,20250424,20241231,0.0,,,0.42,0.42,20250603,20250604,20250604,实施
603236.SH,20240827,20240630,0.0,,,0.0,0.26,,,,预案
603236.SH,20240827,20240630,0.0,,,0.26,0.26,20240925,20240926,20240926,实施
603236.SH,20240423,20231231,0.0,,,0.0,0.11,,,,预案
603236.SH,20240423,20231231,0.0,,,0.0,0.11,,,,股东大会通过
603236.SH,20240423,20231231,0.0,,,0.11,0.11,20240621,20240624,20240624,实施
603236.SH,20230815,20230630,0.0,,,0.0,0.0,,,,预案
603236.SH,20230425,20221231,0.4,,0.4,0.0,1.0,,,,预案
603236.SH,20230425,20221231,0.4,,0.4,0.0,1.0,,,,股东大会通过
603236.SH,20230425,20221231,0.4,,0.4,1.0,1.0,20230614,20230615,20230615,实施
603236.SH,20220824,20220630,0.0,,,0.0,0.0,,,,预案
603236.SH,20220416,20211231,0.3,,0.3,0.0,0.74,,,,预案
603236.SH,20220416,20211231,0.3,,0.3,0.0,0.74,,,,股东大会通过
603236.SH,20220416,20211231,0.3,,0.3,0.74,0.74,20220629,20220630,20220630,实施
603236.SH,20210824,20210630,0.0,,,0.0,0.0,,,,预案
603236.SH,20210420,20201231,0.3,,0.3,0.0,0.51,,,,预案
603236.SH,20210420,20201231,0.3,,0.3,0.0,0.51,,,,股东大会通过
603236.SH,20210420,20201231,0.3,,0.3,0.51,0.51,20210610,20210611,20210611,实施
603236.SH,20200825,20200630,0.0,,,0.0,0.0,,,,预案
603236.SH,20200415,20191231,0.2,,0.2,0.0,0.5,,,,预案
603236.SH,20200415,20191231,0.2,,0.2,0.0,0.5,,,,股东大会通过
603236.SH,20200415,20191231,0.2,,0.2,0.5,0.5,20200609,20200610,20200610,实施
603236.SH,20190829,20190630,0.0,,,0.0,0.0,,,,预案
