ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
300590.SZ,20260423,20251231,0.0,,,0.0,0.12,,,,预案
300590.SZ,20260423,20251231,0.0,,,0.0,0.12,,,,股东大会通过
300590.SZ,20260423,20251231,0.0,,,0.12,0.12,20260522,20260525,20260525,实施
300590.SZ,20250731,20250630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20250425,20241231,0.0,,,0.0,0.22,,,,预案
300590.SZ,20250425,20241231,0.0,,,0.0,0.22,,,,股东大会通过
300590.SZ,20250425,20241231,0.0,,,0.22,0.22,20250528,20250529,20250529,实施
300590.SZ,20240727,20240630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20240422,20231231,0.0,,,0.0,0.15,,,,预案
300590.SZ,20240422,20231231,0.0,,,0.0,0.15,,,,股东大会通过
300590.SZ,20240422,20231231,0.0,,,0.15,0.15,20240620,20240621,20240621,实施
300590.SZ,20230722,20230630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20230425,20221231,0.0,,,0.0,0.12,,,,预案
300590.SZ,20230425,20221231,0.0,,,0.0,0.12,,,,股东大会通过
300590.SZ,20230425,20221231,0.0,,,0.12,0.12,20230613,20230614,20230614,实施
300590.SZ,20220721,20220630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20220414,20211231,0.5,,0.5,0.0,0.15,,,,预案
300590.SZ,20220414,20211231,0.5,,0.5,0.0,0.15,,,,股东大会通过
300590.SZ,20220414,20211231,0.5,,0.5,0.15,0.15,20220628,20220629,20220629,实施
300590.SZ,20210721,20210630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20210424,20201231,0.2,,0.2,0.0,0.1,,,,预案
300590.SZ,20210424,20201231,0.2,,0.2,0.0,0.1,,,,股东大会通过
300590.SZ,20210424,20201231,0.2,,0.2,0.1,0.1,20210528,20210531,20210531,实施
300590.SZ,20200828,20200630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20200428,20191231,0.5,,0.5,0.0,0.15,,,,预案
300590.SZ,20200428,20191231,0.5,,0.5,0.0,0.15,,,,股东大会通过
300590.SZ,20200428,20191231,0.5,,0.5,0.15,0.15,20200629,20200630,20200630,实施
300590.SZ,20190815,20190630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20190316,20181231,0.0,,,0.0,0.25,,,,预案
300590.SZ,20190316,20181231,0.0,,,0.0,0.25,,,,股东大会通过
300590.SZ,20190316,20181231,0.0,,,0.25,0.25,20190523,20190524,20190524,实施
300590.SZ,20180817,20180630,0.0,,,0.0,0.0,,,,预案
300590.SZ,20180228,20171231,0.0,,,0.2,0.2,20180411,20180412,20180412,实施
300590.SZ,20170418,20161231,1.0,,1.0,0.8,0.8,20170524,20170525,20170525,实施
