ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc
688080.SH,20260422,20251231,0.0,,,0.0,0.11,,,,预案
688080.SH,20260422,20251231,0.0,,,0.0,0.11,,,,股东大会通过
688080.SH,20260422,20251231,0.0,,,0.11,0.11,20260612,20260615,20260615,实施
688080.SH,20250822,20250630,0.0,,,0.0,0.0,,,,预案
688080.SH,20250423,20241231,0.0,,,0.0,0.2,,,,预案
688080.SH,20250423,20241231,0.0,,,0.0,0.20044,,,,股东大会通过
688080.SH,20250423,20241231,0.0,,,0.0,0.2,,,,股东大会通过
688080.SH,20250423,20241231,0.0,,,0.20044,0.20044,20250710,20250711,20250711,实施
688080.SH,20240823,20240630,0.0,,,0.0,0.0,,,,预案
688080.SH,20240419,20231231,0.0,,,0.0,0.17,,,,预案
688080.SH,20240419,20231231,0.0,,,0.0,0.17,,,,股东大会通过
688080.SH,20240419,20231231,0.0,,,0.17,0.17,20240531,20240603,20240603,实施
688080.SH,20230823,20230630,0.0,,,0.0,0.0,,,,预案
688080.SH,20230426,20221231,0.4,,0.4,0.0,0.14,,,,预案
688080.SH,20230426,20221231,0.4,,0.4,0.0,0.14,,,,股东大会通过
688080.SH,20230426,20221231,0.4,,0.4,0.14,0.14,20230627,20230628,20230628,实施
688080.SH,20220826,20220630,0.0,,,0.0,0.0,,,,预案
688080.SH,20220426,20211231,0.0,,,0.0,0.14,,,,预案
688080.SH,20220426,20211231,0.0,,,0.0,0.14,,,,股东大会通过
688080.SH,20220426,20211231,0.0,,,0.14,0.14,20220627,20220628,20220628,实施
688080.SH,20210820,20210630,0.0,,,0.0,0.0,,,,预案
688080.SH,20210428,20201231,0.0,,,0.0,0.16,,,,预案
688080.SH,20210428,20201231,0.0,,,0.0,0.16,,,,股东大会通过
688080.SH,20210428,20201231,0.0,,,0.16,0.16,20210630,20210701,20210701,实施
688080.SH,20200826,20200630,0.0,,,0.0,0.0,,,,预案
688080.SH,20200428,20191231,0.0,,,0.0,0.2,,,,预案
688080.SH,20200428,20191231,0.0,,,0.0,0.2,,,,股东大会通过
688080.SH,20200428,20191231,0.0,,,0.2,0.2,20200617,20200618,20200618,实施
