ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
688080.SH,20260422,20260422,20260331,1,1,1,0.1262,0.1262,134437414.98,134437414.98,,,,,,,,,,,,,,,,-1671447.43,-2509639.21,,116139790.42,67175220.11,,,439148.13,19335963.06,10080231.31,3240324.38,-1460033.32,,,,,,,,,,,16821786.86,50789.59,450683.4,,16421893.05,6906515.9,9515377.15,9292663.16,222713.99,-4111476.43,5403900.72,5181186.73,222713.99,23194022.65,,,,,13962467.02,174159.27,3303822.49,,,,,,,,,,,,,,,9515377.15,1
688080.SH,20260422,20260422,20260331,1,1,1,0.1262,0.1262,134437414.98,134437414.98,,,,,,,,,,,,,,,,-1671447.43,-2509639.21,,116139790.42,67175220.11,,,439148.13,19335963.06,10080231.31,3240324.38,-1460033.32,,,,,,,,,,,16821786.86,50789.59,450683.4,,16421893.05,6906515.9,9515377.15,9292663.16,222713.99,-4111476.43,5403900.72,5181186.73,222713.99,,,,,,13962467.02,174159.27,3303822.49,,,,,,,,,,,,,,,9515377.15,0
688080.SH,20260422,20260422,20251231,1,1,4,2.02,2.02,776982798.17,776982798.17,,,,,,,,,,,,,,,,3007054.15,-1908861.82,,610855910.55,394378389.82,,,1709049.82,105872883.59,40641587.76,-6861107.2,-4668363.14,,,,,,,,,,,177543010.04,153004.42,116020.82,,177579993.64,26868967.37,150711026.27,149026181.23,1684845.04,-4966670.44,145744355.83,144059510.79,1684845.04,167652599.69,181712437.68,,,,70168573.78,639207.87,15463677.36,,,,,,,,,,,,,,,150711026.27,1
688080.SH,20251028,20251028,20250930,1,1,3,1.39,1.39,549564008.55,549564008.55,,,,,,,,,,,,,,,,2194810.86,-1298145.49,,421037211.64,278507578.68,,,1277066.73,70031775.94,29603523.09,-6784364.55,-2393179.76,,,,,,,,,,,137183034.27,112193.85,94605.59,,137200622.53,32553120.97,104647501.56,102539038.8,2108462.76,-2314847.42,102332654.14,100224191.38,2108462.76,130574588.84,,,,,45512219.7,429486.56,11270597.97,,,,,,,,,,,,,,,104647501.56,1
688080.SH,20251028,20251028,20250930,1,1,3,1.39,1.39,549564008.55,549564008.55,,,,,,,,,,,,,,,,2194810.86,-1298145.49,,421037211.64,278507578.68,,,1277066.73,70031775.94,29603523.09,-6784364.55,-2393179.76,,,,,,,,,,,137183034.27,112193.85,94605.59,,137200622.53,32553120.97,104647501.56,102539038.8,2108462.76,-2314847.42,102332654.14,100224191.38,2108462.76,,,,,,45512219.7,429486.56,11270597.97,,,,,,,,,,,,,,,104647501.56,0
688080.SH,20250822,20250822,20250630,1,1,2,0.91,0.91,351431392.72,351431392.72,,,,,,,,,,,,,,,,3650070.4,1402068.74,,270831922.12,179813738.67,,,886037.58,44814413.32,19170871.12,-6080995.33,-2465330.31,,,,,,,,,,,87772999.35,109642.7,94616.74,,87788025.31,19421051.68,68366973.63,67348218.15,1018755.48,-290211.6,68076762.03,67058006.55,1018755.48,78019460.94,84578157.97,,,,28978593.33,289382.99,7521758.97,,,,,,,,,,,,,,,68366973.63,0
688080.SH,20250423,20250423,20250331,1,1,1,0.3016,0.3016,149543245.52,149543245.52,,,,,,,,,,,,,,,,-1526643.82,-2646897.57,,118633661.64,75035287.81,,,467258.18,20741511.46,9244517.45,-1930809.27,-1559967.24,,,,,,,,,,,31522282.65,234804.79,2323.07,,31754764.37,8859822.79,22894941.58,22271875.26,623066.32,145144.51,23040086.09,22417019.77,623066.32,32650368.85,,,,,13842083.46,136793.84,3007178.31,,,,,,,,,,,,,,,22894941.58,1
688080.SH,20250423,20250423,20241231,1,1,4,1.76,1.76,611736244.97,611736244.97,,,,,,,,,,,,,,,,5197349.44,-1664963.09,,474871033.17,290677231.88,,,1966330.13,88157670.18,37166265.57,-14918142.73,-5263000.12,,,,,,,,,,,151494071.96,60543.79,79535.03,,151475080.72,20636945.9,130838134.82,129887456.79,950678.03,2339640.91,133177775.73,132227097.7,950678.03,131374008.91,143106019.02,,,,66533328.56,396872.09,12716275.02,,,,,,,,,,,,,,,130838134.82,1
688080.SH,20241025,20241025,20240930,1,1,3,1.13,1.13,408252822.36,408252822.36,,,,,,,,,,,,,,,,7334755.06,1760065.55,,316902337.54,192593844.88,,,1315972.56,57660562.45,25077161.09,-6922175.41,-3643648.85,,,,,,,,,,,105274503.46,261004.81,49667.51,,105485840.76,21055440.8,84430399.96,83367837.81,1062562.15,-2440430.71,81989969.25,80927407.1,1062562.15,94644570.52,,,,,42604673.66,321384.25,9148125.13,,,,,,,,,,,,,,,84430399.96,1
688080.SH,20240823,20240823,20240630,1,1,2,0.73,0.73,260918475.93,260918475.93,,,,,,,,,,,,,,,,3630662.13,-313026.01,,202305629.9,124022272.93,,,918722.32,36406404.68,16575128.13,-6865012.43,-3085363.5,,,,,,,,,,,65499325.78,107037.18,38920.63,,65567442.33,12350003.98,53217438.35,53419391.9,-201953.55,847343.94,54064782.29,54266735.84,-201953.55,54990638.72,60693514.67,,,,27892465.33,226050.56,5665484.37,,,,,,,,,,,,,,,53217438.35,1
