ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
301608.SZ,20260421,20260421,20260331,1,1,1,0.6192,0.6192,418161767.32,418161767.32,,,,,,,,,,,,,,,4157136.34,792918.97,,,363613858.86,315549318.33,,,2396209.45,7358440.66,8815573.6,1138254.24,-1457454.61,,,,,,,,,,,59919819.81,124950.61,39165.4,,60005605.02,4902483.88,55103121.14,55103121.14,,,55103121.14,55103121.14,,57565473.35,,,,,26168038.14,4374.03,1733134.83,,,,,,,,,,,,,,,55103121.14,1
301608.SZ,20260421,20260421,20260331,1,1,1,0.6192,0.6192,418161767.32,418161767.32,,,,,,,,,,,,,,,4157136.34,792918.97,,,363613858.86,315549318.33,,,2396209.45,7358440.66,8815573.6,1138254.24,-1457454.61,,,,,,,,,,,59919819.81,124950.61,39165.4,,60005605.02,4902483.88,55103121.14,55103121.14,,,55103121.14,55103121.14,,,,,,,26168038.14,4374.03,1733134.83,,,,,,,,,,,,,,,55103121.14,0
301608.SZ,20260421,20260421,20251231,1,1,4,2.6376,2.6376,1711517711.87,1711517711.87,,,,,,,,,,,,,,,20859609.83,5589191.12,,,1485801451.72,1296790629.73,,,7659097.67,32967000.85,36827284.14,-2930538.92,-3565818.05,,,,,,,,,,,260886748.46,155126.22,181061.87,,260860812.81,26138192.95,234722619.86,234722619.86,,,234722619.86,234722619.86,,231507442.43,253819302.34,,,,110088937.26,69174.97,4224888.53,,,,,,,,,,,,,,,234722619.86,1
301608.SZ,20251024,20251024,20250930,1,1,3,2.028,2.028,1271913161.41,1271913161.41,,,,,,,,,,,,,,,17577889.31,3606855.72,,,1098448358.95,968639688.39,,,5496802.25,24265860.82,26494350.84,-2689472.89,-2499404.83,,,,,,,,,,,200595532.29,118922.97,127237.2,,200587218.06,20113664.87,180473553.19,180473553.19,,,180473553.19,180473553.19,,179220719.2,,,,,73800441.39,59475.76,3049270.37,,,,,,,,,,,,,,,180473553.19,1
301608.SZ,20250828,20250828,20250630,1,1,2,1.2112,1.2112,804988350.19,804988350.19,,,,,,,,,,,,,,,12825132.32,2156621.41,,,704943068.86,619802403.78,,,3458578.0,15847166.52,17289523.21,-1105890.47,-1790924.58,,,,,,,,,,,118826809.91,76701.98,108142.84,,118795369.05,11012280.26,107783088.79,107783088.79,,,107783088.79,107783088.79,,102739165.71,114064965.59,,,,47016713.7,44137.82,1633576.63,,,,,,,,,,,,,,,107783088.79,1
301608.SZ,20250423,20250423,20250331,1,1,1,0.4529,0.4529,347516437.32,347516437.32,,,,,,,,,,,,,,,7200581.43,314180.52,,,312768457.72,271855240.09,,,1469308.83,8175217.93,8109127.93,-1068126.05,-918402.64,,,,,,,,,,,43875230.73,42139.73,89621.17,,43827749.29,3525038.93,40302710.36,40302710.36,,,40302710.36,40302710.36,,36210745.37,,,,,22957425.09,24555.0,792977.47,,,,,,,,,,,,,,,40302710.36,1
301608.SZ,20250423,20250423,20241231,1,1,4,2.3106,2.3106,1401681238.39,1401681238.39,,,,,,,,,,,,,,,10998716.56,3451325.37,,,1231937713.85,1070723149.87,,,6208561.47,29049872.71,33791961.53,-12249233.08,-1788262.5,,,,,,,,,,,192782777.56,67318.07,334731.32,,192515364.31,16890416.83,175624947.48,175624947.48,,,175624947.48,175624947.48,,166103942.4,188629430.23,,,,95826978.99,132145.84,8466419.74,,,,,,,,,,,,,,,175624947.48,1
301608.SZ,20241028,20241028,20240930,1,1,3,1.8796,1.8796,1045488501.8,1045488501.8,,,,,,,,,,,,,,,6555569.32,1565100.78,,,909328344.29,801840711.99,,,5151638.39,20597511.34,22063734.01,-6840910.48,-655550.28,,,,,,,,,,,150697347.39,13643.74,309950.7,,150401040.43,15666101.08,134734939.35,134734939.35,,,134734939.35,134734939.35,,136411756.94,,,,,61722508.2,103895.54,6815033.59,,,,,,,,,,,,,,,134734939.35,1
301608.SZ,20240829,20240829,20240630,1,1,2,1.36,1.36,669890139.76,669890139.76,,,,,,,,,,,,,,,3523979.55,1526945.65,,,578138188.89,507116191.36,,,2891544.54,12809253.33,14306385.64,-5602725.7,-449049.76,,,,,,,,,,,100730279.36,13640.37,270929.59,,100472990.14,9949004.08,90523986.06,90523986.06,,,90523986.06,90523986.06,,90096256.21,101193747.08,,,,39323109.02,71061.78,3648873.79,,,,,,,,,,,,,,,90523986.06,1
301608.SZ,20240712,20240712,20240331,1,1,1,0.53,0.53,247726354.88,247726354.88,,,,,,,,,,,,,,,2018487.2,259850.09,,,212467768.92,180603264.98,,,1663340.18,5858137.65,7314983.77,-3216142.68,-712733.87,,,,,,,,,,,39184022.57,13000.32,228524.54,,38968498.35,3743592.51,35224905.84,35224905.84,,,35224905.84,35224905.84,,,,,,,19058542.49,33698.6,2100450.82,,,,,,,,,,,,,,,35224905.84,1
301608.SZ,20240712,20240712,20231231,1,1,4,2.61,2.61,1122720685.69,1122720685.69,,,,,,,,,,,,,,,5576112.57,2024257.8,,,945530968.41,803027057.36,,,8900501.55,23705125.2,26038650.23,-3816011.9,-5830610.74,,,,,,,,,,,191517993.28,154238.32,399350.85,,191272880.75,17059960.98,174212919.77,174212919.77,,,174212919.77,174212919.77,,180327759.11,202225772.86,,,,78632659.74,168140.27,5136372.11,,,,,,,,,,,,,,,174212919.77,1
301608.SZ,20241028,20241028,20230930,1,1,3,2.0154,2.0154,845876324.17,845876324.17,,,,,,,,,,,,,,,4278439.49,1323856.08,,,704787594.03,608896362.66,,,6784612.6,15365074.96,17888549.6,-3818037.73,-4824653.47,,,,,,,,,,,148965095.5,150238.75,106961.7,,149008372.55,14506246.69,134502125.86,134502125.86,,,134502125.86,134502125.86,,,,,,,,,,,,,,,,,,,,,,,,,0
301608.SZ,20231127,20231127,20230630,1,1,2,1.3,1.3,575432202.14,575432202.14,,,,,,,,,,,,,,,2227888.19,1269231.83,,,484350434.34,421296630.11,,,4372148.09,9457796.53,11817903.1,-3274206.47,-2835811.95,,,,,,,,,,,96010387.88,139121.2,51275.09,,96098233.99,9391329.09,86706904.9,86706904.9,,,86706904.9,86706904.9,,92063828.36,102989670.82,,,,34073783.34,90610.7,1978906.75,,,,,,,,,,,,,,,86706904.9,1
301608.SZ,20240712,20240712,20221231,1,1,4,2.36,2.36,1209620163.3,1209620163.3,,,,,,,,,,,,,,,2118656.0,1578705.48,,,1051562248.52,917244496.34,,,8566948.51,19360079.45,25870764.23,710512.09,-4700789.18,,,,,,,,,,,172673595.9,476319.39,221438.04,,172928477.25,15262474.51,157666002.74,157666002.74,,,157666002.74,157666002.74,,169711896.86,191260801.65,,,,73724191.7,217997.77,2584993.18,,,,,,,,,,,,,,,157666002.74,1
