ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
688618.SH,20260430,20260430,20260331,1,1,1,-0.01,-0.01,68758686.09,68758686.09,,,,,,,,,,,,,,,617609.85,410631.48,-278351.97,,74090284.88,29357006.43,,,996839.25,16488388.94,9107407.85,621405.9,-810217.85,,,,,,,,,,,-1195208.87,36038.27,643.09,,-1159813.69,-305706.7,-854106.99,-854106.99,,74127.43,-779979.56,-779979.56,,,,,,,16793437.14,476226.3,46797.32,,,,,,,,,,,,,,,-854106.99,0
688618.SH,20260430,20260430,20260331,1,1,1,-0.01,-0.01,68758686.09,68758686.09,,,,,,,,,,,,,,,617609.85,410631.48,-278351.97,,74090284.88,29357006.43,,,996839.25,16488388.94,9107407.85,621405.9,-810217.85,,,,,,,,,,,-1195208.87,36038.27,643.09,,-1159813.69,-305706.7,-854106.99,-854106.99,,74127.43,-779979.56,-779979.56,,-791826.45,,,,,16793437.14,476226.3,46797.32,,,,,,,,,,,,,,,-854106.99,1
688618.SH,20260430,20260430,20251231,1,1,4,0.33,0.33,357690154.64,357690154.64,,,,,,,,,,,,,,,132819.96,6488152.05,-399142.01,,360601379.6,155630579.06,,,4487813.8,76103984.61,41453786.28,1606305.05,-5120476.39,,,,,,,,,,,34869062.7,23518.24,99204.56,,34793376.38,-1177648.3,35971024.68,35971024.68,,5398.41,35976423.09,35976423.09,,31540880.32,53781890.86,,,,76304630.36,1379263.09,331722.85,,,,,,,,,,,,,,,35971024.68,1
688618.SH,20251031,20251031,20250930,1,1,3,0.32,0.32,262148096.49,262148096.49,,,,,,,,,,,,,,,2897430.93,1970862.78,-521056.6,,258923747.93,106815642.51,,,3448866.13,54672735.25,27372944.46,1034044.96,-3532961.48,,,,,,,,,,,37102532.03,30397.3,60975.96,,37071953.37,2200218.64,34871734.73,34871734.73,,405.42,34872140.15,34872140.15,,,,,,,62726452.45,693341.29,313352.83,,,,,,,,,,,,,,,34871734.73,0
688618.SH,20251031,20251031,20250930,1,1,3,0.32,0.32,262148096.49,262148096.49,,,,,,,,,,,,,,,2897430.93,1970862.78,-521056.6,,258923747.93,106815642.51,,,3448866.13,54672735.25,27372944.46,1034044.96,-3532961.48,,,,,,,,,,,37102532.03,30397.3,60975.96,,37071953.37,2200218.64,34871734.73,34871734.73,,405.42,34872140.15,34872140.15,,36801244.76,,,,,62726452.45,693341.29,313352.83,,,,,,,,,,,,,,,34871734.73,1
688618.SH,20250829,20250829,20250630,1,1,2,0.15,0.15,172101001.49,172101001.49,,,,,,,,,,,,,,,4942907.5,184989.21,-329863.65,,171029169.94,68394424.73,,,2307347.48,34542410.71,18417360.69,775819.91,-3409001.11,,,,,,,,,,,14075128.89,28944.73,18309.93,,14085763.69,-1944587.59,16030351.28,16030351.28,,104.89,16030456.17,16030456.17,,9795763.95,20680673.02,,,,44047608.29,881502.94,268569.54,,,,,,,,,,,,,,,16030351.28,1
688618.SH,20250829,20250829,20250630,1,1,2,0.15,0.15,172101001.49,172101001.49,,,,,,,,,,,,,,,4942907.5,184989.21,-329863.65,,171029169.94,68394424.73,,,2307347.48,34542410.71,18417360.69,775819.91,-3409001.11,,,,,,,,,,,14075128.89,28944.73,18309.93,,14085763.69,-1944587.59,16030351.28,16030351.28,,104.89,16030456.17,16030456.17,,,,,,,44047608.29,881502.94,268569.54,,,,,,,,,,,,,,,16030351.28,0
688618.SH,20250430,20250430,20250331,1,1,1,0.07,0.07,80785590.15,80785590.15,,,,,,,,,,,,,,,4851192.19,-147115.94,-296238.69,,82222323.25,32170947.3,,,1133545.16,15629720.9,8876715.52,109984.27,-1217209.21,,,,,,,,,,,8289040.6,22359.88,14550.67,,8296849.81,324190.85,7972658.96,7972658.96,,,7972658.96,7972658.96,,4912157.83,,,,,24163879.04,-25817.43,137755.9,,,,,,,,,,,,,,,7972658.96,1
688618.SH,20250430,20250430,20241231,1,1,4,0.3,0.3,356839594.79,356839594.79,,,,,,,,,,,,,,,-2429231.15,14030276.0,-1165700.65,,355801808.98,140850888.49,,,4829099.92,62406971.51,47967902.23,1616883.69,-22772245.71,,,,,,,,,,,31901646.1,13497.43,153772.8,,31761370.73,-1062840.5,32824211.23,32824211.23,,,32824211.23,32824211.23,,39912347.29,57929028.53,,,,73475391.09,2932933.81,869258.55,,,,,,,,,,,,,,,32824211.23,1
688618.SH,20241031,20241031,20240930,1,1,3,0.3,0.3,244537242.49,244537242.49,,,,,,,,,,,,,,,750207.85,7920754.47,-531136.28,,231389655.63,89084327.1,,,3201093.57,47573056.81,31393265.9,1490809.38,-4061991.99,,,,,,,,,,,35274959.52,8226.94,30933.22,,35252253.24,1972073.61,33280179.63,33280179.63,,,33280179.63,33280179.63,,32156523.1,,,,,54053304.42,2315711.76,838845.83,,,,,,,,,,,,,,,33280179.63,1
688618.SH,20240829,20240829,20240630,1,1,2,0.23,0.23,156383165.08,156383165.08,,,,,,,,,,,,,,,4896474.53,5441574.51,-227201.89,,148428603.03,57104254.18,,,1999973.65,31370247.05,20274983.39,1459262.44,-3422728.18,,,,,,,,,,,27328823.85,5761.83,12925.69,,27321659.99,1989585.53,25332074.46,25332074.46,,,25332074.46,25332074.46,,18476119.08,27611065.51,,,,33453775.55,2391545.45,785851.37,,,,,,,,,,,,,,,25332074.46,1
688618.SH,20240426,20240426,20240331,1,1,1,0.21,0.21,75496059.07,75496059.07,,,,,,,,,,,,,,,-831568.46,4703620.48,-30258.89,,67239390.78,27010465.85,,,922047.22,14436242.51,8267604.42,767407.22,-626636.78,,,,,,,,,,,16740584.19,2055.26,3684.22,,16738955.23,1276363.67,15462591.56,15462591.56,,,15462591.56,15462591.56,,14262576.17,,,,,15490651.09,1028920.14,417934.21,,,,,,,,,,,,,,,15462591.56,1
