LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
日海智能,002313,002313,日海通讯,关于子公司变更经营范围的公告,2010-07-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=58202879&orgId=9900009111&announcementTime=2010-07-22 06:30:00
日海智能,002313,002313,日海通讯,第二届董事会第二次会议决议公告,2010-06-10 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=58054176&orgId=9900009111&announcementTime=2010-06-10 06:30:00
日海智能,002313,002313,日海通讯,平安证券有限责任公司关于公司财务会计基础工作专项活动工作方案自查自纠阶段的核查意见,2010-06-10 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=58054175&orgId=9900009111&announcementTime=2010-06-10 06:30:00
日海智能,002313,002313,日海通讯,第二届董事会第一次会议决议公告,2010-05-12 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57939283&orgId=9900009111&announcementTime=2010-05-12 06:30:00
日海智能,002313,002313,日海通讯,第二届监事会第一次会议决议公告,2010-05-12 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57939282&orgId=9900009111&announcementTime=2010-05-12 06:30:00
日海智能,002313,002313,日海通讯,独立董事关于聘任高级管理人员的独立意见,2010-05-12 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57939281&orgId=9900009111&announcementTime=2010-05-12 06:30:00
日海智能,002313,002313,日海通讯,2010年第三次临时股东大会法律意见书,2010-05-12 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57939280&orgId=9900009111&announcementTime=2010-05-12 06:30:00
日海智能,002313,002313,日海通讯,2010年第三次临时股东大会决议公告,2010-05-12 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57939279&orgId=9900009111&announcementTime=2010-05-12 06:30:00
日海智能,002313,002313,日海通讯,2009年度权益分派实施公告,2010-04-24 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57862356&orgId=9900009111&announcementTime=2010-04-24 06:30:00
日海智能,002313,002313,日海通讯,第一届董事会第二十六次会议决议公告,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849328&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,第一届监事会第十三次会议决议公告,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849327&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,独立董事提名人声明,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849326&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,独立董事关于董事会换届选举的独立意见,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849325&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,独立董事候选人声明（童新）,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849324&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,独立董事候选人声明（章书涛）,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849321&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,独立董事候选人声明（吴玉光）,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849320&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,子公司管理制度（2010年4月）,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849319&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,关于选举职工代表监事的公告,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849318&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,关于召开2010年第三次临时股东大会的通知,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849317&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,2010年第一季度报告全文,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849316&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,2010年第一季度报告正文,2010-04-22 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57849314&orgId=9900009111&announcementTime=2010-04-22 06:30:00
日海智能,002313,002313,日海通讯,2009年年度股东大会法律意见书,2010-04-21 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57842339&orgId=9900009111&announcementTime=2010-04-21 06:30:00
日海智能,002313,002313,日海通讯,2009年年度股东大会决议公告,2010-04-21 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57842338&orgId=9900009111&announcementTime=2010-04-21 06:30:00
日海智能,002313,002313,日海通讯,关于董事会换届选举的公告,2010-04-09 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57788148&orgId=9900009111&announcementTime=2010-04-09 06:30:00
日海智能,002313,002313,日海通讯,关于监事会换届选举的公告,2010-04-09 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57788145&orgId=9900009111&announcementTime=2010-04-09 06:30:00
日海智能,002313,002313,日海通讯,关于举行2009年年度报告网上说明会的通知,2010-04-02 06:33:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57763995&orgId=9900009111&announcementTime=2010-04-02 06:33:00
日海智能,002313,002313,日海通讯,2009年年度报告,2010-03-29 06:31:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735836&orgId=9900009111&announcementTime=2010-03-29 06:31:00
日海智能,002313,002313,日海通讯,高级管理人员薪酬考核制度（2010年3月）,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735851&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,第一届董事会2009年度工作报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735850&orgId=9900009111&announcementTime=2010-03-29 06:30:00
