ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
002383.SZ,20210415,20201231,1689387100.0,-1231641400.0,-1246142200.0,-1077523800.0,7267759900.0,1715629500.0,-1.45
002383.SZ,20200229,20191231,1548935302.09,-968149445.79,-978908390.22,-946222481.45,8184166996.01,2945580143.09,-1.2716
002383.SZ,20190228,20181231,2306402500.0,181511300.0,177389400.0,190615000.0,9764411600.0,3871245000.0,0.2564
002383.SZ,20180725,20180630,2398948578.93,166330943.89,165221260.13,180474708.12,9003591413.46,3846550870.28,0.243
002383.SZ,20180228,20171231,2295879585.08,272418463.23,277833504.89,252050053.83,8350859185.14,3705287470.42,0.343
002383.SZ,20170727,20170630,636363207.97,32732887.42,45592318.86,50289189.82,5667968850.28,3503625465.14,0.0686
002383.SZ,20170228,20161231,1147054713.23,93968169.12,112839701.13,96276600.73,4920452021.95,3501355412.27,0.4605
002383.SZ,20160227,20151231,758566890.33,38786434.59,69371822.84,60571275.74,2486343845.66,1790716736.62,0.3137
002383.SZ,20150228,20141231,489874157.57,15505754.96,47185902.63,40098861.19,1884662939.68,1423091255.19,0.2142
002383.SZ,20140228,20131231,634810165.53,-3851244.63,24238509.45,9839383.96,1782461163.84,1398098911.88,0.0526
002383.SZ,20130228,20121231,414979641.85,-75956736.36,-64193704.0,-55488203.64,1566146670.34,1395651879.09,-0.2964
002383.SZ,20120229,20111231,441318283.85,39024123.89,52791117.21,44170024.25,1682710542.72,1476521108.56,0.3067
002383.SZ,20110228,20101231,400894719.01,36882039.14,55137317.11,50283022.18,1547393951.16,1480980849.95,0.447
