ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
300183.SZ,20230220,20221231,944033200.0,186492100.0,186601600.0,156048200.0,3602238900.0,3139551500.0,0.3373
300183.SZ,20200228,20191231,828133500.0,224883900.0,224851600.0,200352900.0,3232272500.0,2989337600.0,0.4268
300183.SZ,20190126,20181231,1013301400.0,216792100.0,216390300.0,194666800.0,3202289200.0,2838800200.0,0.4295
300183.SZ,20180131,20171231,904795800.0,220891000.0,232096500.0,233769800.0,3073270000.0,2834860100.0,0.5157
300183.SZ,20170121,20161231,983908992.33,330973340.93,394157224.67,356894581.68,2793838792.18,2525559099.38,0.7874
300183.SZ,20160225,20151231,825326372.8,261325723.19,324985973.05,273459489.72,2469869789.9,2256784831.95,0.61
300183.SZ,20150119,20141231,644395982.49,227676603.86,271226674.78,245133964.05,2072704987.23,1870418354.23,1.1
300183.SZ,20140124,20131231,503278968.0,209667559.47,259354020.66,236326817.31,1813580412.53,1730332469.48,1.07
300183.SZ,20130228,20121231,441635246.38,231224398.4,285474498.83,269819669.53,1595933041.43,1537364007.5,1.23
300183.SZ,20120209,20111231,377015974.99,212861431.28,240640829.59,203983818.21,1433199966.15,1363320480.31,2.13
300183.SZ,20110705,20110630,156636057.65,78249383.18,90005481.15,75653808.15,1292963634.09,1234990470.25,0.83
