ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
002151.SZ,20240228,20231231,4081949900.0,-81549300.0,-84041600.0,160052300.0,6498866700.0,5560999400.0,0.31
002151.SZ,20230225,20221231,3836595934.49,75191430.61,79029955.27,145678887.49,7601524543.83,4334739990.66,0.29
002151.SZ,20220224,20211231,3847093773.65,200293116.86,201802133.34,203032905.67,7192157249.7,4430028511.47,0.4
002151.SZ,20210224,20201231,3622806768.47,163086844.2,163008793.14,144616356.47,7130305345.22,4227951157.61,0.29
002151.SZ,20200228,20191231,2985053079.25,-747952665.35,-748622181.39,-645509715.69,6367945950.87,3260938015.52,-1.32
002151.SZ,20190227,20181231,3055657057.15,-293624285.68,172515870.86,105207136.09,6576767246.37,4060866946.65,0.21
002151.SZ,20180228,20171231,2132417810.02,141079112.32,138460696.36,102103767.63,6758506856.84,4337138825.61,0.2
002151.SZ,20170221,20161231,1621389733.04,87101053.28,84485211.24,51215580.78,5648945116.89,4308448167.75,0.11
002151.SZ,20160227,20151231,1120341002.97,13124243.0,56774833.52,50935700.21,3769540900.47,2650213392.35,0.2
002151.SZ,20150228,20141231,946952448.38,33221161.79,62167163.3,31266752.22,1910746599.43,1176006260.96,0.14
002151.SZ,20140228,20131231,774905072.55,42320517.59,79428494.78,42480101.46,1696313049.2,707260238.62,0.23
002151.SZ,20120225,20111231,484772774.42,42017821.01,49403451.89,36345045.85,1248834742.38,640064504.34,0.24
002151.SZ,20110226,20101231,331247800.0,46142100.0,50811000.0,42030200.0,932776800.0,639625900.0,0.45
002151.SZ,20100729,20100630,145730600.0,19449300.0,20746500.0,17726500.0,515523400.0,329034500.0,0.19
002151.SZ,20090728,20090630,146522200.0,24725200.0,26609800.0,22602600.0,415318400.0,300034200.0,0.25
002151.SZ,20090206,20081231,228837700.0,51270700.0,53930900.0,45434900.0,367312700.0,285770900.0,0.5
002151.SZ,20080726,20080630,104180000.0,28658800.0,29387000.0,22126700.0,336813100.0,262485300.0,0.24
002151.SZ,20080221,20071231,150374800.0,40741300.0,44113200.0,37603600.0,319442500.0,253452300.0,0.85
