ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
300098.SZ,20210415,20201231,2326086500.0,-1203609600.0,-1193475900.0,-1102759800.0,6169043200.0,3335395500.0,-0.63
300098.SZ,20200229,20191231,2698876600.0,-1218507100.0,-1223556900.0,-1161948300.0,7891999800.0,4470343300.0,-0.68
300098.SZ,20190228,20181231,3559147600.0,556375600.0,601794600.0,540175900.0,8436365400.0,5598351600.0,0.31
300098.SZ,20180228,20171231,2165595900.0,447748200.0,467089100.0,406306200.0,7510056500.0,5077192000.0,0.3793
300098.SZ,20170228,20161231,1306581700.0,264385200.0,343397700.0,312837900.0,4725454000.0,3745200000.0,0.2911
300098.SZ,20160225,20151231,1065023600.0,134856100.0,161502200.0,141219000.0,4291203900.0,3413289800.0,0.4
300098.SZ,20150228,20141231,737332000.0,72316800.0,161217500.0,132958100.0,1672213700.0,972575800.0,0.72
300098.SZ,20140227,20131231,534467931.53,39007338.13,67370863.7,53542395.97,1189347014.62,862488903.44,0.3
300098.SZ,20130228,20121231,287857750.94,-154134851.82,-129269057.47,-113122005.12,918037331.9,693964792.55,-0.64
300098.SZ,20120229,20111231,196096769.56,12407003.05,35784731.21,33298679.12,889056541.8,823233093.61,0.37
300098.SZ,20110225,20101231,182301159.91,30743888.22,46505424.53,43812508.16,910804802.45,810166000.12,0.75
