ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
002373.SZ,20210227,20201231,9477651800.0,1280026300.0,1251072600.0,1070597700.0,19405627200.0,11949722900.0,0.7
002373.SZ,20200710,20200630,3714987000.0,585327900.0,550226200.0,459641700.0,15893090200.0,9396959500.0,0.31
002373.SZ,20200228,20191231,8991946200.0,1174269500.0,1150697700.0,1003604800.0,16278301900.0,8990523900.0,0.68
002373.SZ,20190720,20190630,3586054200.0,411413400.0,411779100.0,373566600.0,13938415400.0,8340488500.0,0.25
002373.SZ,20190228,20181231,7244499000.0,961686500.0,962536900.0,766975100.0,13561342900.0,7948161200.0,0.54
002373.SZ,20180731,20180630,2874810600.0,355298900.0,355450800.0,286199200.0,11963507500.0,7506125400.0,0.22
002373.SZ,20180228,20171231,2724574600.0,504788400.0,504052800.0,381063100.0,6551688000.0,3470413100.0,0.35
002373.SZ,20170729,20170630,944704300.0,196627500.0,197237900.0,156358900.0,6149951500.0,3333871600.0,0.14
002373.SZ,20170228,20161231,2370384600.0,429196600.0,464700900.0,333130600.0,6121056000.0,3219815800.0,0.3
002373.SZ,20160730,20160630,938023400.0,169747300.0,182780200.0,130896100.0,5455960400.0,3045974000.0,0.12
002373.SZ,20160229,20151231,1558968100.0,293226400.0,351062500.0,296501800.0,4374567100.0,2976240400.0,0.58
002373.SZ,20150730,20150630,722974100.0,118446900.0,128045600.0,109219900.0,2298487800.0,1014962600.0,0.22
002373.SZ,20150228,20141231,1361548600.0,256532100.0,296552500.0,252684200.0,2205586600.0,959408200.0,0.55
002373.SZ,20140731,20140630,602910864.38,99032268.44,105306112.51,86417946.01,2033309735.31,794684631.51,0.21
002373.SZ,20140228,20131231,350153825.86,-144826063.06,-136419424.83,-135191581.14,822389981.76,464808867.93,-0.99
002373.SZ,20130731,20130630,216956773.08,-65024370.24,-64894236.81,-62569237.64,862342100.91,537431211.43,-0.78
002373.SZ,20130228,20121231,679339395.01,-66794384.69,-58638355.34,-61403501.47,1062332803.91,598382035.82,-0.9
002373.SZ,20120731,20120630,253805459.9,-45911960.6,-45353083.65,-43011851.33,972232688.3,615305985.96,-0.63
002373.SZ,20120229,20111231,638872098.0,12701156.7,16751275.18,12309819.65,910124803.75,658323508.71,0.18
002373.SZ,20110729,20110630,254847742.0,-30881515.43,-26841470.59,-26841470.59,870987950.41,626025218.47,-0.39
002373.SZ,20110228,20101231,696735362.14,24001531.38,28914384.46,23165352.05,798477804.38,652606143.53,0.3611
