ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
920249.BJ,20260228,20251231,2431640596.74,,61597215.51,49153269.69,2014526775.58,762459220.42,0.12
920249.BJ,20250225,20241231,1967448526.72,,-123150415.51,-109912759.8,1858449339.8,694922127.64,-0.26
920249.BJ,20240301,20231231,2426230950.54,,,-6016028.93,2168093806.64,785145489.9,-0.01
920249.BJ,20230228,20221231,2587929219.95,,,110909986.36,1907239599.2,748078052.1,0.28
