ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps
300101.SZ,20200228,20191231,471829112.22,1725164.55,7217220.43,4594618.86,1652566844.63,927369137.72,0.0082
300101.SZ,20190228,20181231,443563011.45,18271761.47,24160664.96,15544624.43,1549787224.34,959107090.13,0.0279
300101.SZ,20180228,20171231,446196039.06,46628073.37,50642298.23,31792592.13,1283703508.21,866491380.68,0.0572
300101.SZ,20170228,20161231,437598889.88,37984989.35,63388750.96,40087306.4,1149478674.34,834777085.1,0.0721
300101.SZ,20160229,20151231,535150030.13,115190721.35,119357165.37,78068221.22,1371640075.85,822372871.2,0.1404
300101.SZ,20150214,20141231,407222998.62,67378826.36,76343732.17,50318830.12,1166728627.69,757004224.63,0.18
300101.SZ,20140228,20131231,257434319.65,-12873161.05,-10643213.58,-14904088.3,994128854.3,711266603.6,-0.05
300101.SZ,20130228,20121231,201810587.54,32066010.54,33026778.02,24991299.23,930307086.48,744290377.88,0.09
300101.SZ,20120229,20111231,197530631.21,56348549.15,59798443.07,47780858.42,837985892.5,740149078.65,0.34
300101.SZ,20110226,20101231,200562643.97,74176638.0,77705563.28,56401518.55,817336413.23,713218220.23,0.95
