ts_code,ann_date,end_date,holder_num
300552.SZ,20251030,20250930,27343
300552.SZ,20250826,20250630,29701
300552.SZ,20250426,20250331,29571
300552.SZ,20250412,20250331,29571
300552.SZ,20250412,20241231,30095
300552.SZ,20241029,20240930,33179
300552.SZ,20240817,20240630,36730
300552.SZ,20240427,20240331,34737
300552.SZ,20240418,20240331,34737
300552.SZ,20240418,20231231,35068
300552.SZ,20231027,20230930,25559
300552.SZ,20230831,20230630,19871
300552.SZ,20230428,20230331,20331
300552.SZ,20230412,20230331,20331
300552.SZ,20230412,20221231,21965
300552.SZ,20221028,20220930,23830
300552.SZ,20220813,20220630,20002
300552.SZ,20220429,20220331,21854
300552.SZ,20220409,20220331,21854
300552.SZ,20220409,20211231,22008
300552.SZ,20211019,20210930,21748
300552.SZ,20210731,20210630,26552
300552.SZ,20210428,20210331,27840
300552.SZ,20210428,20201231,30279
300552.SZ,20201030,20200930,27223
300552.SZ,20200826,20200630,21275
300552.SZ,20200425,20200331,13591
300552.SZ,20200411,20200331,13591
300552.SZ,20200411,20191231,8924
300552.SZ,20191030,20190930,11484
300552.SZ,20190803,20190630,12742
300552.SZ,20190427,20190331,12405
300552.SZ,20190412,20181231,13485
300552.SZ,20181030,20180930,14018
300552.SZ,20180825,20180630,16077
300552.SZ,20180427,20180331,17067
300552.SZ,20180405,20171231,16419
300552.SZ,20171201,20171130,17120
300552.SZ,20171102,20171031,18090
300552.SZ,20171026,20170930,18779
300552.SZ,20170901,20170831,17354
300552.SZ,20170819,20170630,19032
300552.SZ,20170601,20170531,18481
300552.SZ,20170502,20170428,19470
300552.SZ,20170426,20170331,21720
300552.SZ,20170325,20170228,22068
300552.SZ,20170206,20170126,22447
300552.SZ,20170325,20161231,24804
300552.SZ,20161020,20161021,48203
