ts_code,ann_date,end_date,holder_num
920249.BJ,20251030,20250930,11631
920249.BJ,20250820,20250630,13144
920249.BJ,20250429,20250331,12787
920249.BJ,20250429,20241231,9229
920249.BJ,20241031,20240930,5243
920249.BJ,20240830,20240630,5019
920249.BJ,20240427,20240331,5003
920249.BJ,20240427,20231231,6130
920249.BJ,20231028,20230930,5858
920249.BJ,20230831,20230630,5647
920249.BJ,20230427,20230331,6528
