ts_code,ann_date,end_date,holder_num
300310.SZ,20260423,20260331,54268
300310.SZ,20260331,20260228,53772
300310.SZ,20260331,20251231,54864
300310.SZ,20251028,20250930,57315
300310.SZ,20250816,20250630,69125
300310.SZ,20250424,20250331,70774
300310.SZ,20250401,20250331,75021
300310.SZ,20250401,20241231,72974
300310.SZ,20241029,20240930,72414
300310.SZ,20240827,20240630,45044
300310.SZ,20240423,20240331,43006
300310.SZ,20240423,20231231,41693
300310.SZ,20231026,20230930,39674
300310.SZ,20230821,20230630,41592
300310.SZ,20230425,20230331,37207
300310.SZ,20230425,20221231,39394
300310.SZ,20221025,20220930,40213
300310.SZ,20220827,20220630,43365
300310.SZ,20220427,20220331,47069
300310.SZ,20220427,20211231,43189
300310.SZ,20211029,20210930,41439
300310.SZ,20210813,20210630,45670
300310.SZ,20210424,20210331,47156
300310.SZ,20210424,20201231,53954
300310.SZ,20201029,20200930,53093
300310.SZ,20200822,20200630,56016
300310.SZ,20200425,20200331,61704
300310.SZ,20200307,20200229,54453
300310.SZ,20200307,20200228,54453
300310.SZ,20200307,20191231,48266
300310.SZ,20191030,20190930,52142
300310.SZ,20190810,20190630,53858
300310.SZ,20190425,20190331,52868
300310.SZ,20190425,20181231,53557
300310.SZ,20181026,20180930,45639
300310.SZ,20180829,20180630,39263
300310.SZ,20180424,20180331,32990
300310.SZ,20180403,20171231,33758
300310.SZ,20171017,20170930,35762
300310.SZ,20170823,20170630,28134
300310.SZ,20170408,20170331,24475
300310.SZ,20170315,20170228,28899
300310.SZ,20170315,20161231,26408
300310.SZ,20161026,20160930,17921
300310.SZ,20160810,20160630,12719
300310.SZ,20160423,20160331,10961
300310.SZ,20160423,20151231,6724
300310.SZ,20151024,20150930,10709
300310.SZ,20150822,20150630,10752
300310.SZ,20150425,20150331,8203
300310.SZ,20150326,20150319,7304
300310.SZ,20150326,20141231,6396
300310.SZ,20141024,20140930,5705
300310.SZ,20140809,20140630,5279
300310.SZ,20140426,20140331,7773
300310.SZ,20140328,20140321,8116
300310.SZ,20140328,20131231,7986
300310.SZ,20131026,20130930,6992
300310.SZ,20130824,20130630,6659
300310.SZ,20130425,20130331,8913
300310.SZ,20130322,20130315,9303
300310.SZ,20130322,20121231,7248
300310.SZ,20121026,20120930,6368
300310.SZ,20120825,20120630,5732
