ts_code,ann_date,end_date,holder_num
002373.SZ,20260615,20260610,89703
002373.SZ,20260605,20260529,90666
002373.SZ,20260514,20260508,91936
002373.SZ,20260507,20260430,92350
002373.SZ,20260422,20260410,89714
002373.SZ,20260418,20260331,90316
002373.SZ,20260428,20260331,90316
002373.SZ,20260330,20260320,90934
002373.SZ,20260313,20260310,90419
002373.SZ,20260306,20260227,89626
002373.SZ,20260213,20260210,88266
002373.SZ,20260204,20260130,87996
002373.SZ,20260123,20260120,86014
002373.SZ,20260114,20260109,83611
002373.SZ,20260108,20251231,76079
002373.SZ,20260418,20251231,76079
002373.SZ,20251224,20251219,89729
002373.SZ,20251205,20251128,88913
002373.SZ,20251113,20251110,90305
002373.SZ,20251022,20251010,84978
002373.SZ,20251023,20250930,86936
002373.SZ,20250924,20250919,88115
002373.SZ,20250902,20250829,86317
002373.SZ,20250825,20250820,84119
002373.SZ,20250818,20250808,83663
002373.SZ,20250805,20250731,82929
002373.SZ,20250723,20250718,94018
002373.SZ,20250714,20250710,80635
002373.SZ,20250822,20250630,80580
002373.SZ,20250625,20250620,80574
002373.SZ,20250609,20250530,80926
002373.SZ,20250509,20250418,81337
002373.SZ,20250408,20250331,81122
002373.SZ,20250419,20250331,81122
002373.SZ,20250428,20250331,81122
002373.SZ,20250327,20250320,80794
002373.SZ,20250320,20250228,79077
002373.SZ,20250226,20250210,80004
002373.SZ,20250210,20250127,79181
002373.SZ,20250124,20250120,78794
002373.SZ,20250115,20250110,79505
002373.SZ,20250103,20241231,80708
002373.SZ,20250419,20241231,80708
002373.SZ,20241224,20241220,81646
002373.SZ,20241216,20241210,82304
002373.SZ,20241205,20241129,83535
002373.SZ,20241118,20241108,85424
002373.SZ,20241014,20241010,84692
002373.SZ,20241030,20240930,80304
002373.SZ,20241009,20240920,83518
002373.SZ,20240906,20240830,83910
002373.SZ,20240906,20240820,85261
002373.SZ,20240823,20240809,86759
002373.SZ,20240805,20240731,88047
002373.SZ,20240722,20240719,90070
002373.SZ,20240711,20240710,90971
002373.SZ,20240701,20240701,90033
002373.SZ,20240827,20240630,90033
002373.SZ,20240628,20240620,91421
002373.SZ,20240605,20240531,72092
002373.SZ,20240517,20240510,72117
002373.SZ,20240419,20240410,72758
002373.SZ,20240418,20240331,73535
002373.SZ,20240425,20240331,73535
002373.SZ,20240408,20240329,73535
002373.SZ,20240320,20240308,71779
002373.SZ,20240314,20240229,72221
002373.SZ,20240301,20240220,71245
002373.SZ,20240220,20240208,70790
002373.SZ,20250210,20240126,79181
002373.SZ,20240112,20240110,70421
002373.SZ,20240418,20231231,70558
002373.SZ,20240109,20231220,70274
002373.SZ,20231204,20231130,73624
002373.SZ,20231121,20231120,72900
002373.SZ,20231120,20231110,72027
002373.SZ,20231103,20231031,72268
002373.SZ,20231026,20230930,70768
002373.SZ,20230926,20230920,70592
002373.SZ,20230906,20230831,70530
002373.SZ,20230829,20230818,70910
002373.SZ,20230829,20230810,71077
002373.SZ,20230725,20230720,71817
002373.SZ,20230717,20230710,71256
002373.SZ,20230704,20230630,67435
002373.SZ,20230823,20230630,67435
002373.SZ,20230602,20230531,73263
002373.SZ,20230524,20230519,73246
002373.SZ,20230512,20230510,71664
002373.SZ,20230505,20230428,71615
002373.SZ,20230424,20230420,75307
002373.SZ,20230404,20230331,73287
002373.SZ,20230420,20230331,73287
002373.SZ,20230308,20230228,78376
002373.SZ,20230220,20230210,77869
002373.SZ,20230117,20230110,80851
002373.SZ,20230420,20221231,80703
002373.SZ,20230104,20221230,80703
002373.SZ,20221130,20221118,83309
002373.SZ,20221104,20221031,83698
