ts_code,ann_date,end_date,holder_num
688159.SH,20251030,20250930,9900
688159.SH,20250828,20250630,6181
688159.SH,20250430,20250331,9559
688159.SH,20250430,20241231,7863
688159.SH,20241030,20240930,7159
688159.SH,20240830,20240630,6942
688159.SH,20240430,20240331,5141
688159.SH,20240430,20231231,5691
688159.SH,20231031,20230930,3579
688159.SH,20230830,20230630,4846
688159.SH,20230428,20230331,6226
688159.SH,20230428,20221231,5758
688159.SH,20221031,20220930,5914
688159.SH,20220830,20220630,6479
688159.SH,20220429,20220331,6224
688159.SH,20220429,20211231,6840
688159.SH,20211030,20210930,6228
688159.SH,20210830,20210630,6307
688159.SH,20210429,20210331,5650
688159.SH,20210427,20210331,5650
688159.SH,20210427,20201231,6082
688159.SH,20201029,20200930,6700
688159.SH,20200820,20200630,7876
688159.SH,20200429,20200331,8505
688159.SH,20200415,20200331,8505
688159.SH,20200122,20200123,19486
