ts_code,ann_date,end_date,holder_num
688618.SH,20251031,20250930,4699
688618.SH,20250829,20250630,4711
688618.SH,20250430,20250331,4271
688618.SH,20250430,20241231,4184
688618.SH,20241031,20240930,3903
688618.SH,20240829,20240630,3948
688618.SH,20240426,20240331,4061
688618.SH,20240327,20240229,3379
688618.SH,20240327,20231231,2718
688618.SH,20231031,20230930,2275
688618.SH,20230826,20230630,2904
688618.SH,20230427,20230331,2263
688618.SH,20230329,20230228,2332
688618.SH,20230329,20221231,2440
688618.SH,20221029,20220930,2560
688618.SH,20220824,20220630,2805
688618.SH,20220430,20220331,3320
688618.SH,20220423,20220331,3320
688618.SH,20220423,20211231,3668
688618.SH,20211028,20210930,4019
688618.SH,20210830,20210630,4975
688618.SH,20210429,20210331,5361
688618.SH,20210423,20210331,5361
688618.SH,20210423,20201231,9064
688618.SH,20201229,20201230,15550
