ts_code,ann_date,end_date,holder_num
688589.SH,20260425,20260331,11380
688589.SH,20260327,20260228,12541
688589.SH,20260327,20251231,11650
688589.SH,20251028,20250930,12236
688589.SH,20250828,20250630,11085
688589.SH,20250425,20250331,11696
688589.SH,20250327,20250228,11213
688589.SH,20250327,20241231,10947
688589.SH,20241019,20240930,9687
688589.SH,20240824,20240630,11016
688589.SH,20240416,20240331,10248
688589.SH,20240327,20240229,10074
688589.SH,20240327,20231231,10566
688589.SH,20231024,20230930,10411
688589.SH,20230824,20230630,10198
688589.SH,20230425,20230331,8799
688589.SH,20230323,20230228,8371
688589.SH,20230323,20221231,9188
688589.SH,20221028,20220930,9151
688589.SH,20220819,20220630,8139
688589.SH,20220423,20220331,7679
688589.SH,20220324,20220228,7711
688589.SH,20220324,20211231,7152
688589.SH,20211028,20210930,9712
688589.SH,20210827,20210630,10035
688589.SH,20210423,20210331,9036
688589.SH,20210322,20210226,9315
688589.SH,20210322,20201231,10148
688589.SH,20201026,20200930,12314
