ts_code,ann_date,end_date,holder_num
002383.SZ,20260423,20260331,85892
002383.SZ,20260423,20251231,94580
002383.SZ,20251028,20250930,65195
002383.SZ,20250820,20250630,81185
002383.SZ,20250418,20250331,61609
002383.SZ,20250418,20241231,62747
002383.SZ,20241029,20240930,58125
002383.SZ,20240829,20240630,53371
002383.SZ,20240412,20240331,54602
002383.SZ,20240412,20231231,53888
002383.SZ,20231030,20230930,49808
002383.SZ,20230831,20230630,49563
002383.SZ,20230428,20230331,57457
002383.SZ,20230428,20221231,56945
002383.SZ,20221027,20220930,60202
002383.SZ,20220819,20220630,45454
002383.SZ,20220415,20220331,42147
002383.SZ,20220415,20211231,44734
002383.SZ,20211029,20210930,44164
002383.SZ,20210828,20210630,52165
002383.SZ,20210430,20210331,54768
002383.SZ,20210430,20201231,47499
002383.SZ,20201027,20200930,48902
002383.SZ,20200828,20200630,42754
002383.SZ,20200529,20200430,41128
002383.SZ,20200430,20200331,42450
002383.SZ,20200529,20191231,44794
002383.SZ,20200430,20191231,44794
002383.SZ,20191029,20190930,46135
002383.SZ,20190828,20190630,48873
002383.SZ,20190430,20190331,42565
002383.SZ,20190420,20181231,41785
002383.SZ,20181026,20180930,38183
002383.SZ,20180817,20180630,34554
002383.SZ,20180418,20180331,28964
002383.SZ,20180328,20180228,35827
002383.SZ,20180328,20171231,32623
002383.SZ,20171026,20170930,38036
002383.SZ,20170808,20170630,31751
002383.SZ,20170421,20170331,25696
002383.SZ,20170323,20170228,16679
002383.SZ,20170323,20161231,16738
002383.SZ,20161028,20160930,18149
002383.SZ,20160813,20160630,26867
002383.SZ,20160420,20160331,37101
002383.SZ,20160322,20160229,24148
002383.SZ,20160322,20151231,24165
002383.SZ,20151030,20150930,22359
002383.SZ,20150731,20150630,15500
002383.SZ,20150428,20150421,18676
002383.SZ,20150428,20150331,20518
002383.SZ,20150428,20141231,20171
002383.SZ,20141028,20140930,19433
002383.SZ,20140828,20140630,19487
002383.SZ,20140419,20140414,19659
002383.SZ,20140426,20140331,20120
002383.SZ,20140419,20131231,21924
002383.SZ,20131026,20130930,22895
002383.SZ,20130824,20130630,23348
002383.SZ,20130419,20130412,20903
002383.SZ,20130424,20130331,20540
002383.SZ,20130419,20121231,21145
002383.SZ,20121024,20120930,19155
002383.SZ,20120829,20120630,19015
002383.SZ,20120424,20120331,19570
002383.SZ,20120421,20111231,19699
002383.SZ,20111027,20110930,19344
002383.SZ,20110827,20110630,21273
002383.SZ,20110429,20110331,22656
002383.SZ,20110423,20101231,24017
002383.SZ,20101028,20100930,27313
002383.SZ,20100820,20100630,24559
002383.SZ,20100427,20100331,47653
