ts_code,ann_date,end_date,holder_num
002970.SZ,20251023,20250930,26704
002970.SZ,20250822,20250630,20093
002970.SZ,20250425,20250331,20788
002970.SZ,20250425,20241231,19533
002970.SZ,20241023,20240930,22129
002970.SZ,20240823,20240630,19729
002970.SZ,20240424,20240331,18682
002970.SZ,20240424,20231231,18708
002970.SZ,20231026,20230930,22636
002970.SZ,20230822,20230630,20001
002970.SZ,20230426,20230331,22538
002970.SZ,20230426,20221231,19259
002970.SZ,20221028,20220930,19978
002970.SZ,20220817,20220630,18491
002970.SZ,20220428,20220331,17640
002970.SZ,20220428,20211231,19934
002970.SZ,20211022,20210930,12224
002970.SZ,20210818,20210630,15289
002970.SZ,20210421,20210331,15965
002970.SZ,20210421,20201231,18619
002970.SZ,20201211,20201210,18282
002970.SZ,20201201,20201130,17053
002970.SZ,20201123,20201120,17133
002970.SZ,20201111,20201110,18656
002970.SZ,20201104,20201030,20155
002970.SZ,20201023,20200930,18922
002970.SZ,20201012,20200930,18922
002970.SZ,20200902,20200831,18253
002970.SZ,20200826,20200820,18088
002970.SZ,20200811,20200810,18017
002970.SZ,20200804,20200731,18190
002970.SZ,20200730,20200720,19209
002970.SZ,20200818,20200630,19368
002970.SZ,20200730,20200630,19368
002970.SZ,20200609,20200529,16593
002970.SZ,20200527,20200526,14730
002970.SZ,20200527,20200520,14730
002970.SZ,20200420,20200331,13922
002970.SZ,20200420,20191231,19884
002970.SZ,20191231,20191231,45259
002970.SZ,20191216,20191217,45259
