ts_code,ann_date,end_date,holder_num
688080.SH,20251028,20250930,9819
688080.SH,20250822,20250630,6785
688080.SH,20250423,20250331,7589
688080.SH,20250423,20241231,6245
688080.SH,20241025,20240930,5910
688080.SH,20240823,20240630,5808
688080.SH,20240419,20240331,5348
688080.SH,20240419,20231231,5903
688080.SH,20231026,20230930,5987
688080.SH,20230823,20230630,5363
688080.SH,20230426,20230331,4374
688080.SH,20230426,20221231,4310
688080.SH,20221028,20220930,5402
688080.SH,20220826,20220630,5402
688080.SH,20220426,20220331,5272
688080.SH,20220426,20211231,5428
688080.SH,20211027,20210930,5290
688080.SH,20210820,20210630,4990
688080.SH,20210428,20210331,5070
688080.SH,20210428,20201231,4764
688080.SH,20201029,20200930,5147
688080.SH,20200826,20200630,6308
688080.SH,20200428,20200331,6146
688080.SH,20200211,20200212,13866
